Store,Date,Reg,0.01,0.05,0.1,0.25
54,5/22/2024,28,audit,,,
54,5/22/2024,70,audit,,,
54,5/22/2024,79,audit,,,
471,5/22/2024,20,audit,,,
471,5/22/2024,24,audit,,,
471,5/22/2024,40,audit,,,
471,5/22/2024,68,audit,,,
471,5/22/2024,74,audit,,,
471,5/22/2024,92,audit,,,
471,5/22/2024,95,audit,,,
471,5/22/2024,98,audit,,,
488,5/22/2024,40,audit,,,
880,5/22/2024,10,4,2,2,2
880,5/22/2024,11,2,1,1,2
880,5/22/2024,12,4,1,0,2
880,5/22/2024,13,audit,,,
880,5/22/2024,14,3,1,2,2
880,5/22/2024,15,audit,,,
880,5/22/2024,16,4,1,2,2
880,5/22/2024,17,audit,,,
880,5/22/2024,40,0,0,0,0
880,5/22/2024,41,1,0,0,0
880,5/22/2024,58,audit,,,
880,5/22/2024,62,3,2,0,1
880,5/22/2024,63,1,1,0,1
880,5/22/2024,64,3,1,0,1
880,5/22/2024,67,1,0,1,1
880,5/22/2024,68,0,0,0,0
880,5/22/2024,74,audit,,,
880,5/22/2024,79,0,0,0,0
880,5/22/2024,90,0,0,1,0
880,5/22/2024,91,3,1,2,0
880,5/22/2024,92,audit,,,
880,5/22/2024,93,3,1,2,2
880,5/22/2024,95,audit,,,
880,5/22/2024,98,1,0,0,0
1082,5/22/2024,16,audit,,,
1082,5/22/2024,42,audit,,,
1801,5/22/2024,25,audit,,,
1801,5/22/2024,64,audit,,,
2918,5/22/2024,15,2,1,0,0
2918,5/22/2024,17,2,1,0,1
2918,5/22/2024,19,3,1,1,0
2918,5/22/2024,20,audit,,,
2918,5/22/2024,21,audit,,,
2918,5/22/2024,23,audit,,,
2918,5/22/2024,40,0,1,1,1
2918,5/22/2024,41,0,0,1,0
2918,5/22/2024,42,0,0,0,0
2918,5/22/2024,54,0,0,1,0
2918,5/22/2024,58,0,0,0,0
2918,5/22/2024,67,0,0,0,0
2918,5/22/2024,70,0,0,0,0
2918,5/22/2024,71,0,0,0,0
2918,5/22/2024,77,1,0,1,1
2918,5/22/2024,79,0,0,0,0
2918,5/22/2024,80,0,0,0,1
2918,5/22/2024,91,2,1,0,1
2918,5/22/2024,92,audit,,,
2918,5/22/2024,93,2,1,0,1
2918,5/22/2024,98,0,1,0,0
3014,5/22/2024,16,audit,,,
3014,5/22/2024,17,audit,,,
3014,5/22/2024,19,audit,,,
3014,5/22/2024,23,audit,,,
3014,5/22/2024,25,audit,,,
3014,5/22/2024,40,audit,,,
3014,5/22/2024,58,audit,,,
3014,5/22/2024,70,audit,,,
3014,5/22/2024,92,audit,,,
3284,5/22/2024,22,audit,,,
3284,5/22/2024,41,audit,,,
3284,5/22/2024,67,audit,,,
3284,5/22/2024,93,audit,,,
4681,5/22/2024,23,audit,,,
5080,5/22/2024,19,audit,,,
5080,5/22/2024,67,audit,,,
5080,5/22/2024,90,audit,,,
5080,5/22/2024,92,audit,,,
5080,5/22/2024,95,audit,,,
5172,5/22/2024,5,audit,,,
5172,5/22/2024,7,audit,,,
5172,5/22/2024,79,audit,,,
5316,5/22/2024,1,2,2,1,2
5316,5/22/2024,2,3,2,1,2
5316,5/22/2024,3,3,1,0,1
5316,5/22/2024,4,audit,,,
5316,5/22/2024,5,3,1,1,2
5316,5/22/2024,6,2,1,0,2
5316,5/22/2024,7,2,1,0,2
5316,5/22/2024,8,1,1,1,1
5316,5/22/2024,9,2,2,1,2
5316,5/22/2024,10,2,1,0,1
5316,5/22/2024,11,3,1,1,2
5316,5/22/2024,12,2,1,1,2
5316,5/22/2024,13,1,0,0,0
5316,5/22/2024,14,1,0,0,0
5316,5/22/2024,58,0,1,0,0
5316,5/22/2024,59,1,0,1,1
5316,5/22/2024,67,1,1,1,1
5316,5/22/2024,68,0,1,1,1
5316,5/22/2024,71,0,1,1,1
5316,5/22/2024,72,audit,,,
5316,5/22/2024,77,1,1,1,0
5316,5/22/2024,78,1,0,1,1
5316,5/22/2024,79,0,0,1,1
5316,5/22/2024,90,0,0,0,0
5316,5/22/2024,91,0,0,0,0
5316,5/22/2024,92,2,1,1,0
5316,5/22/2024,93,3,1,1,2
5316,5/22/2024,94,3,1,1,2
5316,5/22/2024,95,0,0,0,0
5316,5/22/2024,98,0,1,1,1
