Store,DC,Total Days,Sat,Sun,Mon,Tue,Wed,Thu,Fri
16,6094,6,1,1,1,0,1,1,1
54,6094,6,1,1,1,0,1,1,1
451,6069,5,1,1,0,1,1,0,1
619,6066,5,1,1,0,1,1,0,1
761,6048,5,0,1,1,0,1,1,1
1002,6017,5,1,1,0,1,1,0,1
1452,6070,5,1,1,0,1,1,0,1
1472,6025,5,0,1,1,0,1,1,1
1579,6023,5,1,1,0,1,1,0,1
1647,6024,5,0,1,1,0,1,1,1
1657,6025,5,0,1,1,1,0,1,1
1755,6026,6,1,1,1,0,1,1,1
1785,6030,6,1,1,1,0,1,1,1
1964,6030,6,1,1,1,0,1,1,1
2084,7026,6,1,1,1,1,0,1,1
2099,6021,6,1,1,1,1,0,1,1
2158,6030,6,1,1,1,1,0,1,1
2264,6038,6,1,1,1,1,0,1,1
2373,6030,6,0,1,1,1,1,1,1
2434,7039,6,1,1,1,1,0,1,1
2448,6025,5,1,1,0,1,1,0,1
2604,6080,5,0,1,1,1,0,1,1
2719,6080,6,1,1,0,1,1,1,1
2747,6030,6,1,1,1,1,0,1,1
2902,6030,6,1,1,1,0,1,1,1
2947,6037,5,1,1,1,0,1,1,0
2954,6080,6,1,1,1,1,0,1,1
3379,6031,6,1,1,1,0,1,1,1
3490,7045,5,0,1,1,1,0,1,1
3549,6030,5,1,1,0,1,1,0,1
3620,7026,6,1,1,1,0,1,1,1
3803,6080,5,1,1,0,1,1,0,1
4460,6018,6,1,1,1,1,0,1,1
4520,7035,6,1,1,1,0,1,1,1
4681,6020,6,1,1,1,1,0,1,1
5040,6027,6,1,1,0,1,1,1,1
5058,6066,6,0,1,1,1,1,1,1
5201,6080,6,1,1,1,1,0,1,1
5399,6092,5,0,1,1,1,0,1,1
5439,6080,6,1,1,0,1,1,1,1
5706,6018,6,1,1,1,1,0,1,1
5787,6040,5,1,1,0,1,1,0,1
65,6069,5,0,1,1,0,1,1,1
362,6006,4,0,1,0,1,0,1,1
375,6006,6,1,1,1,0,1,1,1
507,6017,6,1,1,1,1,1,1,0
600,6012,5,1,1,0,1,1,0,1
636,6092,4,0,1,0,1,0,1,1
713,6020,4,0,1,0,1,0,1,1
829,6012,5,1,1,0,1,1,0,1
882,7039,5,1,1,1,0,1,1,0
930,6054,5,0,1,1,1,0,1,1
1095,6019,5,1,1,1,0,1,1,0
1368,6024,5,1,1,1,0,1,1,0
1396,7039,6,1,1,0,1,1,1,1
1513,6020,6,1,1,1,1,0,1,1
1676,6066,6,1,1,1,1,0,1,1
1776,7039,5,1,1,1,0,1,1,0
1843,6026,6,1,1,1,1,1,0,1
1844,7034,6,1,1,0,1,1,1,1
1867,7045,5,0,1,1,1,0,1,1
1906,6030,6,1,1,1,1,0,1,1
1930,6030,6,1,1,0,1,1,1,1
1961,6017,6,1,1,1,1,0,1,1
1979,6026,6,1,1,1,1,0,1,1
2039,6021,6,1,1,1,1,0,1,1
2095,6030,6,1,1,1,0,1,1,1
2097,6038,5,1,1,1,0,1,1,0
2160,6023,6,1,1,1,1,0,1,1
2170,6030,5,1,1,0,1,1,0,1
2227,6030,6,1,1,1,1,0,1,1
2232,6080,5,0,1,1,0,1,1,1
2248,7045,6,1,1,0,1,1,1,1
2326,6038,6,1,1,0,1,1,1,1
2398,6030,4,0,1,0,1,0,1,1
2556,6021,6,1,1,1,0,1,1,1
2571,6037,5,0,1,1,1,0,1,1
2640,6030,5,1,1,0,1,1,0,1
2647,7045,5,0,1,1,0,1,1,1
2660,6030,5,1,0,1,1,0,1,1
2825,7034,6,1,1,1,1,0,1,1
2833,7045,4,0,1,0,1,0,1,1
2904,6030,5,1,1,0,1,1,0,1
3167,6048,5,1,0,1,1,0,1,1
3200,6030,5,1,1,0,1,1,0,1
3342,6017,6,1,1,1,1,0,1,1
3650,6021,6,1,1,1,1,1,0,1
3812,6024,5,0,1,1,0,1,1,1
4278,7045,4,0,1,0,1,0,1,1
5186,6031,6,1,1,1,1,0,1,1
5440,6037,6,1,1,1,0,1,1,1
5463,7039,5,1,1,1,0,1,1,0
5935,6037,6,1,1,1,0,1,1,1
7281,6012,5,1,1,1,0,1,1,0
356,6054,6,1,1,0,1,1,1,1
1385,6070,6,1,1,1,1,1,1,0
1893,7034,6,1,1,1,1,0,1,1
2075,6026,6,1,1,1,0,1,1,1
2153,6030,6,1,1,1,0,1,1,1
2180,6030,6,1,1,1,1,0,1,1
2553,6026,6,1,1,0,1,1,1,1
2906,6080,6,1,1,1,1,1,0,1
5073,6037,6,1,1,1,1,1,0,1
5111,6080,6,0,1,1,1,1,1,1
6397,7038,6,1,1,1,1,0,1,1
6469,6011,6,1,1,1,1,0,1,1
