Region,Market,Store,Digital Shelf Labels,DSL Gen,DSL Start Date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date,Initial Change Order Delivery Date,Mobile Calling
2,23,2360,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6054,,,,8/5/2024,8/5/2024,TBD,TBD,TBD,TBD,TBD,TBD
21,219,2666,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6024,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
59,554,3069,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6054,,,,8/5/2024,8/5/2024,TBD,TBD,TBD,TBD,TBD,TBD
58,458,3524,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7033,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
75,281,5344,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7034,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
56,511,5426,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6026,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
61,551,5638,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7033,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
59,494,5697,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7039,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
57,484,5954,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6021,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
61,552,5980,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6026,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
61,490,6178,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
64,504,7261,YES,Gen 3,TBD,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,,,,,,,,,,TBD,TBD,TBD
72,534,2203,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6094,,,,,,TBD,TBD,TBD,TBD,TBD,TBD
42,323,4108,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6094,1/1/2028,4/1/2029,,Completed,Completed,6/20/2024,LIVE,Completed,4/25/2025,4/14/2025,TBD
72,534,3654,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6094,1/1/2028,4/1/2029,,Completed,Completed,6/5/2023,TBD,TBD,3/12/2025,3/3/2025,7/8/2025
5,48,220,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,3/4/2024,TBD,TBD,3/21/2025,3/10/2025,TBD
5,48,228,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,3/10/2024,TBD,TBD,3/22/2025,3/17/2025,TBD
5,45,265,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,6/9/2024,TBD,TBD,2/17/2025,Completed,TBD
13,66,384,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/9/2024,LIVE,Completed,4/14/2025,4/7/2025,6/10/2025
4,39,396,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6070,1/1/2028,4/1/2029,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,TBD
6,62,872,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,TBD,TBD,TBD,3/17/2025,3/10/2025,6/10/2025
54,378,980,YES,Gen 2,LIVE,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6019,12/8/2025,3/8/2027,7/8/2028,8/19/2024,8/19/2024,8/11/2024,TBD,TBD,Completed,Completed,TBD
