Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,2,National VSens Vtrop PDQ,4-way,2,11,
1,2,Vaseline 16PC PDQ,PDQ,1,11,
1,3,Duck 200 (50ft bonus) Bubble Wrap End Cap,Full Endcap,1,11,
1,23,12PC LIFEGUARD STRAW HAT,Quarter Stack,4,11,
1,40,EQ Ibuprofen Tab 100,Full EC,1,11,
1,92,"Malt O Meal $5 Bag Cereal, 138 units",Full Stack,1,11,
2,3,Duck 200 (50ft bonus) Bubble Wrap End Cap,Full Endcap,1,11,
2,7,Hot Wheels Monster Trucks 1:64th Dump Bin,Q-Bin,1,11,
2,10,Rain X Bug Remover,Full Stack,1,11,
2,13,DAMP RID HB FS 3PK,Half Endcap,1,11,
2,16,96 PCS SHEPHERD HOOK DISPLAY,Half Stack,1,11,
2,40,ALEVE X PW 18PC,Sidekick,1,11,
2,40,Cortisone Itch Relief 24pc,Full Endcap,1,11,
2,40,Zyrtec 60ct bottle 9pc PDQ,4-way,1,11,
2,74,Dirt Devil 3 in 1 56 Piece ,Full EC,1,11,
2,74,MS 18PK HNGR BRORG,Half Endcap,1,11,
2,74,MS 18PK HNGR COMORG,Half Endcap,1,11,
2,74,MS 18PK HNGR MUSTDJ,Half Endcap,1,11,
2,74,MS 18PK HNGR REDENG,Half Endcap,1,11,
2,74,MS 18PK HNGR RYLSPC,Half Endcap,1,11,
3,2,National VSens Vtrop PDQ,4-way,1,11,
3,13,DAMP RID HB FS 3PK,Half Endcap,1,11,
3,16,48PC Talavera Planter Pallet,Full Stack,1,11,
3,16,"Papa's  Mini Log Cooking Wood, Pecan .65 Cu Ft.",Full Stack,1,11,Cancel - supplier issues
3,40,24PCEQ DS EC Omeprazole/BR,Full EC,1,11,
3,40,Claritin 24HR Allergy Relief 14PC PDQ,Full EC,1,11,
3,40,Cortisone Itch Relief 24pc,Full Endcap,1,11,
3,40,Cortizone Anti-itch 20pc PDQ,Full EC,1,11,
3,40,EQ Ibuprofen Tab 100,Full EC,1,11,
3,40,Zyrtec 60ct bottle 9pc PDQ,4-way,1,11,
3,74,MS 18PK HNGR BLUSAP,Half Endcap,1,11,
3,74,MS 18PK HNGR BRORG,Half Endcap,2,11,
3,74,MS 18PK HNGR CARGRN,Half Endcap,1,11,
3,74,MS 18PK HNGR COMORG,Half Endcap,2,11,
3,74,MS 18PK HNGR DRKGRP,Half Endcap,1,11,
3,74,MS 18PK HNGR GRNBLA,Half Endcap,2,11,
3,74,MS 18PK HNGR MRNSUP,Half Endcap,1,11,
3,74,MS 18PK HNGR MUSTDJ,Half Endcap,1,11,
3,74,MS 18PK HNGR REDENG,Half Endcap,2,11,
3,74,MS 18PK HNGR REDSED,Half Endcap,1,11,
3,74,MS 18PK HNGR RYLSPC,Half Endcap,1,11,
3,74,MS 18PK HNGR SCBDYW,Half Endcap,1,11,
3,74,MS 18PK HNGR SLVHAI,Half Endcap,1,11,
3,74,MS 18PK HNGR TEXORG,Half Endcap,2,11,
3,74,MS 18PK HNGR VICBLU,Half Endcap,2,11,
4,40,BioFreeze 16pc large patch PDQ,PDQ,1,11,
4,40,Zyrtec 60ct bottle 9pc PDQ,4-way,1,11,
4,92,Dan O's Seasoning Display,PDQ,2,11,
5,3,Duck 200 (50ft bonus) Bubble Wrap End Cap,Full Endcap,1,11,
5,7,Hot Wheels Monster Trucks 1:64th Dump Bin,Q-Bin,1,11,
5,9,700L FLASHLIGHT PDQ/60,PDQ,3,11,
5,9,"Red, White & Blue MiUSA Igloo 5 Gallon Jug",Full EC,1,11,
5,14,Imusa 6 Cup Cooked Rice Cooker - 24 - Half EC,Half Endcap,1,11,
5,16,48PC Talavera Planter Pallet,Full Stack,1,11,
5,16,96 PCS SHEPHERD HOOK DISPLAY,Half Stack,1,11,
5,31,Disney Sunglasses for the Family/540 PC,Full Stack,1,11,
5,40,Zyrtec 60ct bottle 9pc PDQ,4-way,1,11,
5,74,Dirt Devil 3 in 1 56 Piece ,Full EC,1,11,
5,74,MS 18PK HNGR DRKGRP,Half Endcap,1,11,
5,74,MS 18PK HNGR REDENG,Half Endcap,1,11,
5,74,MS 18PK HNGR REDSED,Half Endcap,1,11,
5,74,MS 18PK HNGR RYLSPC,Half Endcap,1,11,
5,95,GV Cones  244ct,Half Stack,1,11,
7,3,Duck 200 (50ft bonus) Bubble Wrap End Cap,Full Endcap,1,11,
7,7,Hot Wheels Monster Trucks 1:64th Dump Bin,Q-Bin,1,11,
7,9,700L FLASHLIGHT PDQ/60,PDQ,3,11,
7,16,96 PCS SHEPHERD HOOK DISPLAY,Half Stack,1,11,
7,17,BHG-SCTS 1000PC BIN,Half Stack,1,11,
7,40,BioFreeze 16pc large patch PDQ,PDQ,1,11,
7,40,Zyrtec 60ct bottle 9pc PDQ,4-way,1,11,
7,74,Dirt Devil 3 in 1 56 Piece ,Full EC,1,11,
7,79,"Dreambaby Stroller Fan, 16 units",Sidekick,2,11,
8,3,Duck 200 (50ft bonus) Bubble Wrap End Cap,Full Endcap,1,11,
8,8,"PetArmor Plus 3+1, 15 CT ",SDK,1,11,
8,9,700L FLASHLIGHT PDQ/60,PDQ,1,11,
8,10,Rain X Bug Remover,Full Stack,1,11,
8,13,DAMP RID HB FS 3PK,Half Endcap,1,11,
8,40,ALEVE X PW 18PC,Sidekick,2,11,
8,74,Dirt Devil 3 in 1 56 Piece ,Full EC,1,11,
8,92,Dan O's Seasoning Display,PDQ,2,11,
8,95,GV Cones  244ct,Half Stack,1,11,
8,95,Hershey 24oz Syrup ,Half Stack,1,11,
9,10,Rain-X All Season 2-in-1,Full Stack,1,11,
9,82,Energizer Assorted Battery (580 units) 1/2,Half Stack,1,11,
9,95,23oz Utz CheeseBall Barrel 100ct,Full Stack,1,11,
9,95,Fruit Snack Characters,Full Stack,1,11,
9,95,GV Cones  244ct,Half Stack,1,11,
10,40,EQ Ibuprofen Tab 100,Full EC,1,11,
10,95,23oz Utz CheeseBall Barrel 100ct,Full Stack,1,11,
11,2,National VSens Vtrop PDQ,4-way,2,11,
11,2,Vaseline 16PC PDQ,PDQ,1,11,
11,3,Duck 200 (50ft bonus) Bubble Wrap End Cap,Full Endcap,1,11,
11,7,Hot Wheels Monster Trucks 1:64th Dump Bin,Q-Bin,1,11,
11,8,Doggie Brands Plush Dog Toy 60pc,SDK,1,11,Delivery delay - store will receive wk 11
11,9,"Hydro Force OCEANA 10' Inflatable, 8 units",Full Stack,2,11,
11,13,DAMP RID HB FS 3PK,Half Endcap,2,11,
11,13,Sponge 3pk Dump Bin,Half Stack,2,11,
11,17,Mainstays Fluffy Bolster Pallett,Full Stack,1,11,
11,23,12PC LIFEGUARD STRAW HAT,Quarter Stack,2,11,
11,23,12PC WESTERN STRAW HAT,Quarter Stack,2,11,
11,23,12PC WESTERN STRAW STAINED HAT,Quarter Stack,2,11,
11,31,Piranha PFS Sunglasses Med Volume/360 PC,Half Stack,2,11,
11,40,ALEVE X PW 18PC,Sidekick,1,11,
11,40,BioFreeze 16pc large patch PDQ,PDQ,1,11,
11,40,Cortisone Itch Relief 24pc,Full Endcap,2,11,
