Store,Name,Vendor
1,"ROGERS, AR",AG
2,HARRISON AR,AG
3,COMMERCE GA,AG
4,SILOAM SPRINGS AR,HMK
5,CONWAY AR,AG
7,NORTH LITTLE ROCK AR,AG
8,MORRILTON AR,AG
9,SIKESTON MO,HMK
10,TAHLEQUAH OK,AG
11,MOUNTAIN HOME AR,AG
12,CLAREMORE OK,AG
13,CARTHAGE MO,HMK
14,LEBANON MO,AG
15,WEST PLAINS MO,AG
16,VAN BUREN AR,HMK
17,NEOSHO MO,HMK
18,NEWPORT AR,AG
19,POPLAR BLUFF MO,AG
20,CLINTON MO,HMK
21,ST ROBERT MO /WAYNESVILLE,AG
22,PRYOR OK,AG
23,RUSTON LA,HMK
24,JACKSONVILLE AR,AG
25,MEXICO MO,AG
26,LEAVENWORTH KS,HMK
27,SALEM MO,AG
28,MIAMI OK,HMK
29,JEFFERSON CITY MO,AG
30,DEXTER MO,HMK
31,POTEAU OK,AG
32,BRANSON MO,AG
33,NASHVILLE AR,AG
34,NEVADA MO,HMK
35,MANHATTAN KS,AG
36,PARAGOULD AR,AG
37,FARMINGTON MO,AG
38,IDABEL OK,HMK
39,FORT SCOTT KS,HMK
40,MOBERLY MO,HMK
41,BARTLESVILLE OK,AG
42,COFFEYVILLE KS,AG
43,JUNCTION CITY KS,HMK
44,ELDON MO,AG
45,JONESBORO AR,AG
46,BOLIVAR MO,AG
47,SALLISAW OK,HMK
48,MONETT MO,AG
49,HUGO OK,AG
50,VINITA OK,AG
51,FULTON MO,AG
52,HOT SPRINGS AR,AG
54,SPRINGDALE AR,AG
55,BOONEVILLE AR,HMK
56,AVA MO,AG
57,WALNUT RIDGE AR,AG
58,RUSSELLVILLE AR,AG
59,JOPLIN MO,HMK
60,TROY MO,AG
61,WARRENSBURG MO,AG
62,BLYTHEVILLE AR,AG
63,WAGONER OK,AG
64,BROWNSVILLE TN,AG
65,SULLIVAN MO,HMK
66,CLARKSVILLE AR,AG
67,MENA AR,AG
68,WYNNE AR,AG
69,FESTUS MO,AG
70,WEST MEMPHIS AR,AG
71,POCAHONTAS AR,AG
72,PITTSBURG KS,HMK
73,SAPULPA OK,AG
74,OSCEOLA AR,AG
75,PINEVILLE LA,AG
76,BERRYVILLE AR,HMK
77,TAYLOR TX,AG
78,MARSHFIELD MO,AG
79,WEST JOPLIN MO,AG
80,COLUMBIA MO,AG
81,STILWELL OK,AG
82,PERRYVILLE MO,AG
83,MAGNOLIA AR,AG
85,BENTON AR,AG
86,SPRINGFIELD MO,AG
87,MINDEN LA,AG
88,MOUNTAIN GROVE MO,AG
89,CAMDENTON MO,AG
90,GROVE OK,AG
91,FORREST CITY AR,HMK
92,AURORA MO,AG
93,COVINGTON TN,AG
94,MILLINGTON TN,AG
95,DESLOGE MO,HMK
96,HARRISONVILLE MO,HMK
97,RIPLEY TN,AG
98,BASTROP LA,AG
99,UNION MO,HMK
100,"BENTONVILLE, AR",HMK
101,ROLLA MO,AG
102,STUTTGART AR,AG
103,SHAWNEE OK,AG
104,MILAN TN,AG
105,CORINTH MS,AG
106,FULTON KY,HMK
107,MARTIN TN,HMK
108,GUTHRIE OK,AG
109,CAMERON MO,HMK
110,WINTER GARDEN FL,HMK
111,CHANUTE KS,HMK
112,STARKVILLE MS,AG
113,CHICKASHA OK,AG
114,BOONEVILLE MS,AG
115,"WEST POINT, MS",AG
116,VIVIAN LA,AG
117,BROKEN BOW OK,AG
118,AMORY MS,AG
119,BATESVILLE AR,AG
120,HUMBOLDT TN,AG
121,OKMULGEE OK,AG
122,JACKSON MO,AG
123,SEMINOLE OK,AG
124,LITTLE ROCK AR,AG
125,"FORT SMITH (S), AR",HMK
126,LITTLE ROCK AR,AG
127,MALVERN AR,AG
128,"JONESBORO (W), AR",AG
129,ARDMORE OK,AG
130,MUSKOGEE OK,AG
131,MT PLEASANT TX,AG
132,KINGFISHER OK,AG
133,ASHDOWN AR,AG
134,ELK CITY OK,AG
135,CHILLICOTHE MO,HMK
136,BLACKWELL OK EF,AG
137,STILLWATER OK,HMK
138,"SPRINGFIELD (NE), MO",AG
139,PURCELL OK,HMK
140,LUFKIN TX,HMK
141,"FORT SMITH, AR",AG
143,BENTON KY,AG
144,FAYETTEVILLE AR (WEST),AG
145,BOWLING GREEN MO,HMK
146,GILMER TX,HMK
147,DENISON TX,HMK
148,PARIS TX,AG
149,"JONESBORO, LA",AG
150,WOODWARD OK,HMK
151,MCALESTER OK,HMK
152,DESOTO MO,AG
153,NEW ALBANY MS,AG
154,ABINGDON VA,AG
155,SENATOBIA MS,AG
157,SEARCY AR,AG
158,BONHAM TX,HMK
159,COLUMBIA MO,AG
160,ASH FLAT AR,AG
161,HUNTINGDON TN,AG
162,"ANADARKO, OK",AG
163,NACOGDOCHES TX,AG
164,PONTOTOC MS,AG
165,HENDERSON TX,HMK
166,HOUSTON MO,AG
167,CROSSETT AR,AG
168,OWASSO OK,HMK
169,LONOKE AR,AG
170,NATCHITOCHES LA,AG
171,"CAMDEN, AR",AG
172,WASHINGTON MO,AG
173,POTOSI MO,HMK
174,ROCKLEDGE FL,HMK
175,COLLIERVILLE TN,AG
176,RIPLEY MS,AG
177,"PARIS, TN",AG
178,"ALVA, OK",AG
179,"SPRINGFIELD, MO",AG
180,JACKSONVILLE TX,AG
181,NEW BOSTON TX,AG
182,GREENVILLE MS,AG
183,LOUISVILLE MS,AG
184,BLUE SPRINGS MO,AG
185,GAINESVILLE TX,AG
186,EL DORADO KS,HMK
188,CAPE GIRARDEAU MO,HMK
189,KIRKSVILLE MO,HMK
190,KENNETT MO,HMK
192,COLUMBIA TN,HMK
194,BAYTOWN TX,HMK
195,EXCELSIOR SPRINGS MO,HMK
196,CARBONDALE IL,HMK
197,MACOMB IL,AG
198,SALEM IL,HMK
199,LINCOLN IL,AG
200,JACKSONVILLE IL,AG
201,BELLEVILLE IL,HMK
202,FRISCO CUSTER & 121 TX,AG
203,BROOKFIELD MO,AG
204,PRINCETON KY,AG
205,PHILADELPHIA MS,AG
206,MCKINNEY TX,HMK
207,CLEVELAND OK,AG
209,OZARK AR,HMK
210,HOLDENVILLE OK,AG
211,HILLSBORO TX,HMK
212,NORMAN OK,AG
213,LITCHFIELD IL,AG
214,JASPER TX,AG
216,MARION IL,HMK
217,LEWISVILLE TX,AG
218,SELMER TN,AG
219,SEDALIA MO,AG
220,BURLESON TX,AG
221,YUKON OK,AG
222,SPARTA IL,HMK
224,"MT. VERNON, IL.",HMK
225,SULPHUR OK.,AG
226,"ATLANTA, TX.",AG
227,EL RENO OK.,AG
228,CLEBURNE TX.,AG
229,TRUMANN AR.,AG
230,PARIS AR.,HMK
231,ADA OK.,AG
232,ATOKA OK.,AG
233,"ANNA, IL.",HMK
234,"KANSAS CITY, MO.",HMK
236,CROCKETT TX.,HMK
237,HARRISBURG IL.,HMK
238,PULASKI TN.,AG
239,"KOSCIUSKO, MS.",AG
240,COMMERCE TX.,AG
242,PAOLA KS.,HMK
243,WENTZVILLE MO.,HMK
244,WINNFIELD LA.,AG
246,SKIATOOK OK.,AG
247,HENRYETTA OK.,HMK
248,MEXIA TX.,AG
249,CLEVELAND TX.,HMK
250,WARSAW MO.,AG
251,MINEOLA TX.,HMK
252,"DU QUOIN, IL.",HMK
253,"JERSEYVILLE, IL.",AG
254,OLNEY IL.,AG
256,"GLEN CARBON, IL.",AG
257,MORGANFIELD KY.,AG
258,TUPELO MS.,AG
259,ROCKWALL TX.,AG
260,WAXAHACHIE TX.,HMK
261,HOT SPRINGS AR.,AG
262,BENTON IL /WEST CITY.,HMK
264,DICKSON TN,AG
265,"TERRELL, TX",HMK
266,"SOUTHLAKE, TX",HMK
267,WEBB CITY MO,HMK
268,SAVANNAH TN,AG
269,"LAWTON, OK",HMK
271,BOWIE TX,AG
272,FRANKLIN TN,AG
273,FULTON MS,AG
274,IUKA MS,AG
