Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
7,781,SPARK,Scheduled Standard Delivery,35,Executive Review,Recovering,Driver Supply Focus,202349,92.90%,96.50%,8.3,96.00%,91.40%,89.00%,95.00%
44,132,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202349,71.90%,100.00%,5.1,55.60%,80.70%,73.30%,80.30%
44,242,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Driver Supply Focus,202349,83.00%,98.30%,7.2,90.70%,74.30%,80.70%,87.00%
13,311,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202349,89.40%,94.40%,9,92.40%,93.50%,89.70%,83.10%
13,402,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202349,85.30%,97.30%,8.3,82.40%,86.70%,78.10%,92.50%
6,292,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202349,91.70%,98.30%,6.3,95.30%,85.30%,90.90%,93.80%
6,482,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202349,95.10%,97.50%,4.2,88.90%,95.50%,100.00%,94.40%
6,293,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202349,92.60%,100.00%,2.9,92.30%,89.30%,97.40%,86.70%
6,567,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202349,78.70%,100.00%,4.6,84.60%,83.30%,66.70%,85.70%
46,829,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202349,85.50%,94.20%,5,84.70%,81.80%,87.00%,87.50%
41,655,POINTPICKUP,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202349,69.10%,96.50%,9.4,71.70%,68.30%,76.60%,59.50%
41,1190,POINTPICKUP,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202349,76.80%,94.20%,8.4,76.70%,82.80%,76.90%,72.50%
41,571,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202349,83.80%,97.60%,7.9,89.90%,84.90%,72.90%,87.70%
19,4479,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202349,93.70%,93.60%,9,97.40%,97.70%,92.60%,88.30%
19,1445,UBER,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202349,91.90%,100.00%,4.5,95.50%,95.00%,87.50%,90.00%
19,5386,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202349,91.00%,89.90%,9.7,90.30%,93.50%,86.10%,94.70%
25,3210,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202349,81.90%,89.30%,7.8,81.40%,86.10%,75.00%,83.10%
25,957,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202349,88.00%,100.00%,4.8,85.70%,91.70%,85.30%,90.30%
20,5040,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202349,92.30%,89.10%,7.9,95.40%,97.90%,87.20%,90.40%
20,5040,UBER,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202349,91.80%,89.10%,9.7,91.00%,97.50%,91.30%,89.40%
20,2281,UBER,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202349,89.60%,97.40%,7.1,93.70%,88.60%,88.90%,87.70%
20,2611,UBER,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202349,91.90%,98.90%,9.2,91.00%,95.00%,88.10%,93.80%
20,5446,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202349,89.50%,99.80%,9.2,82.00%,96.90%,89.20%,91.10%
20,1477,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202349,79.60%,99.80%,7,80.20%,82.50%,68.30%,87.00%
20,4278,UBER,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202349,87.50%,100.00%,7.5,85.20%,71.40%,96.20%,95.50%
40,44,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202349,85.70%,100.00%,3.8,85.70%,85.70%,85.00%,86.40%
59,5427,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202349,92.10%,89.20%,8.6,96.20%,94.60%,89.00%,88.90%
21,2572,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202349,87.00%,98.00%,6.6,86.60%,88.90%,88.30%,83.70%
53,882,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202349,81.00%,95.50%,6.5,60.70%,75.00%,90.50%,92.90%
53,1316,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202349,90.70%,92.90%,7.7,81.40%,93.80%,96.40%,93.80%
14,991,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202349,94.20%,95.90%,9.8,93.90%,87.40%,96.00%,97.70%
72,3161,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202349,91.70%,89.80%,6.9,90.90%,96.40%,89.50%,92.40%
12,583,POINTPICKUP,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202349,87.00%,99.60%,8.3,85.70%,87.30%,86.20%,88.50%
12,2496,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202349,89.30%,89.10%,8.9,86.00%,94.00%,87.80%,90.10%
12,3289,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202349,81.70%,95.10%,7.1,72.40%,80.60%,88.90%,86.90%
11,393,ROADIE,Scheduled Standard Delivery,11,Executive Review,-,Driver Supply Focus,202349,37.00%,94.50%,6.8,,31.70%,60.00%,50.00%
12,3137,UBER,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202349,88.20%,98.00%,6.7,90.90%,81.80%,100.00%,76.90%
11,365,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202349,84.90%,98.50%,9.1,85.00%,95.10%,79.30%,81.10%
2,515,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202349,90.10%,93.10%,8.6,95.40%,84.90%,89.60%,89.90%
2,2753,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Driver Supply Focus,202349,85.90%,98.30%,6.5,83.00%,86.80%,84.50%,90.50%
2,3621,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202349,90.30%,95.30%,9,92.80%,97.30%,81.10%,90.50%
2,3741,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202349,87.80%,94.90%,9.9,93.20%,89.40%,84.90%,82.00%
9,2091,UBER,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202349,91.80%,99.10%,9.2,97.30%,95.50%,91.00%,88.80%
9,3235,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202349,83.00%,97.90%,8.7,84.00%,74.80%,85.50%,86.70%
9,4303,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202349,82.70%,99.60%,7.5,85.60%,86.70%,86.20%,76.00%
60,1876,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202349,75.00%,91.80%,4.8,66.70%,78.30%,72.10%,83.00%
61,5994,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202349,91.70%,97.20%,7.6,90.20%,95.10%,96.60%,85.60%
52,1545,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202349,83.00%,93.70%,9.6,89.90%,78.30%,98.20%,69.90%
52,1757,SPARK,Scheduled Standard Delivery,12,At Risk,Degrading,Driver Supply Focus,202349,88.40%,91.10%,8.9,87.80%,85.50%,94.20%,88.10%
52,4849,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202349,82.40%,99.00%,8.5,75.90%,94.80%,79.20%,81.70%
52,1633,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202349,89.10%,95.00%,9.8,97.10%,96.90%,79.90%,84.00%
52,750,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202349,91.10%,99.40%,3.9,98.90%,98.50%,89.70%,77.00%
57,3473,UBER,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202349,88.20%,98.60%,9.6,87.60%,86.90%,92.90%,85.60%
54,986,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202349,51.10%,92.00%,7.4,36.70%,47.50%,61.10%,63.60%
54,2293,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202349,80.10%,92.50%,7.5,82.10%,73.00%,84.70%,79.70%
54,2752,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202349,81.20%,92.90%,8.9,70.00%,90.80%,88.90%,75.80%
54,3805,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202349,78.90%,99.70%,8.5,85.80%,82.40%,84.20%,62.80%
61,3046,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202349,85.20%,99.60%,6,85.70%,84.30%,82.30%,88.30%
56,2039,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202349,85.00%,97.20%,9,91.70%,90.00%,68.80%,96.20%
47,1649,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202349,76.50%,97.60%,6.4,83.00%,60.80%,77.20%,80.50%
47,2990,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202349,89.10%,90.60%,5.8,88.00%,93.60%,82.00%,90.60%
22,4612,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202349,90.40%,98.20%,8.3,91.70%,92.80%,87.60%,89.80%
22,3633,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202349,90.60%,98.30%,5.1,93.60%,92.00%,87.60%,89.40%
22,2555,UBER,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202349,91.80%,91.60%,8.2,94.40%,97.50%,88.30%,87.60%
22,5495,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202349,90.90%,93.10%,9.7,91.00%,90.70%,94.80%,87.60%
22,2167,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202349,88.50%,91.00%,7.7,89.20%,90.50%,90.10%,85.10%
16,2660,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202349,84.40%,95.80%,8.7,81.10%,81.30%,84.60%,89.90%
16,2903,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202349,84.10%,90.70%,9.1,95.20%,86.10%,75.70%,78.60%
16,2140,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202349,87.70%,98.30%,6.2,81.60%,82.40%,88.10%,97.90%
16,2634,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202349,70.70%,97.70%,6.3,75.30%,66.70%,74.10%,65.80%
16,2398,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202349,75.50%,90.40%,7.2,67.30%,71.40%,77.00%,84.60%
16,2659,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202349,90.20%,97.50%,7.9,92.40%,95.20%,84.50%,90.20%
16,2138,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202349,80.30%,100.00%,4.4,82.30%,86.60%,79.70%,70.10%
16,2332,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202349,86.70%,88.70%,8.4,92.20%,87.70%,76.60%,91.40%
16,2424,SPARK,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202349,93.20%,90.40%,7.6,93.30%,88.30%,96.40%,94.40%
16,5498,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202349,83.20%,99.50%,7,94.00%,76.40%,77.60%,80.70%
17,2854,POINTPICKUP,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202349,86.50%,94.40%,8.4,78.40%,87.60%,89.40%,91.60%
17,3803,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202349,91.40%,98.90%,8.7,96.20%,90.90%,90.10%,87.60%
17,5201,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202349,90.20%,97.30%,8.6,93.20%,95.90%,83.00%,90.50%
17,2024,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202349,91.80%,99.50%,6.9,95.00%,89.90%,84.00%,98.00%
17,3443,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202349,88.00%,96.20%,6.6,92.40%,92.70%,81.30%,87.10%
17,3520,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202349,83.80%,98.90%,8.8,83.20%,86.10%,78.50%,87.50%
17,3562,SPARK,Scheduled Standard Delivery,12,At Risk,Recovering,Driver Supply Focus,202349,92.80%,95.70%,9.1,92.10%,93.90%,89.90%,95.80%
76,2164,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202349,91.40%,98.30%,6.9,83.50%,93.90%,92.90%,96.70%
76,3035,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202349,89.50%,97.70%,6,87.00%,92.60%,90.50%,88.50%
76,3035,UBER,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202349,79.00%,98.00%,9.5,83.10%,81.50%,78.10%,74.40%
76,5968,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202349,91.90%,92.00%,8.8,89.80%,96.10%,91.60%,90.50%
76,2564,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202349,77.10%,100.00%,5.8,62.50%,83.30%,81.80%,80.00%
26,2256,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202349,84.50%,92.60%,9.6,89.70%,79.90%,79.10%,89.30%
75,1335,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202349,81.30%,92.00%,8.9,76.70%,87.30%,71.40%,88.90%
75,1344,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202349,91.40%,92.50%,9.9,96.90%,92.70%,84.50%,91.20%
75,4638,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202349,92.50%,90.90%,9.3,92.00%,99.40%,91.10%,87.20%
75,3489,UBER,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202349,92.60%,95.70%,9.6,98.10%,99.20%,90.20%,84.40%
75,2412,POINTPICKUP,Scheduled Standard Delivery,38,Executive Review,Recovering,Driver Supply Focus,202349,81.00%,88.90%,9.7,93.50%,97.40%,82.90%,67.00%
4,1383,POINTPICKUP,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202349,83.80%,92.80%,9.4,93.30%,80.00%,72.10%,91.10%
4,1795,SPARK,Scheduled Standard Delivery,46,Executive Review,Recovering,Driver Supply Focus,202349,86.90%,97.60%,6.4,90.90%,74.60%,86.70%,93.80%
