Store ,Aisle Nav Ship date ,Tracking ,Pkg Wt (Lbs) ,Pkg Dimensions (in) ,Endcap Pusher Ship Date,1 Shelf Tracking,8 Shelf Tracking
1,5/19/2023,646046644749,18,49x14x5,N/A,N/A,N/A
2,5/19/2023,646046644750,18,50x14x5,N/A,N/A,N/A
3,5/25/2023,646046682853,34,49x20x8,4/5/2023,642429426232,642429424480
4,5/19/2023,646046644760,18,49x14x5,N/A,N/A,N/A
5,5/25/2023,646046682864,34,49x19x7,4/3/2023,642429386739,642429385170
7,5/26/2023,646046688439,34,51x20x8,4/3/2023,642429386740,642429385180
8,5/19/2023,646046644771,18,50x14x6,N/A,N/A,N/A
9,5/25/2023,646046682875,34,25x20x7,4/6/2023,642429475583,642429477185
10,5/26/2023,646046689067,34,51x21x8,4/3/2023,642429387952,642429386393
11,5/19/2023,646046644782,18,50x14x5,N/A,N/A,N/A
12,5/26/2023,646046689078,34,51x21x8,4/3/2023,642429387963,642429386419
13,5/19/2023,646046644793,18,49x14x5,N/A,N/A,N/A
14,5/19/2023,646046644808,18,50x13x5,N/A,N/A,N/A
15,5/19/2023,646046644819,18,50x14x5,4/6/2023,642429475594,642429477196
16,5/19/2023,646046644820,18,50x14x5,N/A,N/A,N/A
17,5/25/2023,646046682886,34,27x19x8,4/6/2023,642429475609,642429477200
18,5/19/2023,646046644830,18,50x14x6,N/A,N/A,N/A
19,5/19/2023,646046644841,18,50x14x5,N/A,N/A,N/A
20,5/19/2023,646046644852,18,50x14x5,N/A,N/A,N/A
21,5/19/2023,646046644863,18,50x13x5,4/6/2023,642429475610,642429477211
22,5/26/2023,646046689089,34,51x21x8,4/3/2023,642429387974,642429386420
23,5/25/2023,646046682897,34,49x20x7,4/5/2023,642429426817,642429425085
24,5/26/2023,646046682901,34,51x20x10,4/3/2023,642429386750,642429385191
25,5/19/2023,646046644874,18,50x13x5,4/6/2023,642429475620,642429477222
26,5/19/2023,646046644885,18,50x13x5,4/3/2023,642429387415,642429385868
27,5/19/2023,646046644896,18,50x13x5,N/A,N/A,N/A
28,5/23/2023,646046667474,18,50x14x5,N/A,N/A,N/A
29,5/19/2023,646046644900,18,50x13x5,N/A,N/A,N/A
30,5/19/2023,646046644911,18,50x14x6,4/6/2023,642429475631,642429477233
31,5/23/2023,646046667485,18,49x14x6,N/A,N/A,N/A
32,5/19/2023,646046644922,18,50x14x5,N/A,N/A,N/A
33,5/19/2023,646046644933,18,50x14x6,N/A,N/A,N/A
34,5/19/2023,646046644944,18,49x14x6,N/A,N/A,N/A
35,5/19/2023,646046644955,18,49x14x5,4/3/2023,642429387437,642429385879
36,5/25/2023,646046682912,34,49x19x7,4/3/2023,642429386761,642429385206
37,5/19/2023,646046644966,18,50x13x5,N/A,N/A,N/A
38,5/23/2023,646046667496,18,50x14x6,N/A,N/A,N/A
39,5/19/2023,646046644977,18,49x14x5,N/A,N/A,N/A
40,5/25/2023,646046682923,34,49x20x7,4/6/2023,642429475642,642429477244
41,5/26/2023,646046689090,34,51x21x8,4/3/2023,642429388000,642429386441
42,5/25/2023,646046682934,34,24x20x8,4/3/2023,642429387448,642429385880
