Region,Market,Store,Digital Shelf Labels,DSL Gen,DSL Start date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date
42,323,1,,,,,,6094,,,,Completed,Completed,7/10/2024
42,322,2,,,,,,6094,,,,Completed,Completed,
2,21,3,,,,,,6054,,,,Completed,Completed,
42,323,4,,,,,,6094,,,,7/15/2024,7/15/2024,7/22/2024
42,326,5,,,,,,6018,12/20/2024,,,Completed,Completed,7/30/2024
42,326,7,,,,,,6018,12/20/2024,,,Completed,Completed,8/4/2024
42,326,8,,,,,,6018,12/20/2024,,,Completed,Completed,7/16/2024
40,335,9,,,,,,6066,,,,Completed,Completed,
44,347,10,,,,,,6094,,,,7/15/2024,7/15/2024,
42,328,11,,,,,,6018,12/20/2024,,,Completed,Completed,7/23/2024
44,347,12,,,,,,6094,,,,7/15/2024,7/15/2024,
42,334,13,,,,,,6094,,,,7/15/2024,7/15/2024,
40,357,14,,,,,,6069,,,,8/5/2024,8/5/2024,
40,333,15,,,,,,6069,,,,Completed,Completed,
42,321,16,,,,,,6094,,,,Completed,Completed,
42,334,17,,,,,,6094,,,,7/15/2024,7/15/2024,
42,328,18,,,,,,6018,12/20/2024,,,Completed,Completed,7/8/2024
40,335,19,,,,,,6018,12/20/2024,,,7/22/2024,7/22/2024,
40,361,20,,,,,,6035,5/21/2024,,,Completed,Completed,
40,336,21,,,,,,6069,,,,8/5/2024,8/5/2024,
44,347,22,,,,,,6094,,,,7/15/2024,7/15/2024,
42,135,23,,,,,,6048,,,,9/16/2024,9/16/2024,
42,326,24,,,,,,6018,12/20/2024,,,Completed,Completed,
40,359,25,,,,,,6069,,,,8/5/2024,8/5/2024,
47,411,26,,,,,,6035,5/21/2024,,,Completed,Completed,1/19/2025
40,357,27,,,,,,6069,,,,8/5/2024,8/5/2024,
44,347,28,,,,,,6094,,,,7/15/2024,7/15/2024,
40,336,29,,,,,,6069,,,,8/5/2024,8/5/2024,
40,335,30,,,,,,6018,12/20/2024,,,Completed,Completed,
44,351,31,,,,,,6094,,,,Completed,Completed,
