Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Dot.com,Mod Deleted,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
1,1320,1044,1014,18,12, 117 ,92.0%,170,170,
2,855,881,834,40,7, 106 ,90.0%,136,136,
3,700,742,713,29,0, 121 ,80.4%,110,110,
4,780,946,769,157,20, 91 ,88.7%,130,130,
5,780,937,814,86,37, 135 ,89.0%,141,141,
7,1320,1004,960,16,28, 107 ,89.0%,163,163,
8,780,816,745,57,14, 101 ,86.4%,121,121,
9,780,810,758,45,7, 99 ,93.7%,123,123,
10,662,747,618,127,2, 98 ,87.0%,111,111,
11,855,974,931,43,0, 133 ,93.1%,140,140,
12,855,789,724,41,24, 85 ,83.6%,136,136,
13,700,729,627,82,20, 75 ,84.1%,103,103,
14,662,763,573,169,21, 82 ,87.7%,102,102,
15,1000,853,804,47,2, 116 ,86.4%,143,143,
16,780,791,768,23,0, 109 ,91.4%,124,124,
17,915,944,883,36,25, 103 ,88.4%,142,142,
18,400,436,417,13,6, 44 ,92.0%,74,74,
19,780,804,730,67,7, 112 ,85.7%,122,122,
20,700,749,715,34,0, 117 ,86.1%,111,111,
21,1320,1110,1080,29,1, 156 ,89.3%,166,166,
22,780,830,783,43,4, 112 ,88.7%,130,130,
23,1120,1001,978,12,11, 144 ,88.9%,158,158,
24,780,724,694,28,2, 85 ,90.6%,116,116,
25,1320,974,954,18,2, 103 ,87.6%,167,167,
26,855,1122,925,188,9, 139 ,95.1%,139,139,
28,1320,1061,976,45,40, 89 ,92.0%,170,170,
29,780,843,818,23,2, 115 ,89.6%,132,132,
30,1200,935,908,16,11, 77 ,92.0%,159,159,
31,915,888,860,22,6, 130 ,91.1%,142,142,
32,855,664,623,40,1, 52 ,87.1%,120,120,
33,400,444,407,32,5, 51 ,92.0%,73,73,
34,855,792,712,63,17, 78 ,89.9%,125,125,
35,1320,905,886,14,5, 140 ,78.5%,169,169,
36,1000,994,883,111,0, 101 ,88.9%,151,151,
37,855,755,730,24,1, 63 ,92.2%,125,125,
39,1320,1019,920,79,20, 78 ,88.6%,163,163,
40,915,931,806,110,15, 77 ,80.1%,138,138,
41,915,801,779,15,7, 71 ,86.9%,141,141,
43,855,698,673,16,9, 70 ,80.0%,136,136,
45,855,823,802,19,2, 106 ,86.1%,141,141,
46,498,591,528,57,6, 99 ,84.6%,88,88,
47,1320,1050,968,67,15, 118 ,91.0%,163,163,
48,780,802,762,27,13, 85 ,95.3%,125,125,
52,1320,998,979,19,0, 148 ,85.2%,165,165,
54,915,900,855,41,4, 117 ,90.1%,139,139,
57,400,587,532,47,8, 34 ,93.2%,72,72,
58,1320,1315,1198,106,11, 259 ,84.7%,172,172,
59,855,798,768,22,8, 107 ,87.0%,135,135,
60,855,788,756,24,8, 78 ,90.0%,137,137,
61,1000,1007,941,64,2, 143 ,91.4%,159,159,
62,616,709,636,62,11, 77 ,83.8%,102,102,
63,662,579,569,10,0, 52 ,92.2%,98,98,
64,915,796,755,33,8, 68 ,89.6%,131,131,
65,855,836,780,56,0, 112 ,91.0%,129,129,
66,1200,1053,1013,33,7, 131 ,90.2%,160,160,
67,1320,920,853,56,11, 94 ,89.0%,150,150,
68,616,679,530,129,20, 57 ,90.0%,99,99,
69,1000,951,844,87,20, 101 ,91.0%,140,140,
70,915,927,724,182,21, 144 ,70.7%,143,143,
71,780,736,707,20,9, 71 ,90.5%,122,122,
72,855,929,878,37,14, 106 ,91.2%,135,135,
73,915,789,710,54,25, 62 ,86.2%,134,134,
75,616,708,608,87,13, 97 ,82.7%,102,102,
76,550,658,590,67,1, 53 ,93.5%,91,91,
77,1320,969,946,23,0, 125 ,86.3%,164,164,
78,1320,951,905,38,8, 72 ,89.6%,161,161,
79,616,614,577,35,2, 84 ,88.5%,100,100,
80,855,824,723,79,22, 89 ,82.0%,136,136,
83,1320,808,742,27,39, 53 ,90.2%,142,142,
85,780,689,587,72,30, 99 ,65.7%,130,130,
86,1120,931,814,84,33, 66 ,88.4%,151,151,
87,498,556,497,50,9, 74 ,92.9%,82,82,
88,662,667,610,48,9, 79 ,83.0%,103,103,
89,1200,948,883,64,1, 126 ,88.3%,158,158,
90,780,717,698,12,7, 112 ,88.5%,126,126,
91,780,952,865,62,25, 84 ,82.1%,136,136,
93,1320,1041,988,42,11, 122 ,84.2%,167,167,
94,616,793,731,46,16, 109 ,85.5%,108,108,
95,1320,953,926,18,9, 90 ,90.2%,161,161,
96,915,917,843,62,12, 79 ,92.8%,134,134,
98,1320,1119,1090,19,10, 96 ,96.7%,150,150,
100,1320,1552,1320,213,19, 183 ,90.8%,170,170,
101,1120,1016,976,32,8, 140 ,90.0%,156,156,
103,1320,1079,1039,36,4, 129 ,94.7%,167,167,
104,1320,974,888,78,8, 116 ,81.0%,165,165,
105,915,780,767,13,0, 171 ,75.3%,146,146,
107,1320,860,839,17,4, 104 ,82.0%,160,160,
