Region,Market,Store,Labor Status,,,,,,,,,,,,
42,326,8,Pending,,,,,,,,,,,,
42,323,4108,,,,,,,,,,,,,
4,310,6958,,,,,,,,,,,,,
26,302,7009,,,,,,,,,,,,,
26,302,3701,,,,,,,,,,,,,
26,302,7238,,,,,,,,,,,,,
4,294,1795,,,,,,,,,,,,,
40,336,44,Cancelled,,,,,,,,,,,,
40,336,29,Cancelled,,,,,,,,,,,,
40,336,65,,,,,,,,,,,,,
40,336,89,Cancelled,,,,,,,,,,,,
40,336,101,Cancelled,,,,,,,,,,,,
40,336,219,Cancelled,,,,,,,,,,,,
40,336,5477,Cancelled,,,,,,,,,,,,
54,378,1008,,,,,,,,,,,,,
7,86,2599,,,,,,,,,,,,,
9,553,1996,,,,,,,,,,,,,
12,119,477,,,,,,,,,,,,,
44,47,148,Cancelled,,,,,,,,,,,,
41,253,204,Cancelled,,,,,,,,,,,,
5,50,266,Cancelled,,,,,,,,,,,,
44,47,417,Cancelled,,,,,,,,,,,,
5,52,467,Cancelled,,,,,,,,,,,,
5,49,471,Cancelled,,,,,,,,,,,,
12,119,477,Cancelled,,,,,,,,,,,,
41,242,526,Cancelled,,,,,,,,,,,,
13,130,532,Cancelled,,,,,,,,,,,,
4,37,586,Cancelled,,,,,,,,,,,,
9,92,649,Cancelled,,,,,,,,,,,,
12,152,674,Cancelled,,,,,,,,,,,,
46,385,835,Cancelled,,,,,,,,,,,,
13,130,839,Cancelled,,,,,,,,,,,,
5,50,880,Cancelled,,,,,,,,,,,,
46,375,966,Cancelled,,,,,,,,,,,,
9,92,973,Cancelled,,,,,,,,,,,,
13,130,1102,Cancelled,,,,,,,,,,,,
4,42,1144,Cancelled,,,,,,,,,,,,
13,125,1163,Pending,,,,,,,,,,,,
9,115,1171,Cancelled,,,,,,,,,,,,
13,130,1206,Cancelled,,,,,,,,,,,,
21,217,1239,Cancelled,,,,,,,,,,,,
54,380,1252,Cancelled,,,,,,,,,,,,
75,312,1301,Cancelled,,,,,,,,,,,,
13,128,1342,Pending,,,,,,,,,,,,
4,36,1359,Cancelled,,,,,,,,,,,,
52,413,1393,Cancelled,,,,,,,,,,,,
52,413,1393,Cancelled,,,,,,,,,,,,
6,61,1405,Cancelled,,,,,,,,,,,,
21,218,1427,Cancelled,,,,,,,,,,,,
52,413,1491,Cancelled,,,,,,,,,,,,
21,223,1503,Cancelled,,,,,,,,,,,,
21,223,1504,Cancelled,,,,,,,,,,,,
52,415,1509,Cancelled,,,,,,,,,,,,
22,233,1529,Cancelled,,,,,,,,,,,,
46,369,1532,Cancelled,,,,,,,,,,,,
46,369,1533,Cancelled,,,,,,,,,,,,
54,388,1550,Cancelled,,,,,,,,,,,,
57,394,1559,Cancelled,,,,,,,,,,,,
57,396,1584,Cancelled,,,,,,,,,,,,
9,553,1590,Cancelled,,,,,,,,,,,,
21,219,1594,Cancelled,,,,,,,,,,,,
4,39,1603,Cancelled,,,,,,,,,,,,
22,232,1644,Cancelled,,,,,,,,,,,,
52,413,1683,Cancelled,,,,,,,,,,,,
52,413,1723,Cancelled,,,,,,,,,,,,
52,413,1764,Cancelled,,,,,,,,,,,,
52,413,1764,Cancelled,,,,,,,,,,,,
22,232,1794,Cancelled,,,,,,,,,,,,
22,284,1860,Pending,,,,,,,,,,,,
75,508,1981,Pending,,,,,,,,,,,,
76,283,1985,Pending,,,,,,,,,,,,
21,217,1990,Cancelled,,,,,,,,,,,,
76,292,2015,Cancelled,,,,,,,,,,,,
22,233,2023,Cancelled,,,,,,,,,,,,
75,281,2045,Pending,,,,,,,,,,,,
20,311,2089,Cancelled,,,,,,,,,,,,
54,380,2125,Cancelled,,,,,,,,,,,,
22,232,2169,Cancelled,,,,,,,,,,,,
22,233,2205,Cancelled,,,,,,,,,,,,
22,233,2340,Cancelled,,,,,,,,,,,,
76,280,2357,Pending,,,,,,,,,,,,
60,514,2385,Cancelled,,,,,,,,,,,,
60,514,2403,Cancelled,,,,,,,,,,,,
75,293,2412,Pending,,,,,,,,,,,,
21,217,2426,Cancelled,,,,,,,,,,,,
21,217,2471,Cancelled,,,,,,,,,,,,
22,232,2481,Cancelled,,,,,,,,,,,,
57,394,2483,Cancelled,,,,,,,,,,,,
60,514,2516,Cancelled,,,,,,,,,,,,
22,233,2519,Cancelled,,,,,,,,,,,,
60,514,2571,Cancelled,,,,,,,,,,,,
5,50,2649,Cancelled,,,,,,,,,,,,
5,55,2667,Cancelled,,,,,,,,,,,,
13,125,2706,Pending,,,,,,,,,,,,
52,426,2714,Cancelled,,,,,,,,,,,,
21,217,2725,Cancelled,,,,,,,,,,,,
21,219,2726,Cancelled,,,,,,,,,,,,
75,508,2799,Pending,,,,,,,,,,,,
75,290,2808,Cancelled,,,,,,,,,,,,
52,421,2820,Canceled,,,,,,,,,,,,
57,394,2884,Cancelled,,,,,,,,,,,,
22,233,2888,Cancelled,,,,,,,,,,,,
13,129,2913,Pending,,,,,,,,,,,,
13,132,2938,Pending,,,,,,,,,,,,
9,108,2962,Cancelled,,,,,,,,,,,,
5,49,3014,Cancelled,,,,,,,,,,,,
13,125,3167,Pending,,,,,,,,,,,,
75,289,3216,Cancelled,,,,,,,,,,,,
76,192,3280,Cancelled,,,,,,,,,,,,
6,64,3296,Cancelled,,,,,,,,,,,,
14,97,3307,Cancelled,,,,,,,,,,,,
57,394,3350,Cancelled,,,,,,,,,,,,
57,394,3351,Cancelled,,,,,,,,,,,,
5,49,3433,Cancelled,,,,,,,,,,,,
14,14,3484,Cancelled,,,,,,,,,,,,
60,514,3525,Cancelled,,,,,,,,,,,,
54,585,3533,Cancelled,,,,,,,,,,,,
16,160,3560,Cancelled,,,,,,,,,,,,
54,380,3566,Cancelled,,,,,,,,,,,,
21,219,3580,Cancelled,,,,,,,,,,,,
9,109,3625,Cancelled,,,,,,,,,,,,
22,232,3634,Cancelled,,,,,,,,,,,,
2,20,3709,Cancelled,,,,,,,,,,,,
57,394,3728,Cancelled,,,,,,,,,,,,
52,413,3762,Cancelled,,,,,,,,,,,,
21,221,3784,Cancelled,,,,,,,,,,,,
21,219,3792,Cancelled,,,,,,,,,,,,
60,514,3794,Cancelled,,,,,,,,,,,,
6,64,3827,Cancelled,,,,,,,,,,,,
9,116,3887,Cancelled,,,,,,,,,,,,
4,42,4237,Cancelled,,,,,,,,,,,,
9,110,4303,Cancelled,,,,,,,,,,,,
4,294,4334,Cancelled,,,,,,,,,,,,
75,287,4350,Cancelled,,,,,,,,,,,,
56,392,4370,Cancelled,,,,,,,,,,,,
22,233,4404,Cancelled,,,,,,,,,,,,
4,41,4420,Cancelled,,,,,,,,,,,,
41,242,4450,Cancelled,,,,,,,,,,,,
5,44,4503,Cancelled,,,,,,,,,,,,
4,41,4506,Cancelled,,,,,,,,,,,,
57,396,4557,Cancelled,,,,,,,,,,,,
52,413,4606,Cancelled,,,,,,,,,,,,
13,130,4683,Cancelled,,,,,,,,,,,,
54,585,4734,Cancelled,,,,,,,,,,,,
13,125,5022,Pending,,,,,,,,,,,,
60,514,5073,Cancelled,,,,,,,,,,,,
75,315,5117,Cancelled,,,,,,,,,,,,
76,283,5129,Pending,,,,,,,,,,,,
5,44,5147,Cancelled,,,,,,,,,,,,
22,233,5200,Cancelled,,,,,,,,,,,,
54,403,5233,Cancelled,,,,,,,,,,,,
54,403,5350,Cancelled,,,,,,,,,,,,
41,242,5418,Cancelled,,,,,,,,,,,,
46,385,5491,Cancelled,,,,,,,,,,,,
6,63,5612,Cancelled,,,,,,,,,,,,
54,380,5676,Cancelled,,,,,,,,,,,,
56,455,5864,Cancelled,,,,,,,,,,,,
5,53,5889,Cancelled,,,,,,,,,,,,
54,585,5957,Cancelled,,,,,,,,,,,,
76,292,5969,Cancelled,,,,,,,,,,,,
42,127,6932,Pending,,,,,,,,,,,,
19,204,1422,Pending,,,,,,,,,,,,
19,203,1423,Pending,,,,,,,,,,,,
19,204,1432,Pending,,,,,,,,,,,,
19,205,1611,Pending,,,,,,,,,,,,
19,204,1752,Pending,,,,,,,,,,,,
19,197,1790,Pending,,,,,,,,,,,,
19,200,1791,Pending,,,,,,,,,,,,
76,191,1831,Pending,,,,,,,,,,,,
16,160,1906,Pending,,,,,,,,,,,,
17,164,1959,Pending,,,,,,,,,,,,
16,159,1970,Pending,,,,,,,,,,,,
16,188,1997,Pending,,,,,,,,,,,,
16,160,2021,Pending,,,,,,,,,,,,
16,159,2103,Pending,,,,,,,,,,,,
16,188,2152,Pending,,,,,,,,,,,,
16,160,2157,Pending,,,,,,,,,,,,
76,194,2164,Pending,,,,,,,,,,,,
16,160,2184,Pending,,,,,,,,,,,,
16,159,2227,Pending,,,,,,,,,,,,
17,173,2284,Pending,,,,,,,,,,,,
17,163,2299,Pending,,,,,,,,,,,,
17,162,2331,Pending,,,,,,,,,,,,
16,159,2336,Pending,,,,,,,,,,,,
16,159,2341,Pending,,,,,,,,,,,,
17,163,2371,Pending,,,,,,,,,,,,
17,164,2547,Pending,,,,,,,,,,,,
17,173,2585,Pending,,,,,,,,,,,,
19,203,2869,Pending,,,,,,,,,,,,
17,163,2900,Pending,,,,,,,,,,,,
16,157,3114,Pending,,,,,,,,,,,,
17,163,5095,Pending,,,,,,,,,,,,
17,172,5293,Pending,,,,,,,,,,,,
17,173,5294,Pending,,,,,,,,,,,,
17,172,5295,Pending,,,,,,,,,,,,
17,173,5439,Pending,,,,,,,,,,,,
17,190,5732,Pending,,,,,,,,,,,,
56,399,2508,Pending,,,,,,,,,,,,
19,202,1593,Pending,,,,,,,,,,,,
60,475,1817,Pending,,,,,,,,,,,,
16,180,1939,Pending,,,,,,,,,,,,
16,180,2046,Pending,,,,,,,,,,,,
47,427,4352,Pending,,,,,,,,,,,,
60,477,5440,Pending,,,,,,,,,,,,
56,400,1900,Pending,,,,,,,,,,,,
16,180,1868,Pending,,,,,,,,,,,,
47,427,3875,Pending,,,,,,,,,,,,
60,477,5935,Pending,,,,,,,,,,,,
56,399,2780,Pending,,,,,,,,,,,,
47,427,1649,Reschedule required,,,,,,,,,,,,
56,400,1878,Pending,,,,,,,,,,,,
47,427,1534,Pending,,,,,,,,,,,,
52,412,1545,Pending,,,,,,,,,,,,
60,478,3239,Pending,,,,,,,,,,,,
16,179,1932,Pending,,,,,,,,,,,,
47,427,2033,Pending,,,,,,,,,,,,
47,427,3648,Pending,,,,,,,,,,,,
60,477,1784,Pending,,,,,,,,,,,,
60,478,2538,Pending,,,,,,,,,,,,
16,183,2153,Pending,,,,,,,,,,,,
16,179,5076,Pending,,,,,,,,,,,,
47,427,1695,Pending,,,,,,,,,,,,
60,477,5368,Pending,,,,,,,,,,,,
16,183,1788,Pending,,,,,,,,,,,,
16,179,1856,Pending,,,,,,,,,,,,
56,468,1834,Pending,,,,,,,,,,,,
60,478,5396,Pending,,,,,,,,,,,,
16,179,1924,Pending,,,,,,,,,,,,
