Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
146,41,104,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,80.44%,88.24%,9.5,78.50%,82.50%,85.70%,75.00%
146,41,335,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202230,73.74%,65.74%,17.2,82.40%,73.90%,72.00%,66.80%
152,41,587,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202230,90.36%,90.20%,11.1,95.70%,91.70%,78.90%,94.10%
152,41,671,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202230,73.37%,66.89%,15.6,97.80%,80.80%,63.30%,60.80%
242,41,1053,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202230,84.66%,78.83%,9.9,89.70%,80.70%,75.30%,92.10%
242,41,3294,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202230,81.33%,43.31%,19.1,82.40%,70.40%,91.90%,79.70%
242,41,3294,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202230,77.54%,51.35%,13,87.30%,71.80%,73.00%,75.90%
242,41,5417,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202230,84.63%,88.68%,11.3,88.20%,84.90%,82.30%,83.20%
242,41,5418,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,64.29%,61.66%,23.9,72.20%,69.20%,81.10%,53.70%
242,41,5418,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202230,64.79%,68.38%,16.7,72.90%,64.60%,72.20%,53.10%
242,41,7290,UBER,Scheduled Standard Delivery,32,Executive Review,Degrading,Store Focus,202230,77.60%,80.00%,10.7,89.20%,79.20%,75.00%,66.70%
253,41,282,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202230,87.24%,80.41%,14.4,90.10%,90.20%,80.70%,87.30%
253,41,491,POINTPICKUP,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202230,68.00%,75.86%,17.9,60.00%,50.00%,85.70%,66.70%
253,41,3362,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202230,78.37%,67.47%,10.1,91.60%,91.60%,63.90%,66.60%
254,41,299,POINTPICKUP,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202230,84.93%,76.71%,13.9,76.90%,83.30%,88.90%,85.70%
254,41,299,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,78.69%,69.63%,15.3,75.70%,75.40%,80.40%,82.60%
254,41,1341,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202230,78.21%,73.94%,14.3,92.80%,75.40%,82.60%,66.90%
254,41,5236,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,78.26%,68.63%,22.8,76.90%,85.70%,75.00%,71.40%
256,41,709,UBER,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202230,78.82%,69.48%,13.9,90.40%,72.10%,90.50%,66.70%
256,41,1165,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202230,79.55%,63.28%,17.1,90.30%,72.30%,80.00%,75.60%
256,41,1165,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202230,68.42%,56.31%,19,68.80%,59.10%,65.00%,76.70%
256,41,4118,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202230,83.87%,92.43%,8.1,88.80%,83.70%,78.70%,83.90%
256,41,6931,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,80.79%,79.90%,10,88.00%,76.70%,76.10%,82.20%
257,41,689,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202230,79.74%,81.64%,13.1,92.90%,82.40%,76.10%,73.00%
257,41,825,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202230,81.25%,97.14%,6.3,100.00%,75.00%,90.90%,66.70%
258,41,1113,DOORDASH,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202230,81.70%,80.32%,13.8,87.00%,68.90%,86.30%,80.80%
258,41,1259,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202230,83.75%,85.37%,17.1,71.40%,82.10%,79.20%,88.90%
258,41,1259,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202230,89.30%,92.10%,13.1,93.10%,91.40%,79.70%,90.90%
258,41,1505,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202230,65.69%,92.60%,7.2,84.00%,60.50%,52.20%,50.00%
259,41,591,POINTPICKUP,Scheduled Express Delivery ,15,Executive Review,Recovering,Driver Supply Focus,202230,81.08%,96.97%,6.2,92.30%,70.00%,83.30%,75.00%
259,41,1426,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202230,85.73%,93.81%,8.5,94.90%,85.50%,77.70%,83.30%
259,41,1478,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,72.04%,77.04%,14,83.10%,72.50%,68.80%,59.60%
259,41,3894,DOORDASH,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202230,54.31%,51.97%,18.8,61.90%,50.00%,52.00%,53.80%
259,41,3894,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,63.44%,52.91%,16.5,76.60%,68.40%,56.10%,53.60%
260,41,720,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202230,73.33%,89.09%,12.3,62.50%,80.00%,71.40%,80.00%
260,41,720,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202230,70.41%,67.27%,18.9,78.30%,81.50%,61.30%,62.20%
260,41,720,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,74.55%,62.82%,15.6,84.00%,75.90%,65.10%,73.10%
260,41,2628,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202230,55.14%,56.49%,31.2,60.00%,92.90%,52.90%,43.10%
260,41,2628,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,63.49%,62.93%,16.6,60.80%,84.50%,74.90%,53.00%
494,59,4524,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202230,79.63%,84.75%,10.8,76.90%,91.70%,60.00%,84.20%
494,59,4524,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202230,82.82%,93.08%,8.2,88.20%,73.90%,76.80%,88.10%
494,59,5452,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,84.22%,85.55%,9.8,89.00%,82.10%,85.30%,81.10%
1,14,853,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,202230,71.43%,66.67%,18.2,100.00%,81.80%,87.50%,46.20%
1,14,853,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202230,74.94%,74.34%,11.5,82.80%,87.30%,85.60%,54.90%
1,14,866,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202230,77.89%,80.69%,10.4,78.60%,84.40%,81.00%,73.00%
1,14,904,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,80.00%,73.33%,16.1,87.50%,50.00%,81.80%,85.70%
1,14,934,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,85.48%,92.42%,9.3,66.70%,88.20%,100.00%,94.40%
1,14,934,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202230,82.55%,95.56%,10.2,78.70%,75.00%,68.20%,94.80%
1,14,991,POINTPICKUP,Scheduled Standard Delivery,29,Executive Review,Recovering,Store Focus,202230,86.94%,88.24%,12.3,90.00%,90.90%,86.20%,83.50%
1,14,1212,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,202230,63.64%,68.75%,13.9,100.00%,100.00%,71.40%,45.50%
1,14,1212,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202230,78.38%,85.03%,13.8,83.40%,83.10%,79.30%,69.30%
1,14,4333,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202230,80.65%,90.63%,14.2,100.00%,57.10%,75.00%,89.50%
1,14,4333,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202230,78.95%,78.53%,15.2,77.50%,79.60%,74.40%,83.10%
1,14,4581,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202230,86.86%,90.19%,12.5,93.80%,92.60%,91.20%,74.50%
1,14,5174,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202230,89.25%,82.35%,11.1,94.50%,89.30%,95.50%,83.00%
1,14,6173,POINTPICKUP,Scheduled Express Delivery ,5,At Risk,Degrading,Store Focus,202230,84.62%,90.43%,11.8,78.60%,93.80%,77.80%,84.60%
1,14,6173,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202230,73.21%,100.00%,7.6,75.00%,83.30%,66.70%,73.30%
2,14,1158,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202230,81.55%,97.66%,8.2,80.20%,79.30%,76.70%,89.20%
3,14,301,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202230,91.67%,88.00%,11.1,94.40%,100.00%,86.70%,90.00%
3,14,2713,POINTPICKUP,Scheduled Standard Delivery,31,Executive Review,Degrading,Store Focus,202230,70.00%,65.22%,32.7,66.70%,100.00%,60.00%,100.00%
3,14,2713,SPARK,Scheduled Standard Delivery,34,Executive Review,Degrading,Store Focus,202230,70.85%,65.57%,19.3,69.50%,74.50%,72.10%,67.50%
7,14,604,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202230,83.37%,76.06%,18,91.40%,88.10%,93.20%,44.50%
7,14,740,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202230,77.53%,94.02%,8.6,88.40%,60.00%,80.80%,78.20%
7,14,1134,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,-,Driver Supply Focus,202230,66.67%,100.00%,7.6,,50.00%,,71.40%
8,14,700,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202230,89.66%,89.29%,12.8,93.40%,92.90%,89.10%,82.60%
