Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
364,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202429,3,90.00%,97.40%,7.7,91.20%,91.80%,89.80%,87.20%
567,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202429,49,93.50%,100.00%,5.6,100.00%,90.00%,96.70%,84.20%
1791,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202429,4,90.20%,94.60%,6.8,91.30%,95.00%,87.80%,86.20%
2540,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202429,8,94.50%,99.30%,8.9,99.10%,86.90%,96.30%,96.30%
2281,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202429,8,94.80%,99.70%,9.1,96.50%,97.80%,97.50%,89.20%
44,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202429,34,89.60%,99.40%,3.9,91.70%,80.00%,85.40%,100.00%
250,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202429,1,83.40%,98.00%,6.2,71.50%,86.90%,88.60%,86.30%
802,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202429,1,80.60%,99.30%,6,72.70%,77.60%,88.30%,86.80%
2421,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202429,4,84.50%,96.40%,9.7,84.00%,91.10%,79.80%,82.50%
3245,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202429,10,92.40%,95.00%,6.2,87.10%,96.30%,98.70%,89.70%
1316,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202429,2,83.40%,94.60%,9.1,80.20%,89.00%,89.10%,75.80%
2510,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202429,12,88.00%,96.30%,7.2,86.60%,90.80%,85.20%,90.00%
2748,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202429,10,97.20%,99.00%,9.5,99.70%,99.60%,89.80%,97.50%
3119,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202429,9,96.10%,98.10%,10,99.70%,99.50%,97.30%,89.70%
1876,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202429,36,94.40%,96.40%,5.1,97.00%,97.90%,94.50%,87.00%
2485,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202429,6,93.30%,89.50%,9.9,93.60%,95.00%,95.30%,89.00%
2714,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202429,3,83.40%,99.10%,5.7,84.10%,85.90%,85.20%,78.60%
1415,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202429,6,86.10%,94.20%,8.5,80.50%,92.80%,91.70%,78.90%
4374,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202429,6,79.20%,97.90%,6.2,91.20%,78.60%,83.30%,58.00%
2321,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202429,8,91.50%,96.70%,9.2,95.10%,91.30%,89.60%,89.70%
3561,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202429,7,94.40%,91.20%,6.6,95.70%,97.20%,98.50%,86.90%
