Region,Market,Store Nbr,Tier,Details
42,323,1,Tier 1,ISA On in Total Store
42,322,2,Tier 2,GM Pause
2,21,3,Tier 2,GM Pause
42,323,4,Tier 1,ISA On in Total Store
42,326,5,Tier 1,ISA On in Total Store
42,326,7,Tier 3,Total Store ISA Pause
42,326,8,Tier 2,GM Pause
40,335,9,Tier 2,GM Pause
44,347,10,Tier 2,GM Pause
42,328,11,Tier 1,ISA On in Total Store
44,347,12,Tier 2,GM Pause
42,334,13,Tier 2,GM Pause
40,357,14,Tier 2,GM Pause
40,333,15,Tier 3,Total Store ISA Pause
42,321,16,Tier 2,GM Pause
42,334,17,Tier 1,ISA On in Total Store
42,328,18,Tier 2,GM Pause
40,335,19,Tier 2,GM Pause
40,357,20,Tier 2,GM Pause
40,336,21,Tier 1,ISA On in Total Store
44,347,22,Tier 2,GM Pause
42,135,23,Tier 2,GM Pause
42,326,24,Tier 1,ISA On in Total Store
40,359,25,Tier 2,GM Pause
47,411,26,Tier 2,GM Pause
40,357,27,Tier 1,ISA On in Total Store
44,347,28,Tier 2,GM Pause
40,359,29,Tier 1,ISA On in Total Store
40,335,30,Tier 2,GM Pause
44,351,31,Tier 1,ISA On in Total Store
40,333,32,Tier 1,ISA On in Total Store
42,325,33,Tier 1,ISA On in Total Store
42,334,34,Tier 1,ISA On in Total Store
47,407,35,Tier 2,GM Pause
12,329,36,Tier 1,ISA On in Total Store
40,335,37,Tier 2,GM Pause
44,47,38,Tier 1,ISA On in Total Store
44,410,39,Tier 3,Total Store ISA Pause
40,359,40,Tier 2,GM Pause
44,345,41,Tier 2,GM Pause
44,410,42,Tier 3,Total Store ISA Pause
47,407,43,Tier 1,ISA On in Total Store
40,336,44,Tier 2,GM Pause
12,329,45,Tier 1,ISA On in Total Store
40,357,46,Tier 1,ISA On in Total Store
44,351,47,Tier 2,GM Pause
42,334,48,Tier 1,ISA On in Total Store
44,47,49,Tier 2,GM Pause
44,347,50,Tier 2,GM Pause
40,339,51,Tier 2,GM Pause
42,325,52,Tier 2,GM Pause
42,322,54,Tier 2,GM Pause
42,321,55,Tier 1,ISA On in Total Store
40,333,56,Tier 2,GM Pause
42,328,57,Tier 2,GM Pause
42,325,58,Tier 1,ISA On in Total Store
42,334,59,Tier 1,ISA On in Total Store
40,339,60,Tier 2,GM Pause
40,361,61,Tier 2,GM Pause
12,329,62,Tier 3,Total Store ISA Pause
44,347,63,Tier 2,GM Pause
41,146,64,Tier 2,GM Pause
40,336,65,Tier 3,Total Store ISA Pause
42,321,66,Tier 1,ISA On in Total Store
42,321,67,Tier 2,GM Pause
12,329,68,Tier 1,ISA On in Total Store
40,335,69,Tier 2,GM Pause
12,329,70,Tier 2,GM Pause
42,328,71,Tier 2,GM Pause
44,410,72,Tier 1,ISA On in Total Store
44,356,73,Tier 2,GM Pause
12,329,74,Tier 2,GM Pause
13,134,75,Tier 1,ISA On in Total Store
42,322,76,Tier 1,ISA On in Total Store
5,83,77,Tier 1,ISA On in Total Store
40,357,78,Tier 2,GM Pause
42,334,79,Tier 2,GM Pause
40,359,80,Tier 1,ISA On in Total Store
44,347,81,Tier 2,GM Pause
40,335,82,Tier 1,ISA On in Total Store
42,327,83,Tier 2,GM Pause
42,324,85,Tier 1,ISA On in Total Store
40,357,86,Tier 2,GM Pause
42,127,87,Tier 2,GM Pause
40,357,88,Tier 2,GM Pause
40,336,89,Tier 1,ISA On in Total Store
44,347,90,Tier 2,GM Pause
12,329,91,Tier 3,Total Store ISA Pause
42,334,92,Tier 2,GM Pause
12,145,93,Tier 2,GM Pause
12,145,94,Tier 1,ISA On in Total Store
