Store,Category,Sub Category,Item Description,PLU #
1,Party Trays,FULL SERVICE HOT FOODS,LG WING TRAY,8115
1,Party Trays,PREPACKAGED PARTY TRAYS,2FT PARTY SUB,5847
1,Party Trays,PREPACKAGED PARTY TRAYS,4FT PARTY SUB,5848
1,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
1,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT & CHEESE,5677
1,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
1,Party Trays,PREPACKAGED PARTY TRAYS,LG SLIDER TRAY,27208
1,Party Trays,PREPACKAGED PARTY TRAYS,MD SANDWICH TRAY,5798
1,Party Trays,PREPACKAGED PARTY TRAYS,MD SLIDER TRAY,27207
1,Party Trays,PREPACKAGED PARTY TRAYS,SM MEAT & CHEESE,7126
1,Party Trays,PREPACKAGED PARTY TRAYS,SM SLIDER TRAY,27206
2,Party Trays,FULL SERVICE HOT FOODS,MD CHICKEN TRIO,27203
2,Party Trays,FULL SERVICE HOT FOODS,MD WING TRAY,8114
2,Party Trays,PREPACKAGED PARTY TRAYS,2FT PARTY SUB,5847
2,Party Trays,PREPACKAGED PARTY TRAYS,4FT PARTY SUB,5848
2,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
2,Party Trays,PREPACKAGED PARTY TRAYS,LG CHEESE TRAY,5812
2,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT & CHEESE,5677
2,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT TRAY,5833
2,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
2,Party Trays,PREPACKAGED PARTY TRAYS,LG SLIDER TRAY,27208
2,Party Trays,PREPACKAGED PARTY TRAYS,MD CHEESE TRAY,5811
2,Party Trays,PREPACKAGED PARTY TRAYS,MD MEAT & CHEESE,7125
2,Party Trays,PREPACKAGED PARTY TRAYS,MD SANDWICH TRAY,5798
2,Party Trays,PREPACKAGED PARTY TRAYS,MD SLIDER TRAY,27207
2,Party Trays,PREPACKAGED PARTY TRAYS,SM MEAT & CHEESE,7126
2,Party Trays,PREPACKAGED PARTY TRAYS,SM SLIDER TRAY,27206
3,Party Trays,FULL SERVICE HOT FOODS,LG CHICKEN TRIO,27204
3,Party Trays,FULL SERVICE HOT FOODS,LG WING TRAY,8115
3,Party Trays,FULL SERVICE HOT FOODS,MD CHICKEN TRIO,27203
3,Party Trays,FULL SERVICE HOT FOODS,SM WING TRAY,8113
3,Party Trays,PREPACKAGED PARTY TRAYS,2FT PARTY SUB,5847
3,Party Trays,PREPACKAGED PARTY TRAYS,4FT PARTY SUB,5848
3,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
3,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
3,Party Trays,PREPACKAGED PARTY TRAYS,LG SLIDER TRAY,27208
3,Party Trays,PREPACKAGED PARTY TRAYS,MD SANDWICH TRAY,5798
3,Party Trays,PREPACKAGED PARTY TRAYS,MD SLIDER TRAY,27207
4,Party Trays,PREPACKAGED PARTY TRAYS,4FT PARTY SUB,5848
4,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
4,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT & CHEESE,5677
4,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
4,Party Trays,PREPACKAGED PARTY TRAYS,LG SLIDER TRAY,27208
4,Party Trays,PREPACKAGED PARTY TRAYS,MD MEAT & CHEESE,7125
4,Party Trays,PREPACKAGED PARTY TRAYS,MD SANDWICH TRAY,5798
4,Party Trays,PREPACKAGED PARTY TRAYS,MD SLIDER TRAY,27207
4,Party Trays,PREPACKAGED PARTY TRAYS,SM MEAT & CHEESE,7126
4,Party Trays,PREPACKAGED PARTY TRAYS,SM SLIDER TRAY,27206
5,Party Trays,FULL SERVICE HOT FOODS,LG CHICKEN TRIO,27204
5,Party Trays,FULL SERVICE HOT FOODS,LG WING TRAY,8115
5,Party Trays,FULL SERVICE HOT FOODS,MD CHICKEN TRIO,27203
5,Party Trays,FULL SERVICE HOT FOODS,MD WING TRAY,8114
5,Party Trays,FULL SERVICE HOT FOODS,SM WING TRAY,8113
5,Party Trays,PREPACKAGED PARTY TRAYS,2FT PARTY SUB,5847
5,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
5,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT & CHEESE,5677
5,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT TRAY,5833
5,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
5,Party Trays,PREPACKAGED PARTY TRAYS,LG SLIDER TRAY,27208
5,Party Trays,PREPACKAGED PARTY TRAYS,MD MEAT & CHEESE,7125
5,Party Trays,PREPACKAGED PARTY TRAYS,MD SANDWICH TRAY,5798
5,Party Trays,PREPACKAGED PARTY TRAYS,MD SLIDER TRAY,27207
7,Party Trays,FULL SERVICE HOT FOODS,LG WING TRAY,8115
7,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
7,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
9,Party Trays,FULL SERVICE HOT FOODS,MD WING TRAY,8114
9,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
9,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT & CHEESE,5677
9,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
9,Party Trays,PREPACKAGED PARTY TRAYS,LG SLIDER TRAY,27208
9,Party Trays,PREPACKAGED PARTY TRAYS,MD MEAT & CHEESE,7125
9,Party Trays,PREPACKAGED PARTY TRAYS,MD SANDWICH TRAY,5798
9,Party Trays,PREPACKAGED PARTY TRAYS,MD SLIDER TRAY,27207
9,Party Trays,PREPACKAGED PARTY TRAYS,SM MEAT & CHEESE,7126
9,Party Trays,PREPACKAGED PARTY TRAYS,SM SLIDER TRAY,27206
10,Party Trays,FULL SERVICE HOT FOODS,LG CHICKEN TRIO,27204
10,Party Trays,FULL SERVICE HOT FOODS,LG WING TRAY,8115
10,Party Trays,FULL SERVICE HOT FOODS,MD CHICKEN TRIO,27203
10,Party Trays,FULL SERVICE HOT FOODS,MD WING TRAY,8114
10,Party Trays,PREPACKAGED PARTY TRAYS,4FT PARTY SUB,5848
10,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
10,Party Trays,PREPACKAGED PARTY TRAYS,LG SANDWICH,5801
10,Party Trays,PREPACKAGED PARTY TRAYS,LG SLIDER TRAY,27208
10,Party Trays,PREPACKAGED PARTY TRAYS,MD CHEESE TRAY,5811
10,Party Trays,PREPACKAGED PARTY TRAYS,MD MEAT & CHEESE,7125
10,Party Trays,PREPACKAGED PARTY TRAYS,MD SANDWICH TRAY,5798
10,Party Trays,PREPACKAGED PARTY TRAYS,MD SLIDER TRAY,27207
10,Party Trays,PREPACKAGED PARTY TRAYS,SM SLIDER TRAY,27206
11,Party Trays,FULL SERVICE HOT FOODS,LG CHICKEN TRIO,27204
11,Party Trays,FULL SERVICE HOT FOODS,MD WING TRAY,8114
11,Party Trays,FULL SERVICE HOT FOODS,SM WING TRAY,8113
11,Party Trays,PREPACKAGED PARTY TRAYS,2FT PARTY SUB,5847
11,Party Trays,PREPACKAGED PARTY TRAYS,4FT PARTY SUB,5848
11,Party Trays,PREPACKAGED PARTY TRAYS,6FT PARTY SUB,5849
11,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT & CHEESE,5677
11,Party Trays,PREPACKAGED PARTY TRAYS,LG MEAT TRAY,5833
