FC,DPM,OIR,LTCR,UPH AOP,IB AOP,OB AOP,Support AOP,vCPU,tCPU,OTD,CTP,TUP,TO,eNPS,,
4030,"70,407",4.6,0.18,21.65,55.09,24.92,51.27,5,12.47,95%,62.35%,98%,82.80%,50,,
1258,"20,459",3.64,0.17,19.4,60.07,21.18,54.16,3.57,5.72,95%,58.29%,98%,39.40%,50,,
4078,"35,390",2.71,0.27,31.52,67.99,34.2,103.7,2.58,4.37,95%,54.98%,98%,32.00%,50,,
4085,"22,433",1.05,0,36.45,70.07,39.15,134.02,1.88,3.31,95%,59.57%,98%,38.10%,50,,
4087,"42,139",4.12,0.23,36.97,90.62,34.77,143.66,2.26,4.05,95%,75.37%,98%,23.90%,50,,
7561,"5,036",2.13,0.79,14.03,32.45,17.68,35.6,5.51,12.07,95%,46.98%,98%,28.90%,50,,
3951,"5,151",1.7,0.38,14.4,33.28,17.56,38.37,4.65,10.99,95%,47.40%,98%,38.30%,50,,
3968,"6,475",1.93,0.48,11.62,28.6,13.3,31.93,6.07,17.02,95%,53.81%,98%,41.70%,50,,
7555,"9,679",4.06,1.77,14.6,31.47,21.97,33.47,5.7,12.66,95%,64.70%,98%,30.40%,50,,
7520,"7,716",4.98,1.29,16.38,28.5,24.75,42.79,5.07,12.61,95%,48.36%,98%,44.90%,50,,
7530,"7,251",3.56,0.66,16.71,30.63,23.62,44.51,5.15,16.99,95%,47.40%,98%,37.50%,50,,
7440,"9,499",3.4,0.4,13.84,27.22,17.31,39.69,5.06,12.72,95%,38.11%,98%,44.40%,50,,
7380,"11,107",2.63,0.43,14.42,29.29,19.77,37.53,4.79,15.88,95%,49.11%,98%,52.00%,50,,
3365,"11,235",2.63,0.43,11.39,20.76,18.28,27.17,6.41,30.38,95%,60%,98%,99.00%,50,,
7544,"7,339",1.78,0,17.08,29.71,24.13,47.81,4.55,12.49,95%,59.89%,98%,34.60%,50,,
7559,"5,018",3.15,0.33,15.14,29.22,22.91,36.99,5.38,11.7,95%,69.61%,98%,19.90%,50,,
3960,"4,957",3.39,0.56,13.73,29.17,19.22,32.83,6.47,17.42,95%,32.56%,98%,40.70%,50,,
3001,"8,838",4.82,1.2,36.06,86.69,35.25,133.49,1.86,3.85,95%,60.64%,98%,42.90%,50,,
3005,"6,915",2.6,0,42.47,80.39,38.46,231.27,1.71,3.31,95%,63.84%,98%,46.40%,50,,
9042,"10,740",5.95,0,42.88,110.31,41.92,147.98,1.89,3.54,95%,80.60%,98%,51.80%,50,,
9066,"8,297",1.3,0.45,35.74,65.6,36.59,152.43,2.1,4.41,95%,52.53%,98%,52.30%,50,,
4124,"20,000",2.58,0.25,31.69,58.07,33.32,112.79,2.62,5.66,95%,60%,98%,99.00%,50,,
7460,"11,540",3.01,0.37,32.96,84.14,33.89,97.67,2.32,5.18,95%,60%,98%,55%,50,,
9073,"7,461",5.45,0.42,37.81,99.84,38.77,113.31,2.07,3.69,95%,58.72%,98%,46.90%,50,,
9074,"5,024",3.27,1.63,30.03,95.82,36.07,63.14,2.87,6.22,95%,54.56%,98%,42.40%,50,,
7463,"2,971",3.01,0.37,32.96,84.14,33.89,97.67,2.32,5.18,95%,60%,98%,55%,50,,
9097,"7,613",5.07,0,24.46,70.76,29.72,60.67,2.87,6.3,95%,30.75%,98%,42.00%,50,,
3000,"3,432",3.45,0.38,34.79,82.75,35.72,117.15,1.99,5.36,95%,40.25%,98%,54.40%,50,,
4123,"20,000",3.01,0.37,34.48,76.18,30.29,134.54,2.31,5.43,95%,96.09%,98%,99.00%,50,,
2296,"9,929",3.21,0.43,42.42,75.43,48.88,148.88,2.04,13.03,95%,61.81%,98%,17.30%,50,,
3040,"15,046",3.21,0.43,60.22,99.97,68.69,222.61,1.46,3.92,95%,26.58%,98%,125.00%,50,,
8972,"20,000",3.21,0.43,38.76,72.2,39.48,142.86,2.08,5.72,95%,60%,98%,99.00%,50,,
7382,"20,000",3.21,0.43,37.32,68.13,38.75,123.44,1.78,10.06,95%,60%,98%,125.00%,50,,
7831,"20,000",3.21,0.43,45.85,80.91,49.56,165.2,1.88,5.75,95%,60%,98%,125.00%,50,,
,,,,,,,,,,,,,,,,
