Item,,PLU
Individual Meals for 1 side,,62190
Individual,2 PC BRST&WING Meal 1S,62850
Individual,2 PC BRST&WING Meal 2S,62907
Individual,2 PC THIGH&LEG Meal 1S,62292
Individual,2 PC THIGH&LEG Meal 2S,62857
Individual,6PC BONE-IN MEAL 1S,62851
Individual,6PC BONE-IN MEAL 2S,62852
Individual,3PC TENDER MEAL 1S,62853
Individual,3PC TENDER MEAL 2S,62854
Individual,8PC BONELESS MEAL 1S,62855
Individual,8PC BONELESS MEAL 2S,62856
Snack Meals,1PC Chkn Tender SNACK,62858
Snack Meals,1PC Drumstick SNACK,62859
Snack Meals,2 PC Flauta ,63015
Shareable Meals,8PC Fried Chicken Meal,62182
Shareable Meals,12PC Chkn Tender Meal,62860
Shareable Meals,24PC Boneless Chicken Wing Meal,62861
Shareable Meals,Chicken Trio Meal ,62862
Shareable Meals,ADD LRG SIDE 2 MEALS ,62863
Entrees,2 PC Chicken Tenders,62865
Entrees,4 PC Chicken Tenders  ,62866
Entrees,8 PC Chicken Tenders,62867
Entrees,16 PC Chicken Tenders,62169
Entrees,6PC BREADED BONE-IN,62868
Entrees,6PC BUFFALO BONE-IN,62869
Entrees,6PC RANCH BONE-IN ,62870
Entrees,12PC BREADED BONE-IN,62872
Entrees,12PC BUFFALO BONE-IN,62873
Entrees,12PC RANCH BONE-IN ,62874
Entrees,18PC BREADED BONE-IN,62876
Entrees,18PC BUFFALO BONE-IN,62877
Entrees,18PC RANCH BONE-IN ,62878
Entrees,18PC TRAD BONE-IN,62879
Entrees,8PC BBQ Boneless,62004
Entrees,8PC Gen TSO Boneless ,62005
Entrees,8PC Orange Boneless ,62001
Entrees,16PC BBQ Boneless ,62880
Entrees,16PC Gen TSO Boneless ,62881
Entrees,16PC Orange Boneless ,62882
Entrees,24 PC BBQ Boneless ,62174
Entrees,24 PC General TSO Boneless ,62175
Entrees,24 PC Orange Boneless ,62172
Entrees,Fried Chicken Wing,5538
Entrees,Fried Chicken Leg,5540
Entrees,Fried Chicken Thigh,5546
Entrees,Fried Chicken Breast,5548
Sides,Sm Baked Beans,62883
Sides,LRG Baked Beans,62884
Sides,SM Corn Medley ,62151
Sides,Lrg Corn Medley ,62159
Sides,Sm Mash & Gravy,62152
Sides,Lrg  Mash & Gravy,62160
Sides,Sm Mac & Cheese,62153
Sides,Lrg Mac & Cheese,62161
Sides,Sm Potato Wedges,62885
Sides,LRG POTATO WEDGES,62886
Appetizers,Sm Jalepeno bites,62908
Appetizers,Lrg Jalapeno bites ,62909
Appetizers,Sm cheese stix bite,62912
Appetizers,Lrg cheese stix bite,62913
Catering/Entertaining,96 PC Fried Chicken,62887
Catering/Entertaining,48 PC Fried Chicken,62888
Catering/Entertaining,1 PC Flauta ,61987
