Store Number,2nd Semester Pallets
1,yes
2,yes
3,yes
4,yes
5,yes
7,yes
9,yes
10,yes
11,yes
12,yes
13,yes
14,yes
15,yes
16,yes
17,yes
19,yes
21,yes
22,yes
23,yes
25,yes
26,yes
28,yes
29,yes
30,yes
31,yes
34,yes
35,yes
36,yes
37,yes
40,yes
41,yes
43,yes
45,yes
46,yes
52,yes
54,yes
58,yes
59,yes
60,yes
61,yes
66,yes
67,yes
69,yes
70,yes
72,yes
75,yes
76,yes
80,yes
85,yes
86,yes
87,yes
90,yes
93,yes
94,yes
95,yes
96,yes
100,yes
101,yes
103,yes
104,yes
105,yes
107,yes
110,yes
112,yes
113,yes
114,yes
118,yes
119,yes
128,yes
129,yes
130,yes
131,yes
134,yes
137,yes
140,yes
141,yes
143,yes
144,yes
146,yes
147,yes
148,yes
150,yes
151,yes
154,yes
155,yes
157,yes
159,yes
163,yes
164,yes
165,yes
168,yes
170,yes
172,yes
174,yes
175,yes
177,yes
179,yes
180,yes
182,yes
184,yes
185,yes
186,yes
188,yes
189,yes
192,yes
194,yes
196,yes
197,yes
200,yes
201,yes
204,yes
205,yes
211,yes
212,yes
213,yes
214,yes
216,yes
217,yes
219,yes
220,yes
221,yes
224,yes
228,yes
231,yes
234,yes
237,yes
238,yes
243,yes
248,yes
249,yes
253,yes
256,yes
258,yes
260,yes
261,yes
264,yes
265,yes
267,yes
268,yes
269,yes
272,yes
273,yes
275,yes
277,yes
278,yes
285,yes
286,yes
287,yes
297,yes
298,yes
299,yes
300,yes
301,yes
304,yes
307,yes
308,yes
309,yes
310,yes
313,yes
314,yes
316,yes
318,yes
319,yes
321,yes
322,yes
328,yes
329,yes
330,yes
331,yes
332,yes
335,yes
343,yes
345,yes
355,yes
356,yes
359,yes
361,yes
364,yes
365,yes
366,yes
371,yes
372,yes
375,yes
376,yes
379,yes
381,yes
382,yes
384,yes
386,yes
389,yes
391,yes
392,yes
393,yes
395,yes
396,yes
397,yes
398,yes
399,yes
400,yes
402,yes
403,yes
404,yes
405,yes
406,yes
407,yes
408,yes
410,yes
412,yes
413,yes
