Primary Key,Item Name,GNFR Number,Description,Category,Count/Pack,Image
case,Kids Plastic Case ,100626184 ,Kids Plastic Case ,Case,,Image
case,Premium Clamshell Case ,100626189 ,Blue plastic/Premium Clamshell Case depending on inventory,Case,25ct/pk,Image
case,Mini Max Case ,100626185 ,Mini Max Case ,Case,,Image
case,Slip-In Give Away Case ,100626187 ,Slip-In Give Away Case ,Case,,Image
contactlens,Contact Crimping Caps ,100626183 ,Contact Lens Vial Crimping Caps ,Contact Lens,,Image
contactlens,Contact Lens Case ,100626190 ,Contact Lens Give Away Case (Pk of 100) ,Contact Lens,100ct/pk,Image
pretestequipmentsupplies,"HFA 720, 700 Series ",100626192 ,"HFA 720, 700 Series Humphrey Visual Fields ",Pretest Equipment Supplies,1ct/pk,Image
pretestequipmentsupplies,Thermal Paper ,100626181 ,Thermal Paper (Pk of 5) - Topcon/Reichert ,Pretest Equipment Supplies,5ct/pk,Image
pretestequipmentsupplies,FDT 710 ,100626193 ,Zeiss Humphrey FDT 710 (Pk of 5) ,Pretest Equipment Supplies,5ct/pk,Image
pretestequipmentsupplies,Refractor & Analyzer ,100626191 ,Humphrey 599 Auto Refractor & 350/360 Analyzer ,Pretest Equipment Supplies,,Image
doctorslane,Post Mydriatic Specs,100626182 ,Post Mydriatic Specs (Pk of 50) ,Doctors Lane,50ct/pk,Image
doctorslane,Solar Rolz Myd Spec,100668654 ,Solar Rolz Mydriatic Specs ,Doctors Lane,,Image
doctorslane,Post Myd Slip-in ,100658598 ,Post Mydriatic Specs Slip-in ,Doctors Lane,,Image
doctorslane,Post Myd Slip-in Small ,100658981 ,Post Mydriatic Specs Slip-in Small ,Doctors Lane,,Image
doctorslane,Universal Chin Paper ,100626180 ,Universal Chin Paper ,Doctors Lane,,Image
nosepads,Acetate Nose Pads 17mm ,100626249 ,"Acetate Nose Pads 17mm Clip-on, 25 pr. ",Nose Pads,25 pairs/pk,Image
nosepads,Logic ® Silicone Nose Pads 13mm Tear drop ,100626214 ,"Logic ® Silicone Nose Pads 13mm Teardrop, 28 pr. ",Nose Pads,28 pairs/pk,Image
