Store,Install Date
16,2/19/2023
107,2/19/2023
113,2/19/2023
137,2/19/2023
174,2/19/2023
598,2/19/2023
859,2/19/2023
927,2/19/2023
942,2/19/2023
990,2/19/2023
1091,2/19/2023
1213,2/19/2023
1287,2/19/2023
1298,2/19/2023
1414,2/19/2023
1488,2/19/2023
1585,2/19/2023
1730,2/19/2023
2051,2/19/2023
2761,2/19/2023
2841,2/19/2023
3143,2/19/2023
3261,2/19/2023
3367,2/19/2023
3474,2/19/2023
4285,2/19/2023
5126,2/19/2023
5173,2/19/2023
5293,2/19/2023
5944,2/19/2023
6962,2/19/2023
76,2/19/2023
1476,2/19/2023
2154,2/19/2023
3201,2/19/2023
3748,2/19/2023
3786,2/19/2023
4262,2/19/2023
4503,2/19/2023
4561,2/19/2023
5091,2/19/2023
5823,2/19/2023
41,2/20/2023
703,2/20/2023
867,2/20/2023
870,2/20/2023
1025,2/20/2023
1033,2/20/2023
1070,2/20/2023
1117,2/20/2023
1327,2/20/2023
1731,2/20/2023
2006,2/20/2023
2146,2/20/2023
2765,2/20/2023
2854,2/20/2023
3569,2/20/2023
3781,2/20/2023
4687,2/20/2023
5409,2/20/2023
774,2/21/2023
822,2/21/2023
1346,2/21/2023
1530,2/21/2023
1538,2/21/2023
1836,2/21/2023
1993,2/21/2023
2432,2/21/2023
3300,2/21/2023
3478,2/21/2023
5309,2/21/2023
470,2/22/2023
601,2/22/2023
885,2/22/2023
1720,2/22/2023
1909,2/22/2023
4138,2/22/2023
1638,2/23/2023
4543,2/23/2023
5378,2/23/2023
5408,2/23/2023
599,2/14/2023
2,2/26/2023
172,2/26/2023
504,2/26/2023
513,2/26/2023
520,2/26/2023
588,2/26/2023
660,2/26/2023
835,2/26/2023
897,2/26/2023
941,2/26/2023
1334,2/26/2023
1392,2/26/2023
1514,2/26/2023
1712,2/26/2023
1921,2/26/2023
2090,2/26/2023
2583,2/26/2023
2732,2/26/2023
3173,2/26/2023
3267,2/26/2023
3660,2/26/2023
3750,2/26/2023
3795,2/26/2023
5151,2/26/2023
5197,2/26/2023
5414,2/26/2023
8331,2/26/2023
940,2/26/2023
2515,2/26/2023
2651,2/26/2023
2858,2/26/2023
3219,2/26/2023
3322,2/26/2023
1538,2/26/2023
1993,2/26/2023
115,2/27/2023
417,2/27/2023
450,2/27/2023
916,2/27/2023
1181,2/27/2023
1368,2/27/2023
1390,2/27/2023
1479,2/27/2023
1852,2/27/2023
1949,2/27/2023
2579,2/27/2023
2722,2/27/2023
2839,2/27/2023
3197,2/27/2023
3395,2/27/2023
3594,2/27/2023
3713,2/27/2023
4209,2/27/2023
4231,2/27/2023
4260,2/27/2023
4394,2/27/2023
5420,2/27/2023
5673,2/27/2023
5786,2/27/2023
870,2/27/2023
169,2/28/2023
351,2/28/2023
381,2/28/2023
1433,2/28/2023
1469,2/28/2023
1474,2/28/2023
2568,2/28/2023
4358,2/28/2023
5459,2/28/2023
5777,2/28/2023
75,2/28/2023
131,2/28/2023
688,2/28/2023
1077,2/28/2023
1204,2/28/2023
1317,2/28/2023
1326,2/28/2023
1388,2/28/2023
1539,2/28/2023
1589,2/28/2023
1680,2/28/2023
1791,2/28/2023
1809,2/28/2023
2065,2/28/2023
2104,2/28/2023
2321,2/28/2023
2614,2/28/2023
2720,2/28/2023
2768,2/28/2023
3213,2/28/2023
5189,2/28/2023
894,2/28/2023
1157,3/1/2023
3153,3/1/2023
3388,3/1/2023
4384,3/1/2023
4517,3/1/2023
4568,3/1/2023
7307,3/1/2023
7311,3/1/2023
2640,3/2/2023
