Primary key,Division,Region,Market,Facility,Bucket
323,A,42,323,1,FSR Investment -$14
322,A,42,322,2,FSR Investment -$14
21,A,2,21,3,FSR Investment -$14
323,A,42,323,4,FSR Investment -$14
326,A,42,326,5,FSR Investment -$14
326,A,42,326,7,FSR Investment -$14
326,A,42,326,8,FSR Investment -$14
335,E,40,335,9,FSR Investment -$14
347,B,44,347,10,FSR Investment -$14
328,A,42,328,11,FSR Investment -$14
347,B,44,347,12,FSR Investment -$14
334,A,42,334,13,FSR Investment -$14
357,E,40,357,14,FSR Investment -$14
333,E,40,333,15,FSR Investment -$14
321,A,42,321,16,FSR Investment -$14
334,A,42,334,17,FSR Investment -$14
328,A,42,328,18,FSR Investment -$14
335,E,40,335,19,FSR Investment -$14
357,E,40,357,20,FSR Investment -$14
336,E,40,336,21,FSR Investment -$14
347,B,44,347,22,FSR Investment -$14
135,A,42,135,23,FSR Investment -$14
326,A,42,326,24,FSR Investment -$14
359,E,40,359,25,FSR Investment -$14
411,M,47,411,26,GI Only
357,E,40,357,27,FSR Investment -$14
347,B,44,347,28,FSR Investment -$14
359,E,40,359,29,FSR Investment -$14
335,E,40,335,30,FSR Investment -$14
351,B,44,351,31,FSR Investment -$14
333,E,40,333,32,GI Only
325,A,42,325,33,FSR Investment -$14
334,A,42,334,34,FSR Investment -$14
407,M,47,407,35,FSR Investment -$14
329,A,12,329,36,FSR Investment -$14
335,E,40,335,37,FSR Investment -$14
47,B,44,47,38,GI Only
410,B,44,410,39,FSR Investment -$14
359,E,40,359,40,FSR Investment -$14
345,B,44,345,41,FSR Investment -$14
410,B,44,410,42,FSR Investment -$14
407,M,47,407,43,FSR Investment -$14
336,E,40,336,44,FSR Investment -$14
329,A,12,329,45,FSR Investment -$14
357,E,40,357,46,FSR Investment -$14
351,B,44,351,47,FSR Investment -$14
334,A,42,334,48,FSR Investment -$14
47,B,44,47,49,FSR Investment -$14
347,B,44,347,50,FSR Investment -$14
339,E,40,339,51,FSR Investment -$14
325,A,42,325,52,FSR Investment -$14
322,A,42,322,54,FSR Investment -$14
321,A,42,321,55,FSR Investment -$14
333,E,40,333,56,FSR Investment -$14
328,A,42,328,57,FSR Investment -$14
325,A,42,325,58,FSR Investment -$14
334,A,42,334,59,FSR Investment -$14
339,E,40,339,60,GI Only
361,E,40,361,61,FSR Investment -$14
329,A,12,329,62,FSR Investment -$14
347,B,44,347,63,FSR Investment -$14
146,E,41,146,64,FSR Investment -$14
336,E,40,336,65,FSR Investment -$14
321,A,42,321,66,FSR Investment -$14
321,A,42,321,67,FSR Investment -$14
329,A,12,329,68,FSR Investment -$14
335,E,40,335,69,FSR Investment -$14
329,A,12,329,70,GI Only
328,A,42,328,71,FSR Investment -$14
410,B,44,410,72,FSR Investment -$14
356,B,44,356,73,FSR Investment -$14
329,A,12,329,74,FSR Investment -$14
134,B,13,134,75,FSR Investment -$14
322,A,42,322,76,FSR Investment -$14
83,B,5,83,77,FSR Investment -$14
357,E,40,357,78,FSR Investment -$14
334,A,42,334,79,FSR Investment -$14
359,E,40,359,80,FSR Investment -$14
347,B,44,347,81,FSR Investment -$14
335,E,40,335,82,FSR Investment -$14
327,A,42,327,83,FSR Investment -$14
324,A,42,324,85,FSR Investment -$14
357,E,40,357,86,FSR Investment -$14
