Store Format,Store,Address,City,State,Zip,Program Launch Month,Demo & feature Available - store list
Neighborhood Market,2976,915 N Town East Blvd,Mesquite,TX,75150,April ,#N/A
Neighborhood Market,4046,1855 S Garland Ave,Garland,TX,75040,April ,#N/A
Neighborhood Market,4104,3930 Teasley Ln,Denton,TX,76210,April ,#N/A
WM Supercenter,158,2021 N State Highway 121,Bonham,TX,75418,April ,158
WM Supercenter,265,1900 W Moore Ave,Terrell,TX,75160,April ,265
WM Supercenter,427,7401 Interstate Highway 30,Greenville,TX,75402,April ,427
WM Supercenter,516,1200 W Main St,Mabank,TX,75156,April ,516
WM Supercenter,565,3801 W State Highway 31,Corsicana,TX,75110,April ,565
WM Supercenter,2427,9301 Forest Ln,Dallas,TX,75243,April ,2427
WM Supercenter,3044,2900 Renaissance Sq,Fort Worth,TX,76105,April ,3044
WM Supercenter,3433,100 Ryan Dr,Red Oak,TX,75154,April ,3433
WM Supercenter,4215,8801 State Highway 34 S,Quinlan,TX,75474,April ,#N/A
WM Supercenter,4627,2750 W University Dr,Denton,TX,76201,April ,4627
WM Supercenter,5672,2662 W Lucas Rd,Allen,TX,75002,April ,5672
WM Supercenter,5823,6185 Retail Rd Ste 200,Dallas,TX,75231,April ,5823
Neighborhood Market,3594,2610 W Pioneer Pkwy,Arlington,TX,76013,April ,#N/A
Neighborhood Market,5614,4904 Colleyville Blvd,Colleyville,TX,76034,April ,#N/A
WM Supercenter,371,735 E Us Highway 377,Granbury,TX,76048,April ,371
WM Supercenter,827,603 E Highway 243,Canton,TX,75103,April ,827
WM Supercenter,2926,6000 Coit Rd,Plano,TX,75023,April ,#N/A
WM Supercenter,2978,7451 McCart Ave,Fort Worth,TX,76133,April ,2978
WM Supercenter,2996,18121 Marsh Ln,Dallas,TX,75287,April ,2996
WM Supercenter,3274,9101 N Tarrant Pkwy,North Richland Hills,TX,76182,April ,3274
WM Supercenter,896,2225 W Interstate 20,Grand Prairie,TX,75052,April ,896
WM Supercenter,1117,6001 N Central Expy,Plano,TX,75023,April ,1117
Neighborhood Market,2745,2690 E Citizens Dr,Fayetteville,AR,72703,May,#N/A
Neighborhood Market,3101,121 N Beach Blvd,Anaheim,CA,92801,May,#N/A
Neighborhood Market,3164,205 N Main St,Bentonville,AR,72712,May,#N/A
Neighborhood Market,4134,12840 Beach Blvd,Stanton,CA,90680,May,#N/A
Neighborhood Market,4762,1180 S Diamond Bar Blvd,Diamond Bar,CA,91765,May,#N/A
Neighborhood Market,5600,30491 Avenida de Las Flores,Rancho Santa Margarita,CA,92688,May,#N/A
Neighborhood Market,5837,5000 W Pauline Whitaker Pkwy,Rogers,AR,72758,May,#N/A
Neighborhood Market,6953,1800 E Centerton Blvd,Bentonville,AR,72712,May,#N/A
Wal-Mart,925,11720 E Dr Martin Luther King Jr,Seffner,FL,33584,May,#N/A
Wal-Mart,1482,7011 W Waters Ave,Tampa,FL,33634,May,#N/A
Wal-Mart,2297,25450 The Old Rd,Stevenson Ranch,CA,91381,May,#N/A
Wal-Mart,2495,13331 Beach Blvd,Westminster,CA,92683,May,#N/A
Wal-Mart,2523,2595 E Imperial Hwy,Brea,CA,92821,May,#N/A
Wal-Mart,2546,2300 N Tustin St,Orange,CA,92865,May,#N/A
WM Supercenter,4,2901 Highway 412 E,Siloam Springs,AR,72761,May,4
WM Supercenter,194,4900 Garth Rd,Baytown,TX,77521,May,194
WM Supercenter,297,23561 Highway 59,Porter,TX,77365,May,297
WM Supercenter,462,400 Highway 35 Byp N,Alvin,TX,77511,May,462
WM Supercenter,522,14215 Fm 2100 Rd,Crosby,TX,77532,May,#N/A
WM Supercenter,529,6410 Interstate 45,La Marque,TX,77568,May,529
WM Supercenter,546,5330 Fm 1640 Rd,Richmond,TX,77469,May,546
WM Supercenter,744,6626 Fm 1960 Rd E,Humble,TX,77346,May,744
WM Supercenter,752,5200 Fairmont Pkwy,Pasadena,TX,77505,May,752
WM Supercenter,808,121 Highway 332 W,Lake Jackson,TX,77566,May,808
WM Supercenter,849,155 Louetta Xing,Spring,TX,77373,May,849
WM Supercenter,967,1485 Commercial Way,Spring Hill,FL,34606,May,967
WM Supercenter,1062,150 W El Dorado Blvd,Friendswood,TX,77546,May,1062
WM Supercenter,1085,8701 US Highway 19,Port Richey,FL,34668,May,1085
WM Supercenter,1137,13750 East Fwy,Houston,TX,77015,May,1137
WM Supercenter,1186,2121 Highway 146 Byp,Liberty,TX,77575,May,1186
WM Supercenter,3213,3040 College Park Dr,Conroe,TX,77384,May,3213
WM Supercenter,3226,25108 Market Place Dr,Katy,TX,77494,May,3226
WM Supercenter,3248,1340 S Beach Blvd,La Habra,CA,90631,May,3248
WM Supercenter,3390,10001 Woodlands Pkwy,Spring,TX,77382,May,3390
WM Supercenter,3463,1208 E Brandon Blvd,Brandon,FL,33511,May,3463
WM Supercenter,3523,26471 Carl Boyer Dr,Santa Clarita,CA,91350,May,3523
WM Supercenter,4298,9235 N Sam Houston Pkwy E,Humble,TX,77396,May,4298
WM Supercenter,4512,22850 Morton Ranch Rd,Katy,TX,77449,May,4512
WM Supercenter,5045,22605 State Highway 249,Tomball,TX,77375,May,5045
WM Supercenter,5287,21150 Kuykendahl Rd,Spring,TX,77379,May,5287
WM Supercenter,5388,1701 W Fm 646 Rd,League City,TX,77573,May,5388
WM Supercenter,6579,20310 Us Highway 59,New Caney,TX,77357,May,6579
Wal-Mart,1501,14941 N Dale Mabry Hwy,Tampa,FL,33618,May,#N/A
Neighborhood Market,3132,778 E Arrow Hwy,Pomona,CA,91767,May,#N/A
Neighborhood Market,3133,1425 N Hacienda Blvd,La Puente,CA,91744,May,#N/A
Neighborhood Market,5601,21132 Beach Blvd,Huntington Beach,CA,92648,May,#N/A
Neighborhood Market,5602,20226 Avalon Blvd,Carson,CA,90746,May,#N/A
Neighborhood Market,5661,14865 Telegraph Rd,La Mirada,CA,90638,May,#N/A
Wal-Mart,2288,80 Rio Rancho Rd,Pomona,CA,91766,May,#N/A
Wal-Mart,2401,1600 Mountain Ave,Duarte,CA,91010,May,#N/A
Wal-Mart,5032,8450 La Palma Ave,Buena Park,CA,90620,May,#N/A
Wal-Mart,5152,6433 Fallbrook Ave,West Hills,CA,91307,May,#N/A
WM Supercenter,4171,11822 Gilbert St,Garden Grove,CA,92841,May,4171
WM Supercenter,5954,2753 E Eastland Center Dr,West Covina,CA,91791,May,#N/A
Wal-Mart,2636,8230 Talbert Ave,Huntington Beach,CA,92646,May,#N/A
Neighborhood Market,4376,1400 N Walton Blvd,Bentonville,AR,72712,May,#N/A
WM Supercenter,1,2110 W Walnut St,Rogers,AR,72756,May,1
WM Supercenter,100,406 S Walton Blvd,Bentonville,AR,72712,May,100
WM Supercenter,359,3919 N Mall Ave,Fayetteville,AR,72703,May,359
WM Supercenter,504,6702 Seawall Blvd,Galveston,TX,77551,May,504
WM Supercenter,547,2602 James L Redman Pkwy,Plant City,FL,33566,May,547
WM Supercenter,706,7631 Gall Blvd,Zephyrhills,FL,33541,May,706
WM Supercenter,988,1575 Land O Lakes Blvd,Lutz,FL,33549,May,988
WM Supercenter,994,8745 State Road 54,New Port Richey,FL,34655,May,994
WM Supercenter,1040,15955 Fm 529 Rd,Houston,TX,77095,May,1040
WM Supercenter,1213,13300 Cortez Blvd,Brooksville,FL,34613,May,1213
WM Supercenter,1390,8001 Us Highway 19 N,Pinellas Park,FL,33781,May,1390
WM Supercenter,1513,35404 US Highway 19 N,Palm Harbor,FL,34684,May,1513
WM Supercenter,1536,10237 Bay Pines Blvd,Saint Petersburg,FL,33708,May,1536
WM Supercenter,2218,26502 Towne Centre Dr,Foothill Ranch,CA,92610,May,2218
WM Supercenter,2251,17150 Gale Ave,Hacienda Heights,CA,91745,May,2251
WM Supercenter,2740,19910 Bruce B Downs Blvd,Tampa,FL,33647,May,2740
WM Supercenter,2796,3801 Tampa Rd,Oldsmar,FL,34677,May,2796
WM Supercenter,3418,28500 State Road 54,Wesley Chapel,FL,33543,May,3418
WM Supercenter,3526,7305 Broad St,Brooksville,FL,34601,May,3526
WM Supercenter,4538,6060 N Fry Rd,Katy,TX,77449,May,4538
WM Supercenter,4690,201 34th St N,Saint Petersburg,FL,33713,May,#N/A
WM Supercenter,5036,6192 Gunn Hwy,Tampa,FL,33625,May,5036
WM Supercenter,5162,27931 Kelly Johnson Pkwy,Valencia,CA,91355,May,5162
WM Supercenter,5260,4208 Pleasant Crossing Blvd,Rogers,AR,72758,May,5260
WM Supercenter,5261,100 Commercial Ln,Pineville,MO,64856,May,5261
WM Supercenter,5266,12610 US Highway 19,Hudson,FL,34667,May,5266
Neighborhood Market,2226,19340 Hawthorne Blvd,Torrance,CA,90503,May,#N/A
Neighborhood Market,3099,5420 La Palma Ave,La Palma,CA,90623,May,#N/A
Neighborhood Market,5689,3875 W Rancho Vista Blvd,Palmdale,CA,93551,May,#N/A
Wal-Mart,2206,27470 Alicia Pkwy,Laguna Niguel,CA,92677,May,#N/A
Wal-Mart,2527,951 Avenida Pico,San Clemente,CA,92673,May,#N/A
WM Supercenter,1941,1950 Auto Centre Dr,Glendora,CA,91740,May,1941
WM Supercenter,2292,1275 N Azusa Ave,Covina,CA,91722,May,2292
WM Supercenter,2526,19821 Rinaldi St,Porter Ranch,CA,91326,May,2526
