Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,Building Type,Day of Month,Comms Notes,,
7067,Systems Outage Cancelled,Cancelled,13,April 23,12:30 a.m.,-,Central,IDC,,Time: Do not enter military time. Enter times as a.m. and p.m.,,
6036,Systems Outage Cancelled,Cancelled,13,April 24,12:00 a.m.,-,Central,RDC,Fourth Saturday,"Start Date: Spell out the month. Example: April, May, June",,
6097,GLS 22.1 and Load Planner,Scheduled,13,April 24,11:00 p.m.,Four hours,Central,GDC,,Outage Types to Enter,,
6030,Systems Outage Cancelled,Cancelled,13,April 25,11:00 p.m.,-,Central,RDC,Fourth Monday,Systems Outage Cancelled,,
6082,Systems Outage Cancelled,Cancelled,13,April 25,12:30 a.m.,-,Central,GDC,,Systems Outage Monthly Placeholder,,
6858,Systems Outage Cancelled,Cancelled,13,April 25,11:30 p.m.,-,Central,GDC,,GLS 22.1,,
6038,YMS 1.4 and DB Decoupling,Scheduled,13,April 26,11:00 p.m.,Three hours,Central,RDC,Fourth Tuesday,GLS 22.1 and Load Planner,,
6056,Systems Outage Cancelled,Cancelled,13,April 26,11:00 p.m.,-,Central,GDC,Fourth Tuesday,GLS 22.3,,
6074,Systems Outage Cancelled,Cancelled,13,April 26,10:00 a.m.,-,Central,GDC,,GLS 22.3 Pilot,,
7019,Systems Outage Cancelled,Cancelled,13,April 26,12:30 a.m.,-,Central,GDC,,GLS 22.6 Pilot,,
6017,YMS 1.4 and DB Decoupling,Scheduled,13,April 27,12:30 a.m.,Three hours,Central,RDC,Fourth Wednesday,Load Planner Only,,
6024,YMS 1.4 and DB Decoupling,Scheduled,13,April 27,1:00 a.m.,Three hours,Central,RDC,Third Friday,Smartcomm Integration,,
6025,Systems Outage Cancelled,Cancelled,13,April 27,1:00 a.m.,-,Central,RDC,Fourth Wednesday,YMS 1.4,,
6071,Systems Outage Cancelled,Cancelled,13,April 27,12:00 a.m.,-,Central,GDC,,YMS 1.4 and DB Decoupling,,
6099,Systems Outage Cancelled,Cancelled,13,April 27,11:30 p.m.,-,Central,GDC,,YMS 2.0 Upgrade,,
6066,YMS 1.4 and DB Decoupling,Scheduled,13,April 28,1:30 a.m.,Three hours,Central,RDC,Fourth Thursday,Status Types to Enter,,
6085,GLS 22.3 Pilot,Scheduled,14,May 01,12:00 a.m.,Three hours,Central,GDC,,Scheduled,,
7014,Systems Outage Cancelled,Cancelled,14,May 01,11:00 p.m.,-,Central,GDC,,Cancelled,,
7055,GLS 22.1 and Load Planner,Scheduled,14,May 01,10:30 p.m.,Four hours,Central,GDC,,,,
6039,YMS 1.4 and DB Decoupling,Scheduled,14,May 02,6:00 p.m.,Three hours,Central,RDC,First Monday,,,
6043,Systems Outage Cancelled,Cancelled,14,May 02,12:00 a.m.,-,Central,RDC,First Monday,,,
6084,Systems Outage Cancelled,Cancelled,14,May 02,12:00 a.m.,-,Central,GDC,changed to 3rd Wed ,,,
6096,GLS 22.1 and Load Planner,Scheduled,14,May 02,11:30 p.m.,Four hours,Central,GDC,,,,
6074,GLS 22.1,Scheduled,14,May 03,10:00 a.m.,Three hours,Central,GDC,,,,
7038,Systems Outage Cancelled,Cancelled,14,May 03,12:30 a.m.,-,Central,RDC,,,,
7078,Systems Outage Cancelled,Cancelled,14,May 03,2:00 a.m.,-,Central,IMP,,,,
8851,Systems Outage Cancelled,Cancelled,14,May 03,12:00 a.m.,-,Central,GDC,,,,
6016,Systems Outage Cancelled,Cancelled,14,May 04,1:30 a.m.,-,Central,RDC,First Wednesday,,,
6035,YMS 1.4 and DB Decoupling,Scheduled,14,May 04,1:30 a.m.,Three hours,Central,RDC,First Wednesday,,,
7034,YMS 1.4 and DB Decoupling,Scheduled,14,May 04,1:00 a.m,Three hours,Central,RDC,First Wednesday,,,
6012,Systems Outage Cancelled,Cancelled,14,May 05,12:00 a.m.,-,Central,RDC,First Thursday,,,
6031,Systems Outage Cancelled,Cancelled,14,May 05,3:00 a.m.,-,Central,RDC,First Thursday,,,
