Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,1118,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202416,92.50%,96.60%,9.7,96.30%,96.70%,91.80%,86.00%
5,5889,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202416,86.50%,99.30%,6.9,88.50%,88.50%,87.70%,81.30%
13,75,SPARK,Scheduled Standard Delivery,10,At Risk,Degrading,Driver Supply Focus,202416,92.60%,94.30%,9.8,90.00%,92.30%,93.10%,94.60%
6,2765,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202416,87.50%,99.60%,7.5,91.20%,91.10%,87.70%,79.40%
6,1098,SPARK,Scheduled Standard Delivery,9,At Risk,Degrading,Driver Supply Focus,202416,88.70%,100.00%,5.4,85.10%,91.60%,81.50%,96.00%
6,1279,UBER,Scheduled Standard Delivery,2,Active Monitoring,-,Driver Supply Focus,202416,82.10%,98.50%,9.1,,78.30%,85.10%,83.10%
6,4526,UBER,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202416,87.10%,98.00%,9.6,86.70%,85.10%,86.80%,89.90%
6,5612,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202416,87.90%,99.30%,8.5,82.60%,86.00%,91.00%,92.40%
6,5612,UBER,Scheduled Standard Delivery,35,Executive Review,-,Driver Supply Focus,202416,90.60%,98.60%,8.6,,87.10%,92.20%,91.90%
6,5959,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202416,85.80%,97.60%,7.1,78.60%,85.60%,88.90%,89.50%
6,567,SPARK,Scheduled Standard Delivery,44,Executive Review,Degrading,Driver Supply Focus,202416,55.80%,100.00%,4.4,50.00%,38.50%,64.70%,66.70%
46,3423,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202416,91.40%,95.50%,8.6,94.90%,91.40%,92.60%,87.10%
46,1746,UBER,Scheduled Standard Delivery,21,Executive Review,-,Driver Supply Focus,202416,89.60%,100.00%,6.3,,95.10%,85.70%,88.70%
59,4053,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202416,74.90%,88.40%,7.3,81.30%,72.10%,74.90%,71.90%
59,5804,SPARK,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202416,93.20%,94.00%,6.4,96.50%,87.50%,95.10%,94.00%
59,4524,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202416,89.90%,96.20%,9.2,89.90%,87.30%,86.10%,96.30%
41,2691,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202416,79.30%,90.20%,9.9,75.30%,74.80%,83.00%,85.70%
19,5842,UBER,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202416,90.70%,95.80%,9.1,89.10%,94.90%,87.80%,91.00%
19,2567,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202416,91.00%,95.40%,9.7,92.50%,91.70%,90.00%,89.60%
19,5064,SPARK,Scheduled Standard Delivery,37,Executive Review,Recovering,Driver Supply Focus,202416,94.00%,95.30%,9.9,93.00%,89.60%,96.30%,97.20%
19,2818,UBER,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202416,84.40%,96.00%,9.5,81.00%,83.10%,81.40%,92.70%
25,3255,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202416,91.70%,96.80%,9.8,92.40%,91.90%,87.50%,95.00%
25,5402,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202416,89.50%,92.90%,8.9,89.60%,85.10%,91.70%,91.70%
25,5617,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202416,92.80%,96.20%,7.2,95.00%,87.90%,94.60%,93.90%
25,5617,UBER,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202416,84.80%,96.60%,8.2,86.40%,77.20%,89.30%,87.00%
20,3838,UBER,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202416,93.70%,95.80%,9,97.00%,98.00%,88.70%,91.30%
20,5387,UBER,Scheduled Standard Delivery,41,Executive Review,Recovering,Driver Supply Focus,202416,90.90%,98.60%,5.7,92.90%,94.10%,88.90%,88.20%
20,2792,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202416,85.20%,100.00%,5.2,89.90%,76.00%,83.20%,92.70%
20,2036,UBER,Scheduled Standard Delivery,17,Executive Review,-,Driver Supply Focus,202416,89.30%,99.50%,9.1,,80.30%,97.00%,91.00%
20,4278,UBER,Scheduled Standard Delivery,27,Executive Review,Recovering,Driver Supply Focus,202416,94.20%,100.00%,4.5,100.00%,88.20%,94.40%,93.80%
40,135,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202416,93.90%,99.40%,9.1,95.40%,99.20%,91.70%,89.20%
59,998,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202416,83.40%,89.00%,9.2,87.10%,78.20%,83.30%,85.00%
40,44,SPARK,Scheduled Standard Delivery,43,Executive Review,Degrading,Driver Supply Focus,202416,87.50%,100.00%,4.1,85.20%,87.50%,90.30%,86.70%
21,2275,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202416,86.50%,95.70%,6.1,89.90%,85.50%,84.10%,87.10%
21,3282,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202416,88.70%,99.60%,7.1,94.50%,90.50%,90.10%,77.70%
53,802,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202416,83.50%,100.00%,4.7,82.70%,90.40%,81.00%,79.40%
53,5669,UBER,Scheduled Standard Delivery,17,Executive Review,-,Driver Supply Focus,202416,88.20%,98.20%,9.7,,92.20%,86.40%,86.40%
14,3461,UBER,Scheduled Standard Delivery,26,Executive Review,Recovering,Driver Supply Focus,202416,92.10%,95.50%,8.4,92.00%,87.00%,92.70%,96.20%
3,1018,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202416,89.50%,97.90%,5.9,90.70%,92.50%,90.90%,84.10%
3,1283,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202416,85.10%,99.10%,7.9,78.40%,79.10%,88.40%,95.50%
12,1089,UBER,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202416,92.50%,100.00%,5.9,100.00%,84.20%,87.50%,100.00%
12,578,UBER,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202416,93.10%,91.20%,4.6,92.60%,91.70%,100.00%,86.70%
12,678,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202416,92.90%,96.10%,8.9,97.40%,92.00%,93.90%,88.80%
12,6370,UBER,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202416,91.70%,97.20%,6.7,94.20%,96.20%,91.10%,85.50%
12,2749,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Driver Supply Focus,202416,84.50%,98.50%,6,86.20%,82.90%,78.20%,90.30%
