Region,Store,Format,BU,City,St
42,2,Large,A - SOUTHEAST BU,HARRISON,AR
42,4,Large,A - SOUTHEAST BU,SILOAM SPRINGS,AR
42,17,Large,A - SOUTHEAST BU,NEOSHO,MO
44,39,Large,B - SOUTHWEST BU,FORT SCOTT,KS
40,40,Large,E - NORTH BU,MOBERLY,MO
42,54,Large,A - SOUTHEAST BU,SPRINGDALE,AR
42,58,Large,A - SOUTHEAST BU,RUSSELLVILLE,AR
40,61,Large,E - NORTH BU,WARRENSBURG,MO
40,65,Large,E - NORTH BU,SULLIVAN,MO
40,69,Large,E - NORTH BU,FESTUS,MO
40,89,Large,E - NORTH BU,CAMDENTON,MO
12,93,Large,A - SOUTHEAST BU,COVINGTON,TN
40,95,Large,E - NORTH BU,DESLOGE,MO
9,110,Large,A - SOUTHEAST BU,WINTER GARDEN,FL
42,124,Large,A - SOUTHEAST BU,LITTLE ROCK,AR
44,137,Large,B - SOUTHWEST BU,STILLWATER,OK
20,154,Large,E - NORTH BU,ABINGDON,VA
25,201,Large,E - NORTH BU,BELLEVILLE,IL
40,219,Large,E - NORTH BU,SEDALIA,MO
44,269,Large,B - SOUTHWEST BU,LAWTON,OK
41,294,Large,E - NORTH BU,CENTRAL CITY,KY
14,329,Large,A - SOUTHEAST BU,ANNISTON,AL
47,350,Large,M - WEST BU,YORK,NE
5,371,Large,B - SOUTHWEST BU,GRANBURY,TX
42,388,Large,A - SOUTHEAST BU,FORT SMITH,AR
2,396,Large,A - SOUTHEAST BU,ANDERSON,SC
13,402,Large,B - SOUTHWEST BU,BREAUX BRIDGE,LA
44,417,Large,B - SOUTHWEST BU,SULPHUR SPRINGS,TX
44,427,Large,B - SOUTHWEST BU,GREENVILLE,TX
13,428,Large,B - SOUTHWEST BU,ZACHARY,LA
41,445,Large,E - NORTH BU,LEITCHFIELD,KY
42,450,Large,A - SOUTHEAST BU,SHREVEPORT,LA
6,470,Large,B - SOUTHWEST BU,CORPUS CHRISTI,TX
44,472,Large,B - SOUTHWEST BU,BROKEN ARROW,OK
3,494,Large,A - SOUTHEAST BU,NEWNAN,GA
14,495,Large,A - SOUTHEAST BU,COLUMBUS,MS
6,522,Large,B - SOUTHWEST BU,CROSBY,TX
13,533,Large,B - SOUTHWEST BU,NEW IBERIA,LA
3,563,Large,A - SOUTHEAST BU,ORANGE CITY,FL
3,579,Large,A - SOUTHEAST BU,ST AUGUSTINE,FL
41,584,Large,E - NORTH BU,DRY RIDGE,KY
5,590,Large,B - SOUTHWEST BU,FORT WORTH,TX
25,609,Large,E - NORTH BU,HANNIBAL,MO
5,610,Large,B - SOUTHWEST BU,STEPHENVILLE,TX
9,623,Large,A - SOUTHEAST BU,NORTH FORT MYERS,FL
4,628,Large,F - EAST BU,SUMMERVILLE,SC
9,649,Large,A - SOUTHEAST BU,TITUSVILLE,FL
41,657,Large,E - NORTH BU,COOKEVILLE,TN
2,663,Large,A - SOUTHEAST BU,ATHENS,TN
41,674,Large,E - NORTH BU,GALLATIN,TN
2,676,Large,A - SOUTHEAST BU,ROCKWOOD,TN
41,689,Large,E - NORTH BU,SOMERSET,KY
41,692,Large,E - NORTH BU,DANVILLE,KY
3,697,Large,A - SOUTHEAST BU,OCALA,FL
9,706,Large,A - SOUTHEAST BU,ZEPHYRHILLS,FL
41,711,Large,E - NORTH BU,GLASGOW,KY
9,721,Large,A - SOUTHEAST BU,PORT CHARLOTTE,FL
14,723,Large,A - SOUTHEAST BU,TROY,AL
2,724,Large,A - SOUTHEAST BU,JEFFERSON CITY,TN
9,725,Large,A - SOUTHEAST BU,HAINES CITY,FL
44,743,Large,B - SOUTHWEST BU,OKLAHOMA CITY,OK
14,762,Large,A - SOUTHEAST BU,BIRMINGHAM,AL
13,777,Large,B - SOUTHWEST BU,WEST ORANGE,TX
2,787,Large,A - SOUTHEAST BU,RIVERDALE,GA
6,808,Large,B - SOUTHWEST BU,LAKE JACKSON,TX
9,819,Large,A - SOUTHEAST BU,CAPE CORAL,FL
46,831,Large,B - SOUTHWEST BU,ALBUQUERQUE,NM
47,842,Large,M - WEST BU,PUEBLO,CO
25,844,Large,E - NORTH BU,MORRIS,IL
25,852,Large,E - NORTH BU,OTTAWA,IL
3,857,Large,A - SOUTHEAST BU,SANFORD,FL
46,869,Large,B - SOUTHWEST BU,ALAMOSA,CO
26,877,Large,F - EAST BU,MONROE,NC
9,890,Large,A - SOUTHEAST BU,ORLANDO,FL
25,891,Large,E - NORTH BU,STERLING,IL
9,908,Large,A - SOUTHEAST BU,ORLANDO,FL
13,911,Large,B - SOUTHWEST BU,MARRERO,LA
14,919,Large,A - SOUTHEAST BU,FORT WALTON BEACH,FL
25,922,Large,E - NORTH BU,CORYDON,IN
9,931,Large,A - SOUTHEAST BU,VERO BEACH,FL
9,942,Large,A - SOUTHEAST BU,OCOEE,FL
9,943,Large,A - SOUTHEAST BU,CASSELBERRY,FL
9,973,Large,A - SOUTHEAST BU,FORT PIERCE,FL
44,992,Large,B - SOUTHWEST BU,TULSA,OK
6,1000,Large,B - SOUTHWEST BU,BROWNSVILLE,TX
47,1001,Large,M - WEST BU,PUEBLO,CO
54,1008,Large,M - WEST BU,LOVELAND,CO
40,1014,Large,E - NORTH BU,INDEPENDENCE,MO
20,1023,Large,E - NORTH BU,GALAX,VA
4,1037,Large,F - EAST BU,SUMMERVILLE,SC
6,1062,Large,B - SOUTHWEST BU,FRIENDSWOOD,TX
12,1074,Large,A - SOUTHEAST BU,GRENADA,MS
3,1083,Large,A - SOUTHEAST BU,JACKSONVILLE,FL
9,1084,Large,A - SOUTHEAST BU,ORLANDO,FL
9,1085,Large,A - SOUTHEAST BU,PORT RICHEY,FL
9,1086,Large,A - SOUTHEAST BU,SAINT CLOUD,FL
3,1090,Large,A - SOUTHEAST BU,JACKSONVILLE,FL
13,1102,Large,B - SOUTHWEST BU,BAKER,LA
14,1134,Large,A - SOUTHEAST BU,DEFUNIAK SPRINGS,FL
13,1163,Large,B - SOUTHWEST BU,NEW ORLEANS,LA
9,1171,Large,A - SOUTHEAST BU,SARASOTA,FL
14,1174,Large,A - SOUTHEAST BU,THOMASVILLE,AL
5,1178,Large,B - SOUTHWEST BU,BEDFORD,TX
3,1182,Large,A - SOUTHEAST BU,PALM COAST,FL
26,1191,Large,F - EAST BU,HILLSBOROUGH,NC
9,1213,Large,A - SOUTHEAST BU,BROOKSVILLE,FL
2,1215,Large,A - SOUTHEAST BU,CALHOUN,GA
14,1222,Large,A - SOUTHEAST BU,PENSACOLA,FL
46,1230,Large,B - SOUTHWEST BU,SHOW LOW,AZ
26,1236,Large,F - EAST BU,GOLDSBORO,NC
9,1245,Large,A - SOUTHEAST BU,LAKELAND,FL
46,1291,Large,B - SOUTHWEST BU,TUCSON,AZ
20,1302,Large,E - NORTH BU,NORTON,VA
