Store Number,Footage,"
16"" Shelves"," 
1x48 Snap Rail","
Snap Rail Pegs 8"""
63,8FT,0,3,36
207,8FT,0,3,36
209,8FT,0,3,36
210,8FT,0,3,36
230,8FT,0,3,36
320,8FT,0,3,36
339,8FT,0,3,36
373,8FT,0,3,36
385,8FT,0,3,36
390,8FT,0,3,36
411,8FT,0,3,36
425,8FT,0,3,36
446,8FT,0,3,36
473,8FT,0,3,36
478,8FT,0,3,36
550,8FT,0,3,36
837,8FT,0,3,36
841,8FT,0,3,36
845,8FT,0,3,36
871,8FT,0,3,36
893,8FT,0,3,36
898,8FT,0,3,36
996,8FT,0,3,36
1007,8FT,0,3,36
1046,8FT,0,3,36
1063,8FT,0,3,36
1067,8FT,0,3,36
1078,8FT,0,3,36
1274,8FT,0,3,36
2711,8FT,0,3,36
2965,8FT,0,3,36
3126,8FT,0,3,36
3442,8FT,0,3,36
4582,8FT,0,3,36
4696,8FT,0,3,36
5367,8FT,0,3,36
5653,8FT,0,3,36
5691,8FT,0,3,36
5751,8FT,0,3,36
7245,8FT,0,3,36
74,12FT,0,6,59
81,12FT,0,6,59
88,12FT,0,6,59
116,12FT,0,6,59
136,12FT,0,6,59
161,12FT,0,6,59
232,12FT,0,6,59
276,12FT,0,6,59
289,12FT,0,6,59
337,12FT,0,6,59
352,12FT,0,6,59
362,12FT,0,6,59
378,12FT,0,6,59
419,12FT,0,6,59
438,12FT,0,6,59
461,12FT,0,6,59
480,12FT,0,6,59
488,12FT,0,6,59
498,12FT,0,6,59
503,12FT,0,6,59
524,12FT,0,6,59
545,12FT,0,6,59
566,12FT,0,6,59
567,12FT,0,6,59
596,12FT,0,6,59
617,12FT,0,6,59
626,12FT,0,6,59
735,12FT,0,6,59
747,12FT,0,6,59
783,12FT,0,6,59
790,12FT,0,6,59
792,12FT,0,6,59
843,12FT,0,6,59
887,12FT,0,6,59
895,12FT,0,6,59
925,12FT,0,6,59
951,12FT,0,6,59
976,12FT,0,6,59
1043,12FT,0,6,59
1057,12FT,0,6,59
1061,12FT,0,6,59
1159,12FT,0,6,59
1189,12FT,0,6,59
1506,12FT,0,6,59
1550,12FT,0,6,59
1616,12FT,0,6,59
1808,12FT,0,6,59
1822,12FT,0,6,59
1854,12FT,0,6,59
1882,12FT,0,6,59
1919,12FT,0,6,59
2015,12FT,0,6,59
2085,12FT,0,6,59
2138,12FT,0,6,59
2143,12FT,0,6,59
2160,12FT,0,6,59
2242,12FT,0,6,59
2254,12FT,0,6,59
2280,12FT,0,6,59
2291,12FT,0,6,59
2315,12FT,0,6,59
2520,12FT,0,6,59
2626,12FT,0,6,59
2805,12FT,0,6,59
2887,12FT,0,6,59
2893,12FT,0,6,59
2923,12FT,0,6,59
2968,12FT,0,6,59
3008,12FT,0,6,59
3217,12FT,0,6,59
4101,12FT,0,6,59
4221,12FT,0,6,59
4341,12FT,0,6,59
4457,12FT,0,6,59
4554,12FT,0,6,59
5023,12FT,0,6,59
5166,12FT,0,6,59
5392,12FT,0,6,59
5489,12FT,0,6,59
5617,12FT,0,6,59
5753,12FT,0,6,59
5768,12FT,0,6,59
5854,12FT,0,6,59
5871,12FT,0,6,59
5880,12FT,0,6,59
5884,12FT,0,6,59
5888,12FT,0,6,59
5912,12FT,0,6,59
5930,12FT,0,6,59
5936,12FT,0,6,59
5938,12FT,0,6,59
5941,12FT,0,6,59
5944,12FT,0,6,59
5954,12FT,0,6,59
7129,12FT,0,6,59
7243,12FT,0,6,59
7246,12FT,0,6,59
7247,12FT,0,6,59
7249,12FT,0,6,59
44,16FT,0,6,59
45,16FT,0,6,59
49,16FT,0,6,59
57,16FT,0,6,59
65,16FT,0,6,59
68,16FT,0,6,59
98,16FT,0,6,59
99,16FT,0,6,59
102,16FT,0,6,59
117,16FT,0,6,59
121,16FT,0,6,59
123,16FT,0,6,59
133,16FT,0,6,59
134,16FT,0,6,59
150,16FT,0,6,59
173,16FT,0,6,59
176,16FT,0,6,59
180,16FT,0,6,59
183,16FT,0,6,59
213,16FT,0,6,59
221,16FT,0,6,59
240,16FT,0,6,59
244,16FT,0,6,59
247,16FT,0,6,59
250,16FT,0,6,59
283,16FT,0,6,59
293,16FT,0,6,59
311,16FT,0,6,59
312,16FT,0,6,59
315,16FT,0,6,59
323,16FT,0,6,59
329,16FT,0,6,59
334,16FT,0,6,59
341,16FT,0,6,59
348,16FT,0,6,59
357,16FT,0,6,59
372,16FT,0,6,59
402,16FT,0,6,59
412,16FT,0,6,59
432,16FT,0,6,59
433,16FT,0,6,59
436,16FT,0,6,59
440,16FT,0,6,59
453,16FT,0,6,59
506,16FT,0,6,59
523,16FT,0,6,59
552,16FT,0,6,59
568,16FT,0,6,59
587,16FT,0,6,59
621,16FT,0,6,59
629,16FT,0,6,59
696,16FT,0,6,59
707,16FT,0,6,59
714,16FT,0,6,59
748,16FT,0,6,59
750,16FT,0,6,59
801,16FT,0,6,59
820,16FT,0,6,59
825,16FT,0,6,59
830,16FT,0,6,59
858,16FT,0,6,59
863,16FT,0,6,59
921,16FT,0,6,59
952,16FT,0,6,59
957,16FT,0,6,59
986,16FT,0,6,59
989,16FT,0,6,59
1038,16FT,0,6,59
1048,16FT,0,6,59
1056,16FT,0,6,59
1069,16FT,0,6,59
1076,16FT,0,6,59
1137,16FT,0,6,59
1166,16FT,0,6,59
1205,16FT,0,6,59
1236,16FT,0,6,59
