StrNbr,MS LOTTERY OFFSITE         Class Date      (See Training Locations),MS LOTTERY OFFSITE         Store Training        Class Time      ,MS LOTTERY Store Training Class Location,Lottery  INSTALLATION Date,In-Store Hands-On Training Date,In-Store Hands-On Training Time,WM DAILY Procedures ZOOM Training Date,WM DAILY Procedures ZOOM Training Time
112,6/16/2022,9am,"Comfort Suites, 801 Russell St., Starkville, MS 39759",6/20/2022,6/21/2022,2pm,6/23/2022,2pm
365,7/17/2022,1pm,"112 Metroplex Blvd, Pearl, MS 39208",7/24/2022,7/25/2022,11am,7/28/2022,2pm
495,6/16/2022,9am,"Comfort Suites, 801 Russell St., Starkville, MS 39759",6/20/2022,6/21/2022,8am,6/23/2022,2pm
875,7/19/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/26/2022,7/27/2022,11am,7/28/2022,2pm
954,7/17/2022,1pm,"112 Metroplex Blvd, Pearl, MS 39208",7/24/2022,7/25/2022,8am,7/28/2022,2pm
969,9/13/2022,9am,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",9/20/2022,9/21/2022,11am,9/22/2022,2pm
970,6/6/2022,1pm,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/13/2022,6/14/2022,8am,6/16/2022,2pm
1059,7/13/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/20/2022,7/21/2022,8am,7/21/2022,2pm
1066,6/7/2022,9am,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/14/2022,6/15/2022,8am,6/16/2022,2pm
1088,6/6/2022,1pm,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/13/2022,6/14/2022,11am,6/16/2022,2pm
1192,7/13/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/20/2022,7/21/2022,11am,7/21/2022,2pm
1346,6/7/2022,9am,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/14/2022,6/15/2022,11am,6/16/2022,2pm
1710,7/12/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/19/2022,7/20/2022,2pm,7/21/2022,2pm
2715,6/15/2022,9am,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/22/2022,6/23/2022,8am,6/23/2022,2pm
2720,7/19/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/26/2022,7/27/2022,8am,7/28/2022,2pm
2755,7/19/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/26/2022,7/27/2022,2pm,7/28/2022,2pm
2939,7/13/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/20/2022,7/21/2022,11am,7/21/2022,2pm
3059,7/12/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/19/2022,7/20/2022,11am,7/21/2022,2pm
3060,7/12/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/19/2022,7/20/2022,8am,7/21/2022,2pm
3528,7/18/2022,1pm,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",7/25/2022,7/26/2022,8am,7/28/2022,2pm
4586,6/7/2022,9am,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/14/2022,6/15/2022,2pm,6/16/2022,2pm
5079,6/8/2022,9am,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/15/2022,6/16/2022,8am,6/16/2022,2pm
5459,6/16/2022,9am,"Comfort Suites, 801 Russell St., Starkville, MS 39759",6/20/2022,6/21/2022,11am,6/23/2022,2pm
6165,6/8/2022,9am,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",6/15/2022,6/16/2022,11am,6/16/2022,2pm
6166,7/11/2022,1pm,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",7/18/2022,7/19/2022,11am,7/21/2022,2pm
6323,7/11/2022,1pm,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",7/18/2022,7/19/2022,2pm,7/21/2022,2pm
6469,7/13/2022,9am,"112 Metroplex Blvd, Pearl, MS 39208",7/20/2022,7/21/2022,8am,7/21/2022,2pm
6849,7/11/2022,1pm,"10520 Joe Boardman Jr Drive, Gulfport, MS 39503",7/18/2022,7/19/2022,8am,7/21/2022,2pm
