Club #,Training Date,Go Live Date,Link to Toolkit
4041,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4109,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4702,2/12/2024,2/26/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4703,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4704,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4707,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4709,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4710,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4711,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4712,1/8/2024,1/22/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4713,2/12/2024,2/26/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4718,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4720,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4721,1/8/2024,1/22/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4722,1/17/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4724,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4728,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4729,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4730,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4731,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4732,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
4735,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4736,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4738,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4739,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4740,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4741,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4742,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4743,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4745,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4749,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4750,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4755,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4761,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4763,1/8/2024,1/22/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4764,12/4/2023,12/11/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4767,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4768,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4769,1/8/2024,1/22/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4770,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4771,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4772,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4774,1/17/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4775,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4776,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4777,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4778,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
