STORE #,QTY
19,4
27,2
57,2
112,4
158,4
165,2
180,2
210,2
249,2
258,2
286,4
344,2
376,4
440,2
442,4
458,4
465,4
472,6
481,4
522,4
527,4
552,2
560,4
623,4
633,2
664,4
668,4
683,2
690,4
696,2
726,4
748,4
777,4
794,4
799,4
809,4
814,2
834,4
853,4
918,4
973,6
980,4
986,4
1016,4
1038,2
1052,2
1063,2
1076,2
1097,4
1121,4
1143,2
1242,4
1254,4
1297,4
1355,4
1375,4
1425,2
1427,6
1454,2
1464,4
1472,4
1478,6
1498,2
1541,6
1554,6
1577,4
1616,2
1619,4
1621,2
1654,4
1692,2
1707,6
1743,2
1760,4
1786,2
1868,4
1899,2
1920,4
2002,4
2019,4
2049,4
2055,4
2064,4
2094,4
2106,4
2123,4
2129,2
2176,2
2200,4
2263,4
2274,4
2297,4
2337,4
2371,4
2400,2
2419,2
2421,4
2455,4
2469,4
2507,2
2519,2
2528,4
2529,4
2556,4
2671,2
2679,4
2697,4
2760,2
2808,4
2812,4
2859,4
2882,4
3208,4
3223,6
3234,4
3241,4
3248,4
3266,4
3286,4
3313,2
3390,4
3391,4
3465,4
3582,6
3780,2
3867,4
4403,4
4556,2
5045,4
5116,4
5184,4
5239,2
5272,2
5287,4
5312,6
5360,2
5392,4
5397,4
5403,4
5432,2
217,2
296,2
590,2
825,2
1602,2
1650,2
1929,2
2046,2
2506,2
2545,2
3508,2
3542,2
4281,2
4425,2
5021,2
5159,2
5221,2
5328,2
5451,2
5600,2
5684,2
5691,2
5840,2
5875,2
5979,2
5991,2
5993,2
5994,2
8958,2
