Store,Market,Store Type,Launch Date
79,334,SUP,2/15/2023
100,323,SUP,2/15/2023
212,353,SUP,2/15/2023
266,50,SUP,2/15/2023
426,53,SUP,2/15/2023
1055,583,SUP,2/15/2023
1753,184,SUP,2/15/2023
2086,56,SUP,2/15/2023
2142,184,SUP,2/15/2023
2427,52,SUP,2/15/2023
2463,53,SUP,2/15/2023
2686,534,WNM,2/15/2023
2757,151,SUP,2/15/2023
2883,56,SUP,2/15/2023
2974,561,WNM,2/15/2023
3164,534,WNM,2/15/2023
3198,561,WNM,2/15/2023
3284,44,SUP,2/15/2023
3406,51,SUP,2/15/2023
3482,51,SUP,2/15/2023
3639,292,SUP,2/15/2023
4108,323,SUP,2/15/2023
4182,561,WNM,2/15/2023
5021,561,WNM,2/15/2023
5147,44,SUP,2/15/2023
5191,55,SUP,2/15/2023
5447,176,SUP,2/15/2023
5673,51,SUP,2/15/2023
5823,583,SUP,2/15/2023
5936,283,SUP,2/15/2023
6963,52,SUP,2/15/2023
154,311,SUP,2/16/2023
1023,311,SUP,2/16/2023
1239,217,SUP,2/16/2023
1243,312,SUP,2/16/2023
1264,222,SUP,2/16/2023
1289,221,SUP,2/16/2023
1292,312,SUP,2/16/2023
1301,312,SUP,2/16/2023
1302,311,SUP,2/16/2023
1309,312,SUP,2/16/2023
1330,222,SUP,2/16/2023
1331,223,SUP,2/16/2023
1333,222,SUP,2/16/2023
1335,315,SUP,2/16/2023
1336,311,W/M,2/16/2023
1344,315,SUP,2/16/2023
1345,314,SUP,2/16/2023
1350,315,SUP,2/16/2023
1368,218,SUP,2/16/2023
1399,315,SUP,2/16/2023
1406,286,SUP,2/16/2023
1407,221,SUP,2/16/2023
1410,223,SUP,2/16/2023
1416,207,SUP,2/16/2023
1424,290,SUP,2/16/2023
1427,218,SUP,2/16/2023
1429,213,SUP,2/16/2023
1433,222,SUP,2/16/2023
1441,221,SUP,2/16/2023
1443,225,SUP,2/16/2023
1445,213,SUP,2/16/2023
1448,213,SUP,2/16/2023
1463,221,SUP,2/16/2023
1465,314,SUP,2/16/2023
1478,259,SUP,2/16/2023
1486,314,SUP,2/16/2023
1495,223,SUP,2/16/2023
1503,221,SUP,2/16/2023
1504,221,SUP,2/16/2023
1519,218,SUP,2/16/2023
1521,225,SUP,2/16/2023
1523,287,SUP,2/16/2023
1524,290,SUP,2/16/2023
1525,287,SUP,2/16/2023
1539,213,SUP,2/16/2023
1564,218,SUP,2/16/2023
1594,219,SUP,2/16/2023
1595,217,SUP,2/16/2023
1610,192,W/M,2/16/2023
1619,192,SUP,2/16/2023
1622,213,SUP,2/16/2023
1628,213,SUP,2/16/2023
1631,288,SUP,2/16/2023
1652,312,SUP,2/16/2023
1673,192,SUP,2/16/2023
1677,189,SUP,2/16/2023
1682,288,SUP,2/16/2023
1687,289,SUP,2/16/2023
1688,289,SUP,2/16/2023
1698,183,SUP,2/16/2023
1705,191,SUP,2/16/2023
1707,208,SUP,2/16/2023
1718,222,SUP,2/16/2023
1724,216,SUP,2/16/2023
1726,315,SUP,2/16/2023
1730,287,SUP,2/16/2023
1731,192,SUP,2/16/2023
1736,284,SUP,2/16/2023
1741,284,SUP,2/16/2023
1742,165,SUP,2/16/2023
1744,192,SUP,2/16/2023
1749,183,SUP,2/16/2023
1750,222,SUP,2/16/2023
1759,288,SUP,2/16/2023
1762,157,SUP,2/16/2023
1763,311,SUP,2/16/2023
1773,288,SUP,2/16/2023
1780,315,SUP,2/16/2023
1781,190,SUP,2/16/2023
1785,184,W/M,2/16/2023
1788,183,SUP,2/16/2023
1796,184,SUP,2/16/2023
1797,179,SUP,2/16/2023
1806,189,SUP,2/16/2023
1807,165,SUP,2/16/2023
1810,164,SUP,2/16/2023
1811,288,SUP,2/16/2023
1812,215,SUP,2/16/2023
1813,192,SUP,2/16/2023
1825,286,SUP,2/16/2023
1830,191,SUP,2/16/2023
1831,191,SUP,2/16/2023
1833,291,SUP,2/16/2023
1835,190,SUP,2/16/2023
1839,214,SUP,2/16/2023
1841,999,SUP,2/16/2023
1844,178,W/M,2/16/2023
1852,291,SUP,2/16/2023
1856,179,SUP,2/16/2023
1857,209,W/M,2/16/2023
1863,209,SUP,2/16/2023
1866,180,SUP,2/16/2023
1868,180,SUP,2/16/2023
1869,165,W/M,2/16/2023
1871,187,SUP,2/16/2023
1873,161,SUP,2/16/2023
1891,162,SUP,2/16/2023
1894,214,SUP,2/16/2023
1895,215,W/M,2/16/2023
1904,292,SUP,2/16/2023
1906,160,W/M,2/16/2023
1907,184,SUP,2/16/2023
1909,195,SUP,2/16/2023
1911,215,SUP,2/16/2023
1913,207,SUP,2/16/2023
1918,156,W/M,2/16/2023
1919,179,W/M,2/16/2023
1921,178,W/M,2/16/2023
1924,179,SUP,2/16/2023
1926,191,SUP,2/16/2023
1927,214,SUP,2/16/2023
1930,184,W/M,2/16/2023
1932,179,SUP,2/16/2023
1934,314,SUP,2/16/2023
1937,216,SUP,2/16/2023
1939,180,SUP,2/16/2023
1940,188,SUP,2/16/2023
1946,187,SUP,2/16/2023
1949,194,SUP,2/16/2023
1954,183,SUP,2/16/2023
1959,164,SUP,2/16/2023
1964,161,SUP,2/16/2023
1966,194,SUP,2/16/2023
1967,154,SUP,2/16/2023
1969,290,SUP,2/16/2023
1970,159,SUP,2/16/2023
1973,194,SUP,2/16/2023
1974,179,W/M,2/16/2023
1975,181,SUP,2/16/2023
1976,190,SUP,2/16/2023
1977,178,SUP,2/16/2023
1980,162,SUP,2/16/2023
1984,154,SUP,2/16/2023
1986,213,SUP,2/16/2023
1990,217,W/M,2/16/2023
1993,195,SUP,2/16/2023
1994,187,SUP,2/16/2023
1997,188,SUP,2/16/2023
2003,174,SUP,2/16/2023
2012,156,SUP,2/16/2023
2013,179,SUP,2/16/2023
2015,292,SUP,2/16/2023
2021,160,SUP,2/16/2023
2022,162,SUP,2/16/2023
2035,239,SUP,2/16/2023
2038,292,SUP,2/16/2023
2040,170,SUP,2/16/2023
2041,284,W/M,2/16/2023
2043,194,W/M,2/16/2023
2046,180,SUP,2/16/2023
2047,179,SUP,2/16/2023
2055,183,SUP,2/16/2023
2056,188,SUP,2/16/2023
2057,184,W/M,2/16/2023
2063,208,SUP,2/16/2023
2073,214,SUP,2/16/2023
2078,216,SUP,2/16/2023
2088,195,SUP,2/16/2023
2089,311,SUP,2/16/2023
2090,174,W/M,2/16/2023
2092,187,W/M,2/16/2023
2093,189,SUP,2/16/2023
2095,160,SUP,2/16/2023
2097,188,SUP,2/16/2023
2098,219,SUP,2/16/2023
2103,159,SUP,2/16/2023
2104,164,SUP,2/16/2023
2107,195,SUP,2/16/2023
2108,165,SUP,2/16/2023
2109,165,W/M,2/16/2023
2115,216,SUP,2/16/2023
2116,187,SUP,2/16/2023
2118,156,W/M,2/16/2023
2120,190,SUP,2/16/2023
2122,159,SUP,2/16/2023
2124,223,SUP,2/16/2023
2128,159,SUP,2/16/2023
2130,183,SUP,2/16/2023
2135,190,SUP,2/16/2023
2136,291,SUP,2/16/2023
2138,181,W/M,2/16/2023
2139,157,W/M,2/16/2023
2140,180,SUP,2/16/2023
2143,179,SUP,2/16/2023
2144,173,W/M,2/16/2023
2146,189,SUP,2/16/2023
2149,216,SUP,2/16/2023
2152,188,SUP,2/16/2023
2153,183,SUP,2/16/2023
2155,156,SUP,2/16/2023
2156,171,W/M,2/16/2023
2157,160,SUP,2/16/2023
2158,156,SUP,2/16/2023
2159,194,SUP,2/16/2023
2160,290,SUP,2/16/2023
2163,173,W/M,2/16/2023
2164,194,SUP,2/16/2023
2166,191,SUP,2/16/2023
2170,162,W/M,2/16/2023
