Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
63,6,5959,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202424,91.20%,95.00%,8,85.60%,97.00%,95.20%,86.60%
85,6,567,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202424,76.50%,98.90%,5.1,79.20%,52.40%,92.30%,85.20%
197,19,3476,UBER,Scheduled Standard Delivery,47,Executive Review,Recovering,Driver Supply Focus,202424,90.10%,96.60%,9.5,90.40%,89.60%,91.80%,88.50%
204,19,5376,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202424,74.70%,96.50%,9.7,68.60%,67.00%,83.70%,88.10%
205,19,3632,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202424,94.20%,100.00%,5.7,96.60%,97.60%,90.30%,87.80%
200,19,2102,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202424,82.90%,94.20%,8.8,73.70%,86.90%,88.80%,82.60%
229,20,2540,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202424,89.00%,98.30%,9.6,89.00%,95.40%,88.90%,82.20%
235,20,2281,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202424,82.80%,99.00%,9.6,82.20%,84.70%,86.90%,77.60%
316,20,2792,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202424,93.40%,99.30%,5.3,98.30%,96.00%,83.00%,93.40%
336,40,44,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202424,90.20%,100.00%,4.1,90.90%,87.80%,87.50%,96.20%
217,21,5203,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202424,90.60%,94.60%,7.4,90.60%,93.50%,86.90%,91.60%
263,53,802,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202424,94.00%,99.80%,4.8,99.20%,97.50%,94.70%,77.80%
436,53,3245,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202424,63.70%,95.20%,5.4,72.70%,48.40%,61.40%,66.70%
440,53,2510,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202424,88.40%,91.20%,8,91.10%,84.60%,96.30%,80.20%
545,72,5653,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202424,85.30%,98.30%,9.1,83.60%,82.80%,86.80%,88.90%
119,12,1089,UBER,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202424,94.80%,99.00%,7,97.70%,100.00%,95.00%,80.00%
124,12,1694,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202424,84.00%,99.20%,8.6,84.50%,78.90%,82.90%,89.80%
124,12,2749,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Driver Supply Focus,202424,75.30%,95.00%,6.4,75.70%,65.60%,80.70%,79.10%
146,11,677,UBER,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202424,88.80%,100.00%,9.1,91.20%,90.90%,81.80%,80.00%
20,2,3118,SPARK,Scheduled Standard Delivery,47,Executive Review,Recovering,Driver Supply Focus,202424,91.60%,91.70%,8.4,92.00%,95.70%,90.60%,88.10%
30,2,1227,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202424,91.80%,89.30%,10,93.10%,94.30%,93.40%,85.60%
476,60,1876,SPARK,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202424,84.70%,89.10%,5.2,80.60%,86.50%,93.80%,81.80%
414,52,647,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202424,90.00%,99.40%,6.1,91.30%,92.50%,85.90%,90.30%
421,52,1415,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202424,78.10%,90.50%,8.9,83.40%,72.00%,78.60%,78.70%
421,52,4374,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202424,81.80%,96.20%,6.3,78.10%,83.30%,81.80%,85.00%
423,52,5089,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202424,91.80%,98.00%,6,95.20%,96.70%,87.50%,87.70%
423,52,5977,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202424,95.00%,96.60%,8.5,96.80%,97.30%,97.20%,88.70%
470,57,2321,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202424,91.80%,98.00%,8.4,90.40%,97.60%,89.50%,89.20%
432,47,4568,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202424,84.20%,97.40%,4.6,84.10%,91.60%,86.10%,75.20%
429,47,867,SPARK,Scheduled Standard Delivery,27,Executive Review,Recovering,Driver Supply Focus,202424,93.10%,94.50%,9.4,94.50%,93.10%,88.10%,96.80%
558,22,3422,UBER,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202424,95.80%,99.40%,9.2,96.60%,98.80%,97.00%,89.60%
159,16,2341,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202424,93.60%,92.80%,7.3,96.30%,96.80%,94.00%,87.50%
159,16,3200,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202424,89.80%,99.90%,6,91.50%,92.10%,90.50%,84.70%
160,16,3561,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202424,83.20%,92.80%,8.9,88.20%,83.40%,75.80%,83.60%
157,16,1762,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202424,95.30%,94.20%,8.4,99.10%,97.90%,96.60%,86.60%
179,16,1932,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202424,76.70%,93.50%,8,74.20%,76.70%,74.10%,82.30%
181,16,2224,SPARK,Scheduled Standard Delivery,42,Executive Review,Degrading,Driver Supply Focus,202424,83.40%,97.40%,8.4,78.60%,87.70%,85.60%,81.30%
283,76,3035,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202424,92.50%,98.50%,6.7,95.50%,95.40%,89.80%,90.10%
283,76,5968,SPARK,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202424,93.20%,94.60%,8.6,97.00%,97.00%,90.70%,88.90%
283,76,5968,UBER,Scheduled Standard Delivery,48,Executive Review,Recovering,Driver Supply Focus,202424,93.00%,95.10%,9.5,96.50%,94.20%,92.20%,89.30%
320,76,2833,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202424,91.80%,99.90%,5.7,92.60%,94.70%,89.40%,89.90%
301,26,2000,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202424,82.70%,96.00%,9.5,91.00%,85.40%,79.30%,77.40%
294,4,1795,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202424,94.20%,99.40%,6,98.90%,95.70%,93.10%,88.20%
294,4,4334,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202424,91.00%,94.40%,9.2,96.20%,90.40%,87.80%,88.80%
