,Dairy ,
Store Number,Milk,Butter
1,1,
2,,1
3,,
4,,
5,,
7,1,
8,,
9,1,
10,1,
11,,1
12,,
13,1,
14,,
15,,1
16,,
17,,
18,,
19,,
20,,
21,,
22,1,
23,1,1
24,,
25,,
26,1,
27,,
28,,
29,1,
30,1,
31,,
32,,
33,,
34,,
35,,1
36,1,
37,,
38,,
39,1,
40,,
41,,1
42,,
43,1,
44,,
45,,
46,1,
47,,
48,1,
49,,
50,,
51,,
52,1,
54,,
55,,
56,1,
57,,
58,,
59,,
60,,
61,1,1
62,,
63,,
64,,
65,,
66,,
67,,
68,1,
69,,1
70,1,
71,,
72,,
73,1,
74,,
75,,1
76,,
77,1,
78,,
79,,
80,1,
81,,
82,,
83,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,1
94,1,1
95,,
96,1,
97,1,
98,,
99,1,
100,1,
101,,
102,,
103,1,
104,1,
105,,
106,,
107,,
108,1,
109,,
110,1,
111,,
112,1,
113,,
114,1,
115,,
116,,
117,,
118,,
119,1,
120,,
121,,
122,,
123,1,
124,,1
125,1,1
126,1,
127,,
128,,
129,,
130,1,
131,,
132,,
133,,
134,,
135,1,
136,,
137,1,
138,1,
139,1,
140,1,
141,1,1
143,,
144,,1
145,,
146,,
147,1,1
148,1,1
149,,
150,,
151,1,
152,,
153,,
154,1,
155,,
157,,1
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,1,
166,1,
167,,
168,1,
169,,
170,,
171,,
172,,
173,,
174,,1
175,1,1
176,,
177,,
178,,
179,,
180,,
181,,
182,,1
183,,
184,1,1
185,,1
186,1,
188,,
189,,
190,1,
192,,
194,1,
195,1,
196,1,
197,1,
198,1,
199,1,
200,1,
201,1,
202,,
203,1,
204,1,
205,,
206,1,
207,,
209,,
210,,
211,,
212,1,
213,,
214,1,
216,1,
217,1,
218,,
219,,1
220,,1
221,,
222,,
224,1,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,1,
234,1,1
236,,
237,1,
238,,
239,1,
240,,
242,,
243,1,1
244,,
246,,
247,,
248,1,
249,,
250,1,
251,,
252,,
253,,
254,1,
256,1,
257,,
258,,
259,1,1
260,1,1
261,,1
262,1,1
263,,
264,,
265,,1
266,1,
267,,
268,1,
269,1,
271,,
272,,
273,,
274,,
275,,
276,,
277,1,1
278,,1
279,,
280,,
281,,
282,,
283,,
284,1,
285,1,
286,,1
287,,
288,,
289,,
290,,
292,,
293,,
294,1,
295,,
296,,
297,,
298,,
299,,1
300,,
301,,
302,1,
303,,
304,1,
305,1,
306,,
307,,1
308,1,
309,1,
310,1,
311,,
312,,
313,,
314,,
315,,
316,,
317,1,
318,,
319,1,
320,,
321,,
322,1,
323,,
324,,
325,,
326,,
328,1,
329,1,
330,,
331,,1
332,1,
333,1,
334,,
335,1,1
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,1,
344,1,
345,1,
346,,
347,,
348,,
349,,
350,1,
351,,
352,,
353,,
354,,
355,1,
356,1,
357,,
358,,
359,1,
360,,
361,1,1
362,,
363,1,
364,,
365,,
366,,
368,,
369,,
370,,
371,,
372,1,
373,,
374,,
375,1,
376,,1
377,1,
378,,
379,,
381,1,
382,,
383,,
384,,
385,,
386,1,
387,,
388,1,
389,1,
390,1,
391,,
392,,
393,,1
394,,
395,,
396,1,
397,,
398,1,1
399,1,1
400,,
401,,
402,,
403,1,
404,1,
405,,
406,,
407,1,
408,,
409,,
410,1,
411,,
412,,
413,,
414,,
415,1,
416,,
417,,
418,,
419,1,
420,,
421,,
422,1,
423,1,
424,,
425,,
426,1,
427,,1
428,,
429,1,
430,,
431,1,
432,1,
433,,
434,1,
435,1,
436,,
437,,
438,,
440,1,
442,,
443,1,
444,1,
445,1,
446,,
447,1,
448,1,1
449,,
450,1,1
451,1,
452,1,
453,,
454,,
456,1,
457,1,
458,,
459,1,
461,,
462,,
463,,
464,,
465,,
466,,
467,1,
468,,1
469,,
470,,
471,1,1
472,1,
473,,
475,1,
476,1,
477,1,
478,,
479,,
480,,
481,1,
482,,
483,,1
484,1,
485,,
486,,
488,,
489,,
490,,
491,1,1
492,1,
493,1,
494,1,1
495,1,
497,,
498,,
499,,
500,1,1
501,,1
502,,
503,,
504,1,
505,,
506,,
507,1,
508,,
510,1,
511,1,1
512,1,
513,,
514,1,
515,,
516,,
517,,
518,,
519,1,
520,,1
521,1,
522,,
523,,
524,,
525,1,
526,1,
527,,
528,,
529,1,
530,,1
531,1,
532,1,1
533,1,
535,,
536,,
537,,
538,1,
539,,
540,1,
541,1,1
542,1,
543,,
544,1,1
545,,
546,1,
547,,
548,1,
549,1,
550,,
551,,
552,,
553,1,1
554,,
555,1,
556,1,
557,1,
558,1,
559,,
560,,1
561,,
562,,
563,1,1
564,1,
565,1,
566,1,
567,,
568,,
569,1,
571,,
572,,
573,1,
574,1,1
575,1,
576,1,
577,1,1
578,1,
579,1,1
580,,
581,1,
582,1,
583,1,
584,1,
585,1,
586,1,1
587,1,
588,1,1
589,,1
590,1,1
591,,
592,1,
593,1,
594,1,1
595,,
596,,
598,,
599,1,
600,1,
601,1,
602,1,
603,1,
604,,
605,1,
606,,
607,,
608,,1
609,1,
610,,
611,,
612,1,
613,1,1
614,1,
615,,
616,1,
617,,
618,1,1
619,,
620,1,
621,1,
622,1,1
623,1,1
624,1,
625,1,
626,,
627,1,
628,1,1
629,,
630,1,1
631,1,
632,1,
633,1,
634,1,1
635,1,1
636,1,
637,,
638,,
639,1,1
640,1,1
641,1,
642,1,
643,1,
644,,
645,1,
646,,
647,,
648,,
649,1,1
651,1,
652,1,
653,,1
655,1,
656,1,
657,,
658,1,1
659,1,1
660,1,
661,1,
662,1,
663,,1
664,1,
665,1,
666,,1
667,1,
668,,
669,1,
670,,1
671,1,1
672,,
673,,1
674,1,
675,1,
676,,
677,1,1
678,,
680,,
681,,
682,1,
683,1,
684,,
685,,
686,1,
687,,
688,1,
689,1,
690,1,
691,,
692,1,
693,,
694,1,1
695,,
696,,
697,1,1
698,,1
699,1,1
700,,
701,1,
702,1,
703,,
705,1,
706,,1
707,,
708,1,
709,1,1
710,1,
711,,
712,,
713,,
714,1,
715,1,1
716,1,
718,,
719,,
720,,
721,1,1
722,,
723,,
724,,
725,,
726,,
727,,
728,,
729,,
730,,
731,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,1,
744,1,
745,,
746,,
748,,
749,1,
750,1,
751,,
752,,
753,1,
754,1,1
755,1,
756,1,
757,,
758,,
759,,
760,,
761,,
762,,1
764,1,
765,1,
766,,
767,,1
768,1,
769,1,
770,1,
771,1,
772,1,
773,1,1
774,1,
775,,
776,1,
777,,
778,1,
779,,
780,,
781,,
782,1,
783,,
784,,
785,,
786,1,
787,1,1
788,1,
789,1,1
790,,
791,1,
792,,
793,1,
794,1,
795,1,
796,,
797,,
798,,
799,,
800,1,1
801,1,
802,,
803,1,
804,,1
805,,
806,1,
807,1,
808,,
809,,
810,1,
811,,
812,1,
813,1,
814,,
815,,
816,,1
817,1,1
818,1,
819,1,1
820,,
821,1,
822,1,
823,1,
824,,
825,,
826,1,
827,,
828,1,
829,,
830,,
833,1,
834,,
835,1,
836,1,1
837,,
838,,1
839,1,1
840,1,
841,,
842,1,1
843,,
844,,1
845,,
846,,
847,,
848,1,
849,1,1
850,1,
851,,
852,1,
853,1,
854,1,
855,1,1
856,1,
857,1,1
858,,
859,,
860,,1
861,,
862,1,1
863,1,
864,1,1
865,,
866,,1
867,,
868,,
869,1,
870,1,1
871,,
872,1,
873,,
874,,
875,1,
876,,
877,1,
878,1,
879,,
880,1,
881,1,
882,,
884,1,
885,,
886,1,
887,,
888,,
889,1,
890,1,1
891,1,
892,1,
893,,
894,1,
895,,
896,1,1
897,,
898,,
899,1,
900,,
901,,
902,,
903,1,
904,,
905,1,
906,1,
907,,
908,,1
909,1,1
910,1,
911,1,1
912,1,
913,1,
914,,
915,,
916,,
917,,
918,1,
919,,
920,1,
921,,
922,1,
923,1,
924,,
925,,
927,,
928,1,
929,1,1
930,,
931,1,
932,,1
933,,
934,1,1
935,,1
936,1,
937,1,1
938,1,1
939,,
940,1,
941,1,
942,,1
943,1,1
944,,
945,1,
947,,
948,1,
950,1,1
951,,
952,,
953,1,
954,,
955,,1
956,,
957,,
958,,
959,,
960,,
961,1,1
962,,
963,,
964,1,
965,1,
966,1,
967,1,1
968,1,
969,,
970,,
971,,
972,1,
973,1,1
974,1,1
975,,1
976,,
977,,
978,1,
979,1,
980,,
981,,
982,1,
984,1,
985,,
986,,
987,1,
988,1,1
989,1,1
990,1,1
991,,
992,1,1
993,,
994,1,
995,1,
996,,
998,,
999,1,
1000,,
1001,1,1
1002,1,
1003,,
1004,,1
1005,1,
1006,,
1007,,
1008,1,
1009,,
1010,1,
1011,1,
1012,1,
1013,,
1014,,
1015,1,
1016,1,
1017,,
1018,1,
1019,1,
1020,1,
1021,,
1022,,
