Store,Will receive signing?
1,Yes
2,Yes
4,Yes
5,Yes
7,Yes
8,Yes
9,Yes
11,Yes
13,Yes
14,Yes
15,Yes
16,Yes
19,Yes
21,Yes
24,Yes
25,Yes
26,Yes
27,Yes
28,Yes
29,Yes
30,Yes
34,Yes
35,Yes
37,Yes
40,Yes
41,Yes
45,Yes
48,Yes
51,Yes
55,Yes
58,Yes
59,Yes
60,Yes
61,Yes
65,Yes
67,Yes
69,Yes
70,Yes
71,Yes
73,Yes
76,Yes
78,Yes
79,Yes
81,Yes
85,Yes
88,Yes
89,Yes
92,Yes
93,Yes
94,Yes
95,Yes
96,Yes
99,Yes
100,Yes
102,Yes
104,Yes
105,Yes
108,Yes
110,Yes
113,Yes
118,Yes
120,Yes
124,Yes
125,Yes
126,Yes
127,Yes
128,Yes
129,Yes
130,Yes
131,Yes
135,Yes
138,Yes
139,Yes
141,Yes
144,Yes
146,Yes
147,Yes
152,Yes
154,Yes
155,Yes
159,Yes
162,Yes
164,Yes
165,Yes
168,Yes
172,Yes
175,Yes
177,Yes
182,Yes
184,Yes
185,Yes
186,Yes
188,Yes
189,Yes
190,Yes
192,Yes
195,Yes
196,Yes
197,Yes
199,Yes
200,Yes
201,Yes
202,Yes
206,Yes
213,Yes
216,Yes
217,Yes
219,Yes
220,Yes
222,Yes
224,Yes
226,Yes
228,Yes
231,Yes
233,Yes
234,Yes
236,Yes
237,Yes
238,Yes
242,Yes
243,Yes
250,Yes
251,Yes
259,Yes
260,Yes
261,Yes
265,Yes
266,Yes
268,Yes
269,Yes
272,Yes
275,Yes
277,Yes
280,Yes
284,Yes
286,Yes
288,Yes
295,Yes
296,Yes
299,Yes
301,Yes
304,Yes
315,Yes
319,Yes
328,Yes
332,Yes
334,Yes
336,Yes
340,Yes
345,Yes
350,Yes
353,Yes
354,Yes
355,Yes
356,Yes
357,Yes
361,Yes
363,Yes
366,Yes
368,Yes
375,Yes
376,Yes
381,Yes
387,Yes
388,Yes
389,Yes
392,Yes
396,Yes
397,Yes
398,Yes
404,Yes
406,Yes
407,Yes
408,Yes
410,Yes
