Store Number,Start (Night),End (Morning)
5689,4/4/2022,4/5/2022
2886,4/5/2022,4/6/2022
1660,4/6/2022,4/7/2022
2940,4/6/2022,4/7/2022
5154,4/7/2022,4/8/2022
3746,4/7/2022,4/8/2022
3752,4/10/2022,4/11/2022
3167,4/10/2022,4/11/2022
5686,4/11/2022,4/12/2022
3464,4/11/2022,4/12/2022
6932,4/11/2022,4/12/2022
4679,4/11/2022,4/12/2022
3745,4/12/2022,4/13/2022
4129,4/12/2022,4/13/2022
5874,4/13/2022,4/14/2022
3796,4/13/2022,4/14/2022
3743,4/13/2022,4/14/2022
803,4/13/2022,4/14/2022
5691,4/14/2022,4/15/2022
2028,4/18/2022,4/19/2022
4171,4/18/2022,4/19/2022
7301,4/18/2022,4/19/2022
5389,4/18/2022,4/19/2022
4183,4/18/2022,4/19/2022
909,4/19/2022,4/20/2022
939,4/19/2022,4/20/2022
3319,4/19/2022,4/20/2022
395,4/19/2022,4/20/2022
3057,4/19/2022,4/20/2022
6583,4/19/2022,4/20/2022
1862,4/20/2022,4/21/2022
5644,4/20/2022,4/21/2022
912,4/20/2022,4/21/2022
7156,4/20/2022,4/21/2022
4163,4/20/2022,4/21/2022
3567,4/20/2022,4/21/2022
4102,4/20/2022,4/21/2022
6590,4/20/2022,4/21/2022
5663,4/21/2022,4/22/2022
5601,4/21/2022,4/22/2022
4683,4/21/2022,4/22/2022
476,4/21/2022,4/22/2022
77,4/21/2022,4/22/2022
397,4/21/2022,4/22/2022
465,4/21/2022,4/22/2022
5773,4/21/2022,4/22/2022
1196,4/24/2022,4/25/2022
746,4/24/2022,4/25/2022
3170,4/24/2022,4/25/2022
5809,4/24/2022,4/25/2022
4103,4/24/2022,4/25/2022
7099,4/24/2022,4/25/2022
1832,4/25/2022,4/26/2022
1853,4/25/2022,4/26/2022
171,4/25/2022,4/26/2022
6929,4/25/2022,4/26/2022
3169,4/25/2022,4/26/2022
429,4/25/2022,4/26/2022
447,4/25/2022,4/26/2022
5774,4/25/2022,4/26/2022
5096,4/27/2022,4/28/2022
5425,4/28/2022,4/29/2022
167,4/28/2022,4/29/2022
6286,4/28/2022,4/29/2022
5165,4/28/2022,4/29/2022
461,4/28/2022,4/29/2022
5081,4/28/2022,4/29/2022
