KEY,CATEGORY_NBR,CATEGORY_DESC,UPC,ITEM_NBRS,ITEM_DESC,REPLENISHMENT_NOTES,ESTIMATED_GET_WELL_ETA
1,01,CANDY,4111601189,200863,RING POP 44 CT 44 CT,Sporadic supply LH,4/30/2023
1,01,CANDY,71988651039,251854,PELON PELO RICO 36 / 1 OZ,Major delays,5/31/2023
1,01,CANDY,980012048,263210,FERRERO ROCHER - 48 48 CT HAZELNUT CHOC,Sporadic supply LH,2/22/2023
1,01,CANDY,2200001686,367965,EXTRA VTY PK 20 / 15 STICKS,Sporadic supply LH,4/22/2023
1,01,CANDY,2200001684,367978,ORBIT VTY PK 20 / 14 STICKS,Limited Availability LH,4/14/2023
1,01,CANDY,7239295300,463788,FLA-VOR-ICE PLUS 200 CT,Sporadic supply,4/22/2023
1,01,CANDY,72518162810,516906,SALSAGHETI WTRMELON 24 CT,Sporadic supply LH,4/7/2023
1,01,CANDY,4000048290,582568,MIXED FB 30CT VTYPK MIXED FB 30CT VTYPK,Limited Availability LH,4/14/2023
1,01,CANDY,4136418633,611124,RED VINES 15 / 4 OZ,,11/13/2021
1,01,CANDY,4223830253,626859,HARIBO GOLD BEARS 72 OZ,Sporadic supply LH,3/29/2023
1,01,CANDY,4000001266,627767,SKITTLES SOURS MARS 24 CT,Sporadic supply LH,3/24/2023
1,01,CANDY,7046201234,674152,SOUR PATCH KIDS 24 / 2 OZ,Sporadic supply LH,3/31/2023
1,01,CANDY,7339006711,709743,AIRHEADS ASSORTED 90 CT,Sporadic supply,4/22/2023
1,01,CANDY,4136405792,768350,SOUR PUNCH RAINBOW 24 / 2 OZ,Major delays FH,4/28/2023
1,01,CANDY,72518174210,954398,MIX MANGO/CHAMOY 24 CT,Major delays,5/31/2023
1,01,CANDY,1254601188,980071766,TRIDENT CINNAMON 15 COUNT / 14 STICK,Sporadic supply LH,4/5/2023
1,01,CANDY,1254601183,980071783,TRIDENT SPEARMINT 15 15 COUNT / 14 STICK,Late Trucks LH,2/10/2023
1,01,CANDY,1254601185,980071786,TRIDENT TROP TWIST 1 15 COUNT / 14 STICK,Late Trucks LH,2/21/2023
1,01,CANDY,7239294996,980100579,WYLER'S ITALIAN 96CT WYLERS  ITALIAN ICE,Sporadic supply,4/22/2023
1,01,CANDY,2200002079,980102274,5 RAIN MEGA 35STK 6PK 28.86 OZ,Limited Availability LH,3/31/2023
