BU (for dropdown selection),Day,Start,End,Session,Room/Level
East,Aug. 20,7:30 A.M,8:00 A.M.,Opening General Session,Grand Ballroom C | Level 3
East,Aug. 20,8:00 A.M.,8:50 A.M.,BU Breakout,Meeting Room 310 | Level 3
East,Aug. 20,9:05 A.M.,11:20 A.M.,General Session,Grand Ballroom C | Level 3
East,Aug. 20,11:20 A.M.,12:20 P.M.,Lunch,Exhibit Hall E | Level 1
East,Aug. 20,12:30 P.M.,2:20 P.M.,Crisis Prevention Institute (CPI) Training - Part I,"By Region: 
4 Room 332 C/F-Level 3
16, 17, 22, 26 - Room 342 B/E-Level 3
75, 76 - Room 342 C/F-Level 3"
East,Aug. 20,2:30 P.M. ,3:00 P.M. ,General Session,Grand Ballroom C | Level 3
East,Aug. 20,3:10 P.M. ,5:30 P.M. ,Crisis Prevention Institute (CPI) Training - Part II,"By Region: 
4 - Room 332 C/F- Level 3                                16, 17, 22, 26 - Room 342 B/E-Level 3          75, 76 - Room 342 C/F-Level 3"
East,Aug. 21,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
Neighborhood Market,Aug. 20,7:30 A.M,8:00 A.M.,Opening General Session,Grand Ballroom C | Level 3
Neighborhood Market,Aug. 20,8:00 A.M.,Noon,Crisis Prevention Institute (CPI) Training ,Meeting Room 372 C/F | Level 3
Neighborhood Market,Aug. 20,Noon,1:00 P.M.,Lunch,Exhibit Hall E | Level 1
Neighborhood Market,Aug. 20,1:00 P.M.,1:50 P.M.,BU Breakout,Meeting Room 310 | Level 3
Neighborhood Market,Aug. 20,2:00 P.M.,5:30 P.M. ,General Session,Grand Ballroom C | Level 3
Neighborhood Market,Aug. 21,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
North,Aug. 20,7:30 A.M,8:00 A.M.,Opening General Session,Grand Ballroom C | Level 3
North,Aug. 20,8:00 A.M.,Noon,Crisis Prevention Institute (CPI) Training ,"By Region:
19, 20 - Room 332 C/F-Level 3                        21, 25, 40, 41 - Room 342 B/E-Level 3
53 - Room 342 C/F-Level 3"
North,Aug. 20,Noon,1:00 P.M.,Lunch,Exhibit Hall E | Level 1
North,Aug. 20,1:00 P.M.,1:50 P.M.,BU Breakout,Meeting Room 320 | Level 3
North,Aug. 20,2:00 P.M.,5:30 P.M. ,General Session,Grand Ballroom C | Level 3
North,Aug. 21,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
Southeast,Aug. 20,7:30 A.M,8:00 A.M.,Opening General Session,Grand Ballroom C | Level 3
Southeast,Aug. 20,8:00 A.M.,8:50 A.M.,BU Breakout,Meeting Room 320 | Level 3
Southeast,Aug. 20,9:05 A.M.,11:20 A.M.,General Session,Grand Ballroom C | Level 3
Southeast,Aug. 20,11:20 A.M.,12:20 P.M.,Lunch,Exhibit Hall E | Level 1
Southeast,Aug. 20,12:30 P.M.,2:20 P.M.,Crisis Prevention Institute (CPI) Training - Part I,"By Region: 
2, 3, 9, 11 -  Room 332 B/E-Level 3  12, 14, 29, 42 - Room 332 C/F-Level 3 "
Southeast,Aug. 20,2:30 P.M. ,3:00 P.M. ,General Session,Grand Ballroom C | Level 3
Southeast,Aug. 20,3:10 P.M. ,5:30 P.M. ,Crisis Prevention Institute (CPI) Training - Part II,"By Region: 
2, 3, 9, 11 - Room 332 B/E-Level 3  12, 14, 29, 42 - Room 332 C/F-Level 3"
Southeast,Aug. 21,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
Southwest,Aug. 20,7:30 A.M,8:00 A.M.,Opening General Session,Grand Ballroom C | Level 3
Southwest,Aug. 20,8:00 A.M.,Noon,Crisis Prevention Institute (CPI) Training ,"By Region:
5, 6, 7, 13 - Room 332 B/E-Level 3
44, 46 - Room 332 C/F-Level 3"
Southwest,Aug. 20,Noon,1:00 P.M.,Lunch,Exhibit Hall E | Level 1
Southwest,Aug. 20,1:00 P.M.,1:50 P.M.,BU Breakout,Meeting Room 342 A/D | Level 3
Southwest,Aug. 20,2:00 P.M.,5:30 P.M. ,General Session,Grand Ballroom C | Level 3
Southwest,Aug. 21,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
Supply Chain,Aug. 20,7:30 A.M,8:00 A.M.,Opening General Session,Grand Ballroom C | Level 3
Supply Chain,Aug. 20,8:00 A.M.,8:50 A.M.,BU Breakout,Meeting Room 342 A/D | Level 3
Supply Chain,Aug. 20,9:05 A.M.,11:20 A.M.,General Session,Grand Ballroom C | Level 3
Supply Chain,Aug. 20,11:20 A.M.,12:20 P.M.,Lunch,Exhibit Hall E | Level 1
Supply Chain,Aug. 20,12:30 P.M.,2:20 P.M.,Crisis Prevention Institute (CPI) Training - Part I,"By first letter of last name:  
A-E | Room 342 C/F-Level 3                              F-M | Room 372 B/E-Level 3
N-Z | Room 372 C/F-Level 3"
Supply Chain,Aug. 20,2:30 P.M. ,3:00 P.M. ,General Session,Grand Ballroom C | Level 3
Supply Chain,Aug. 20,3:10 P.M. ,5:30 P.M. ,Crisis Prevention Institute (CPI) Training - Part II,"By first letter of last name:  
A-E | Room 342 C/F-Level 3                              F-M | Room 372 B/E-Level 3
N-Z | Room 372 C/F-Level 3"
Supply Chain,Aug. 21,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
West,Aug. 20,7:30 A.M,8:00 A.M.,Opening General Session,Grand Ballroom C | Level 3
West,Aug. 20,8:00 A.M.,Noon,Crisis Prevention Institute (CPI) Training ,"By Region: 
47, 52, 54 - Room 342 C/F-Level 3                 56, 57, 58, 60 - Room 372 B/E-Level 3"
West,Aug. 20,Noon,1:00 P.M.,Lunch,Exhibit Hall E | Level 1
West,Aug. 20,1:00 P.M.,1:50 P.M.,BU Breakout,Grand Ballroom C | Level 3
West,Aug. 20,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
West,Aug. 20,2:00 P.M.,5:30 P.M. ,General Session,Grand Ballroom C | Level 3
West,Aug. 21,1:00 P.M. ,3:00 P.M.,General Session,Grand Ballroom C | Level 3
