Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
81,7,781,SPARK,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202344,89.80%,95.80%,8.1,94.10%,86.40%,93.00%,84.70%
410,44,242,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202344,80.90%,97.20%,6.7,72.40%,81.90%,86.80%,84.30%
541,64,4659,SPARK,Scheduled Standard Delivery,12,At Risk,Recovering,Driver Supply Focus,202344,92.30%,98.10%,6.3,91.50%,94.60%,89.70%,93.80%
61,6,482,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202344,86.30%,98.80%,4.5,92.00%,82.60%,77.80%,92.90%
63,6,5959,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202344,87.60%,98.70%,8.6,82.30%,89.70%,89.80%,89.50%
85,6,293,SPARK,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202344,80.00%,100.00%,3,100.00%,55.60%,82.40%,73.30%
85,6,567,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202344,77.30%,100.00%,6.2,88.90%,80.00%,75.00%,50.00%
372,46,2112,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202344,93.30%,98.60%,8.9,94.00%,92.50%,81.10%,97.70%
257,41,1190,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202344,79.60%,96.20%,9.3,72.90%,81.00%,78.70%,86.80%
213,19,1445,UBER,Scheduled Standard Delivery,13,At Risk,Degrading,Driver Supply Focus,202344,90.80%,100.00%,7.3,89.50%,82.40%,95.20%,94.70%
200,19,5386,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Driver Supply Focus,202344,91.30%,92.70%,8.8,88.40%,89.80%,94.50%,92.40%
