Store,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2660,Half Pallet,39
805,Half Pallet,39
2180,Half Pallet,39
2502,Half Pallet,39
1341,Half Pallet,39
729,Half Pallet,39
2318,Half Pallet,39
3265,Half Pallet,39
603,Half Pallet,39
1301,Half Pallet,39
2297,Half Pallet,39
2054,Half Pallet,39
990,Half Pallet,39
4451,Half Pallet,39
1126,Half Pallet,39
4567,Half Pallet,39
886,Half Pallet,39
1757,Half Pallet,39
936,Half Pallet,39
1504,Half Pallet,39
1532,Half Pallet,39
2291,Half Pallet,39
2059,Half Pallet,39
3516,Half Pallet,39
1935,Half Pallet,39
1012,Half Pallet,39
2803,Half Pallet,39
2332,Half Pallet,39
2052,Half Pallet,39
3633,Half Pallet,39
2551,Half Pallet,39
892,Half Pallet,39
2199,Half Pallet,39
4279,Half Pallet,39
689,Half Pallet,39
3620,Half Pallet,39
2206,Half Pallet,39
10,Half Pallet,39
29,Half Pallet,39
31,Half Pallet,39
37,Half Pallet,39
69,Half Pallet,39
101,Half Pallet,39
103,Half Pallet,39
112,Half Pallet,39
141,Half Pallet,39
172,Half Pallet,39
188,Half Pallet,39
216,Half Pallet,39
231,Half Pallet,39
243,Half Pallet,39
272,Half Pallet,39
310,Half Pallet,39
372,Half Pallet,39
398,Half Pallet,39
452,Half Pallet,39
481,Half Pallet,39
492,Half Pallet,39
500,Half Pallet,39
512,Half Pallet,39
531,Half Pallet,39
532,Half Pallet,39
549,Half Pallet,39
554,Half Pallet,39
559,Half Pallet,39
577,Half Pallet,39
579,Half Pallet,39
581,Half Pallet,39
592,Half Pallet,39
632,Half Pallet,39
645,Half Pallet,39
670,Half Pallet,39
682,Half Pallet,39
694,Half Pallet,39
701,Half Pallet,39
721,Half Pallet,39
734,Half Pallet,39
746,Half Pallet,39
766,Half Pallet,39
775,Half Pallet,39
776,Half Pallet,39
797,Half Pallet,39
802,Half Pallet,39
804,Half Pallet,39
814,Half Pallet,39
821,Half Pallet,39
823,Half Pallet,39
842,Half Pallet,39
860,Half Pallet,39
870,Half Pallet,39
881,Half Pallet,39
890,Half Pallet,39
891,Half Pallet,39
906,Half Pallet,39
908,Half Pallet,39
910,Half Pallet,39
913,Half Pallet,39
928,Half Pallet,39
943,Half Pallet,39
948,Half Pallet,39
956,Half Pallet,39
958,Half Pallet,39
961,Half Pallet,39
972,Half Pallet,39
973,Half Pallet,39
975,Half Pallet,39
1035,Half Pallet,39
1055,Half Pallet,39
1062,Half Pallet,39
1072,Half Pallet,39
1081,Half Pallet,39
1085,Half Pallet,39
1086,Half Pallet,39
1097,Half Pallet,39
1117,Half Pallet,39
1125,Half Pallet,39
1132,Half Pallet,39
1152,Half Pallet,39
1160,Half Pallet,39
1176,Half Pallet,39
1178,Half Pallet,39
1194,Half Pallet,39
1238,Half Pallet,39
1241,Half Pallet,39
1242,Half Pallet,39
1264,Half Pallet,39
1267,Half Pallet,39
1280,Half Pallet,39
1289,Half Pallet,39
1300,Half Pallet,39
1313,Half Pallet,39
1326,Half Pallet,39
1327,Half Pallet,39
1333,Half Pallet,39
1337,Half Pallet,39
1348,Half Pallet,39
1350,Half Pallet,39
1353,Half Pallet,39
1355,Half Pallet,39
1371,Half Pallet,39
1376,Half Pallet,39
1377,Half Pallet,39
1378,Half Pallet,39
1390,Half Pallet,39
1406,Half Pallet,39
1410,Half Pallet,39
1411,Half Pallet,39
1420,Half Pallet,39
1423,Half Pallet,39
1430,Half Pallet,39
1433,Half Pallet,39
1441,Half Pallet,39
1447,Half Pallet,39
1449,Half Pallet,39
1454,Half Pallet,39
1460,Half Pallet,39
1473,Half Pallet,39
1483,Half Pallet,39
1489,Half Pallet,39
1490,Half Pallet,39
