Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comment
656,858767,2/1/2024, 329.25 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
665,864627,2/1/2024," 1,578.13 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1137,862626,2/1/2024, 331.29 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
1188,866624,2/1/2024," 1,570.31 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1359,862248,2/1/2024, 695.48 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
1536,862157,2/1/2024, 321.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
1601,864709,2/1/2024, 454.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
1954,858795,2/1/2024, 768.75 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
3192,862177,2/1/2024, 321.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
3716,862212,2/1/2024, 515.61 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
4065,866631,2/1/2024," 1,774.11 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
4111,860380,2/1/2024, 344.49 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
4504,866608,2/1/2024, 442.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
5497,862160,2/1/2024, 324.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
5773,862170,2/1/2024, 329.85 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.
6673,862202,2/1/2024, 326.25 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
631,23297302,2/1/2024, 782.42 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
811,23297283,2/1/2024, 322.50 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
1188,23245791,2/1/2024," 1,570.31 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1658,23429386,2/1/2024, 324.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
1777,23297289,2/1/2024, 318.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
2028,23429392,2/1/2024, 462.19 ,IMPROPER HANDLING - COIN SORTER,BCR,Coin Sorter,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
2336,23341868,2/1/2024, 347.32 ,IMPROPER HANDLING - OTHER,OTHER,PCB,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2793,23429391,2/1/2024, 321.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
3406,23297291,2/1/2024, 324.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
3658,23297296,2/1/2024, 320.25 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
4065,23246090,2/1/2024," 1,774.11 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
4216,23297295,2/1/2024, 321.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
4298,23297308,2/1/2024, 324.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
4394,23429377,2/1/2024, 327.60 ,NON DEVICE RELATED ISSUES,BCR,&nbsp;,COIN AUDIT: Coin Audit
4417,23297313,2/1/2024, 915.56 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
4654,23297273,2/1/2024, 771.28 ,IMPROPER HANDLING - TOUCH SCREEN,OTHER,Touch Screen,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
5410,23297310,2/1/2024, 452.63 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
5458,23429372,2/1/2024, 545.45 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
6449,23297292,2/1/2024, 871.25 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
1415,884137,2/1/2024, 321.00 ,Non Device Related Issues,BCR,&nbsp;,COIN AUDIT: Coin Audit
