Store,,OCT,73,YTD,74,OCT,75,YTD,76,OCT,77,YTD,78,OCT,79,YTD,80,OCT,81,YTD,82,OCT,83,YTD,84,OCT,85,YTD,86,OCT,87,YTD,88,OCT,89,YTD,90,OCT,91,YTD,92
515,,1.43%,,5.86%,,10.20%,,16.63%,,6.89%,,5.55%,,4.48%,,11.70%,,44,G,534,G,71.31%,G,84.32%,G,45,G,378,G,101.55%,G,106.00%,G,1:02:36,,1:02:10,,1303/2576,,934/2576,
1070,,4.17%,,4.60%,,10.19%,,9.73%,,-1.41%,,-3.73%,,10.98%,,9.32%,,12,,47,,26.86%,,30.43%,,21,G,86,,38.71%,,49.86%,,0:47:50,,0:59:33,,1474/2576,,1947/2576,
1122,,9.28%,,8.19%,,29.41%,G,17.28%,,4.81%,,-5.60%,R,48.56%,G,19.88%,,21,,98,,27.77%,,28.50%,R,3,,20,,40.34%,,52.00%,,1:03:22,,1:03:05,,672/2576,,1336/2576,
2753,,-0.31%,,3.38%,,19.48%,,17.16%,,0.00%,,6.00%,,5.40%,,18.22%,,32,G,69,,18.24%,R,19.82%,R,15,G,31,,89.55%,G,69.20%,,0:44:03,,0:42:58,,1233/2576,,1333/2576,
3485,,13.30%,G,11.57%,G,12.58%,,32.80%,G,12.52%,,12.15%,,13.50%,,29.01%,G,22,,203,,22.89%,R,32.19%,,9,G,71,,103.96%,G,103.32%,G,0:49:29,,0:50:50,,772/2576,,184/2576,G
3874,,10.00%,G,4.57%,,45.44%,G,6.88%,R,18.59%,,-10.04%,R,60.84%,G,12.92%,,1,R,42,,27.65%,,32.47%,,1,R,32,,50.62%,,44.72%,,0:53:51,,1:03:42,,419/2576,G,2139/2576,R
4616,,8.68%,,9.48%,G,16.05%,,23.76%,,9.66%,,6.23%,,42.09%,G,30.22%,G,12,,36,,38.87%,,31.18%,,2,,48,,84.64%,G,77.99%,,1:03:06,,1:07:41,R,792/2576,,736/2576,
Total,B,6.88%,G,6.95%,,17.85%,,17.76%,,6.81%,,1.94%,,23.54%,,17.99%,,0.66,,0.54,,34.42%,,38.59%,,0.44,G,0.35,G,71.21%,G,72.19%,G,0:53:46,,0:57:32,,69/394,G,128/394,
3201,,14.51%,G,10.45%,G,39.18%,G,48.00%,G,40.54%,G,40.83%,G,77.68%,G,51.62%,G,36,G,179,,32.61%,,32.83%,,0,R,34,,37.68%,,42.09%,,0:43:11,,0:35:24,G,147/2576,G,77/2576,G
3401,,-6.29%,R,10.60%,G,1.57%,,55.99%,G,4.62%,,44.26%,G,-1.79%,R,50.48%,G,10,,40,,32.86%,,37.79%,,5,,28,,48.88%,,27.35%,R,1:00:00,,1:04:27,R,2262/2576,R,302/2576,G
3402,,-1.95%,,-6.12%,R,-8.12%,R,-0.75%,R,-12.60%,R,-6.95%,R,-7.86%,R,1.72%,R,5,,99,,40.40%,,45.95%,,3,,113,G,78.24%,,69.16%,,1:30:29,R,1:25:01,R,2414/2576,R,2437/2576,R
3709,,7.80%,,12.71%,G,14.63%,,50.83%,G,28.74%,G,69.05%,G,11.83%,,33.59%,G,1,R,118,,34.19%,,34.65%,,1,R,49,,40.65%,,54.93%,,0:25:43,G,0:25:25,G,844/2576,,28/2576,G
Total,B,2.89%,,5.57%,,6.50%,R,32.59%,G,9.45%,,32.71%,G,9.00%,,28.55%,G,0.42,,0.4,,35.41%,,38.02%,,0.07,R,0.21,,52.31%,,50.66%,,0:54:22,,0:52:28,,312/394,,41/394,G
1184,,5.11%,,3.99%,,-13.45%,R,13.73%,,-5.20%,R,7.67%,,-1.86%,R,11.21%,,17,,95,,35.22%,,49.44%,G,9,G,44,,20.57%,R,45.47%,,1:03:39,R,0:53:10,,2149/2576,R,1468/2576,
1340,,13.92%,G,13.76%,G,10.62%,,28.70%,G,33.02%,G,20.52%,G,43.99%,G,27.26%,G,8,,68,,34.42%,,42.01%,,1,R,52,,32.18%,,45.19%,,1:24:55,R,1:14:59,R,1019/2576,,405/2576,G
2475,,15.54%,G,10.80%,G,31.88%,G,30.80%,G,57.62%,G,13.05%,,33.73%,G,33.98%,G,2,R,7,R,34.28%,,37.44%,,2,,6,R,49.38%,,49.22%,,1:20:00,R,1:06:26,R,441/2576,G,598/2576,
2584,,17.43%,G,6.00%,,26.28%,,22.58%,,42.70%,G,7.81%,,20.62%,,15.50%,,12,,209,,28.85%,,41.76%,,3,,64,,22.86%,R,33.31%,,0:33:55,G,0:43:21,,288/2576,G,753/2576,
Total,B,12.83%,G,8.82%,G,10.86%,,23.63%,G,26.89%,G,11.98%,G,23.02%,,22.08%,,0.31,,0.35,,33.21%,,42.34%,,0.12,,0.15,,32.39%,R,43.70%,,1:07:44,R,1:00:41,,176/394,,60/394,G
3,,2.63%,,1.01%,,23.72%,,22.07%,,12.76%,,2.15%,,22.34%,,11.23%,,19,,280,G,34.88%,,39.34%,,10,G,287,G,80.99%,,81.31%,G,0:39:04,,0:41:07,,590/2576,,1038/2576,
510,,5.44%,,4.25%,,-4.51%,R,4.37%,R,-7.88%,R,-8.86%,R,3.27%,,13.54%,,0,R,9,R,19.95%,R,17.55%,R,0,R,5,R,51.34%,,54.52%,,0:55:36,,0:46:09,,2249/2576,R,2200/2576,R
1111,,6.74%,,2.06%,,9.05%,,26.19%,,7.66%,,14.13%,,6.25%,,19.82%,,1,R,10,R,30.15%,,32.38%,,0,R,19,,100.00%,G,100.12%,G,0:26:58,G,0:29:30,G,1226/2576,,828/2576,
1121,,0.52%,,1.75%,,-11.71%,R,-12.97%,R,4.22%,,-13.20%,R,-5.61%,R,9.98%,,1,R,23,R,29.00%,,20.21%,R,2,,12,R,8.55%,R,41.95%,,0:30:07,G,0:23:52,G,2203/2576,R,2325/2576,R
1363,,5.55%,,11.57%,G,23.59%,,24.26%,,10.91%,,10.08%,,15.76%,,29.89%,G,7,,172,,20.98%,R,26.51%,R,4,,70,,75.00%,,62.82%,,0:18:58,G,0:20:14,G,629/2576,,262/2576,G
1400,,17.18%,G,1.64%,,49.57%,G,6.66%,R,41.89%,G,-4.02%,R,81.48%,G,5.07%,,3,,13,R,17.96%,R,21.59%,R,1,R,7,R,48.37%,,31.13%,R,0:41:08,,0:53:05,,166/2576,G,2403/2576,R
2811,,8.29%,,7.80%,,11.57%,,19.93%,,-2.45%,,-0.69%,,30.17%,,32.16%,G,0,R,17,R,19.65%,R,26.41%,R,0,R,7,R,36.42%,,38.29%,,0:41:39,,0:39:08,,1389/2576,,1045/2576,
3627,,12.91%,G,5.74%,,7.77%,,11.52%,,-0.67%,,-1.02%,,29.10%,,17.55%,,0,R,78,,25.90%,,30.61%,,2,,76,,21.70%,R,29.33%,R,0:29:29,G,0:28:34,G,1204/2576,,1400/2576,
5482,,-0.85%,,2.00%,,3.43%,,1.23%,R,22.72%,,-3.92%,,-1.67%,R,4.15%,,13,,109,,23.23%,R,29.38%,,8,,35,,35.98%,,30.14%,R,0:36:27,G,0:44:22,,1760/2576,,2281/2576,R
Total,B,6.70%,G,4.14%,,12.28%,,12.13%,R,8.59%,,-0.58%,R,19.62%,,15.82%,,0.16,R,0.29,,25.03%,R,28.08%,R,0.1,,0.21,,51.43%,,52.24%,,0:35:07,G,0:35:46,G,164/394,,283/394,
594,,-1.95%,,0.27%,R,12.08%,,-2.00%,R,8.76%,,-20.37%,R,48.91%,G,17.12%,,3,,108,,33.94%,,36.40%,,4,,32,,42.75%,,37.03%,,0:44:50,,0:40:34,,1406/2576,,2242/2576,R
722,,6.31%,,8.45%,,18.24%,,41.46%,G,26.29%,G,41.94%,G,8.11%,,15.06%,,43,G,450,G,45.31%,G,36.24%,,27,G,105,G,55.41%,,59.35%,,1:16:43,R,1:03:46,,814/2576,,308/2576,G
727,,7.53%,,10.05%,G,34.54%,G,43.69%,G,32.18%,G,29.04%,G,46.83%,G,30.10%,G,8,,180,,20.00%,R,32.81%,,3,,51,,34.59%,,51.83%,,0:31:43,G,0:34:13,G,299/2576,G,90/2576,G
