Store Nbr,Vendor Stk Nbr,Product Line,Curr Str On Hand Qty
3,142-S12C-CRU-W,S12C,0 
3,142-S12C-ELE-W,S12C,0 
3,142-S12C-OPT-W,S12C,0 
3,142-S20T-CRU-W,S20T,0 
3,142-S20T-ELE-W,S20T,0 
3,142-S20T-OPT-W,S20T,0 
3,142-S34Q-CRU-W,S34Q,0 
3,142-S34Q-ELE-W,S34Q,0 
3,142-S34Q-OPT-W,S34Q,0 
10,192-S12C-CRU-W,S12C,2 
10,192-S12C-ELE-W,S12C,2 
10,192-S12C-OPT-W,S12C,2 
10,192-S20T-CRU-W,S20T,2 
10,192-S20T-ELE-W,S20T,2 
10,192-S20T-OPT-W,S20T,2 
10,192-S34Q-CRU-W,S34Q,2 
10,192-S34Q-ELE-W,S34Q,2 
10,192-S34Q-OPT-W,S34Q,2 
12,192-S12C-CRU-W,S12C,0 
12,192-S12C-ELE-W,S12C,0 
12,192-S12C-OPT-W,S12C,0 
12,192-S20T-CRU-W,S20T,0 
12,192-S20T-ELE-W,S20T,0 
12,192-S20T-OPT-W,S20T,0 
12,192-S34Q-CRU-W,S34Q,0 
12,192-S34Q-ELE-W,S34Q,0 
12,192-S34Q-OPT-W,S34Q,0 
26,616-S12C-CRU-W,S12C,0 
26,616-S12C-ELE-W,S12C,0 
26,616-S12C-OPT-W,S12C,0 
26,616-S20T-CRU-W,S20T,0 
26,616-S20T-ELE-W,S20T,0 
26,616-S20T-OPT-W,S20T,0 
26,616-S34Q-CRU-W,S34Q,0 
26,616-S34Q-ELE-W,S34Q,0 
26,616-S34Q-OPT-W,S34Q,0 
36,108-S12C-CRU-W,S12C,2 
36,108-S12C-ELE-W,S12C,2 
36,108-S12C-OPT-W,S12C,2 
36,108-S20T-CRU-W,S20T,2 
36,108-S20T-ELE-W,S20T,2 
36,108-S20T-OPT-W,S20T,2 
36,108-S34Q-CRU-W,S34Q,2 
36,108-S34Q-ELE-W,S34Q,2 
36,108-S34Q-OPT-W,S34Q,2 
41,192-S12C-CRU-W,S12C,0 
41,192-S12C-ELE-W,S12C,0 
41,192-S12C-OPT-W,S12C,0 
41,193-S12C-CRU-W,S12C,0 
41,193-S12C-ELE-W,S12C,0 
41,193-S12C-OPT-W,S12C,0 
41,192-S20T-CRU-W,S20T,0 
41,192-S20T-ELE-W,S20T,0 
41,192-S20T-OPT-W,S20T,0 
41,193-S20T-CRU-W,S20T,0 
41,193-S20T-ELE-W,S20T,0 
41,193-S20T-OPT-W,S20T,0 
41,192-S34Q-CRU-W,S34Q,0 
41,192-S34Q-ELE-W,S34Q,0 
41,192-S34Q-OPT-W,S34Q,0 
