Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
353,POINTPICKUP,Scheduled Express Delivery ,10,Executive Review,Recovering,Driver Supply Focus,202251,18.20%,92.30%,9.2,100.00%,22.20%,0.00%,11.10%
5210,ROADIE,Scheduled Express Delivery ,10,Executive Review,Recovering,Driver Supply Focus,202251,96.80%,91.20%,6.4,100.00%,85.70%,100.00%,100.00%
260,POINTPICKUP,Scheduled Standard Delivery,22,Executive Review,Degrading,Driver Supply Focus,202251,55.00%,90.50%,9.8,80.00%,50.00%,60.00%,25.00%
2133,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202251,92.40%,97.50%,9.3,94.60%,92.40%,89.90%,93.20%
4219,POINTPICKUP,Scheduled Standard Delivery,46,Executive Review,Degrading,Driver Supply Focus,202251,76.10%,91.40%,9.6,83.30%,73.10%,71.10%,77.80%
4554,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202251,92.00%,94.80%,8,94.60%,93.40%,90.20%,89.10%
5480,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202251,95.10%,91.00%,9.3,97.00%,98.20%,89.20%,96.90%
3341,SPARK,Scheduled Standard Delivery,48,Executive Review,Recovering,Driver Supply Focus,202251,91.00%,92.10%,9.3,94.50%,93.60%,89.40%,86.00%
1055,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202251,91.40%,95.10%,9.9,94.50%,92.70%,91.00%,86.80%
113,POINTPICKUP,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202251,73.30%,89.90%,8.1,90.00%,60.90%,62.50%,100.00%
129,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202251,69.30%,98.70%,9.4,64.00%,60.00%,82.40%,72.20%
185,POINTPICKUP,Scheduled Express Delivery ,17,Executive Review,Degrading,Driver Supply Focus,202251,92.90%,90.00%,9,87.50%,85.70%,100.00%,100.00%
185,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202251,70.50%,92.60%,9.7,91.70%,78.90%,69.60%,39.00%
1295,SPARK,Scheduled Express Delivery ,7,Executive Review,Recovering,Driver Supply Focus,202251,72.30%,89.90%,9.1,100.00%,44.40%,68.80%,72.70%
