Store,Quantity on Hand
1,11
2,13
3,8
4,2
5,8
7,10
8,3
9,9
10,7
11,11
12,5
13,6
14,6
15,11
16,6
17,5
18,6
19,13
20,5
21,16
22,8
23,13
24,7
25,3
26,7
27,2
28,2
29,4
30,8
31,5
32,3
33,8
34,2
35,5
36,25
37,3
38,12
39,3
40,10
41,12
42,4
43,4
44,3
45,16
46,7
47,3
48,5
49,8
50,14
51,3
52,13
54,8
55,5
56,3
57,7
58,24
59,3
60,6
61,12
62,3
63,2
64,8
65,9
66,7
67,7
68,6
69,9
70,7
71,4
72,4
73,5
74,2
75,9
76,5
77,3
78,4
79,3
80,2
81,1
82,2
83,1
85,5
86,5
87,10
88,1
89,3
90,4
91,9
92,3
93,8
94,8
95,3
96,2
97,5
98,5
99,3
100,11
101,6
102,7
103,11
104,12
105,9
106,4
107,4
108,2
109,3
110,5
111,3
112,17
113,6
114,10
115,8
117,2
118,16
119,18
120,8
121,4
122,9
123,3
124,5
125,15
126,13
127,8
128,10
129,11
130,6
133,4
134,4
135,2
136,4
137,6
138,5
139,10
140,10
141,18
143,8
144,16
145,3
146,4
147,12
148,11
149,2
150,1
151,14
152,6
153,4
155,4
157,3
158,7
160,5
161,7
162,3
163,1
164,13
165,4
166,4
167,2
168,6
169,5
170,5
171,12
172,2
173,5
174,5
175,13
177,12
178,2
179,10
180,1
181,3
182,8
183,5
184,7
185,5
186,8
188,8
189,6
190,15
192,10
194,8
195,3
196,8
197,1
198,4
199,2
200,11
201,8
202,2
203,3
204,10
205,7
207,6
209,2
210,7
211,5
212,12
213,1
214,5
216,11
217,3
218,4
219,16
220,4
221,3
222,12
224,4
225,4
226,3
227,1
228,6
229,4
230,2
231,4
232,1
233,2
234,6
236,10
237,3
238,14
239,7
240,6
242,3
243,18
244,3
246,5
247,1
248,2
249,3
250,4
251,5
252,9
253,12
254,3
256,4
257,2
258,13
259,9
260,1
261,11
262,3
264,21
265,16
266,2
267,5
268,8
269,15
271,4
272,7
273,5
275,4
276,3
277,6
278,1
279,12
280,4
281,6
282,7
283,1
284,2
285,3
286,1
287,11
288,5
289,3
290,2
292,4
293,2
294,4
295,6
296,3
297,9
298,11
299,14
300,7
301,4
302,8
303,5
304,13
305,5
306,16
307,3
308,3
309,1
310,2
311,1
312,6
314,10
315,10
316,12
317,1
318,3
319,7
320,4
321,3
322,21
324,3
325,7
326,5
328,7
329,8
330,6
331,8
332,6
333,5
334,2
335,5
336,2
337,2
338,3
339,2
340,6
341,3
342,9
344,8
345,8
346,3
347,6
348,3
350,5
351,1
352,5
353,2
354,3
355,8
356,5
357,7
358,9
359,25
360,6
362,5
363,5
364,7
365,22
366,2
368,3
369,7
370,3
371,4
372,13
373,5
374,6
375,29
376,5
378,3
379,11
381,7
382,4
383,3
384,2
385,5
386,5
387,5
388,11
389,9
390,6
391,19
392,3
393,7
394,14
395,3
397,3
398,4
399,4
400,1
401,2
402,3
403,3
404,7
405,10
406,12
407,10
408,3
409,4
410,4
411,4
412,8
413,6
414,3
415,4
416,5
417,8
418,3
419,8
420,9
421,8
422,3
423,6
424,2
425,6
427,2
428,4
429,7
430,5
431,9
432,7
433,7
434,16
435,9
436,3
437,2
438,2
440,6
442,5
443,4
444,8
445,3
446,2
447,16
448,1
449,5
450,4
451,3
452,8
453,5
454,7
456,16
457,3
458,2
459,10
461,13
462,1
463,3
464,2
465,7
466,9
469,4
470,2
471,6
472,3
473,5
475,3
476,3
477,2
478,9
479,10
480,3
481,3
482,1
483,9
484,5
485,2
486,6
488,1
490,2
491,3
492,3
493,1
494,3
495,18
497,5
498,2
499,10
500,16
501,3
502,3
503,2
504,4
505,6
506,3
507,2
508,11
510,13
512,10
513,5
516,2
517,10
518,5
519,7
520,4
521,1
522,4
523,4
524,5
525,5
526,3
527,4
528,6
529,1
530,9
531,3
532,6
533,2
535,5
536,3
537,4
538,9
539,4
540,2
542,2
543,7
544,4
545,5
546,2
