Region,Store #,First Carrier Assigned,Fulfilment Type,Weeks With Status, Status, Trend,Directional Focus  ,Max WM WK ID,OTD* %,OTP* % ,Dwell Time* ,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,284,,Scheduled Delivery Standard,9,Executive Review,Degrading,Store Focus,202249,78.10%,79.80%,21.7,83.60%,92.40%,64.90%,71.30%
5,1455,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,90.40%,88.90%,16.9,93.90%,94.90%,75.20%,89.00%
5,1801,,Scheduled Delivery Standard,46,Executive Review,Recovering,Store Focus,202249,83.20%,89.60%,15.8,94.00%,90.50%,68.60%,76.10%
5,2978,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202249,86.20%,88.70%,16.3,95.90%,93.80%,70.10%,84.00%
5,3284,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,87.90%,87.00%,10.1,96.30%,94.10%,73.70%,86.80%
5,3285,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202249,82.20%,76.80%,17.1,92.60%,95.70%,60.40%,76.70%
5,4279,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,86.50%,81.60%,13.7,92.60%,93.00%,68.30%,89.60%
5,5147,,Scheduled Delivery Standard,9,Executive Review,Degrading,Store Focus,202249,77.10%,87.80%,14.4,85.00%,79.60%,63.60%,74.90%
5,265,,Scheduled Delivery Standard,18,Executive Review,Degrading,Store Focus,202249,72.70%,63.90%,20.6,84.80%,74.70%,43.50%,82.20%
5,516,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202249,90.60%,83.50%,13.4,95.00%,95.90%,78.60%,90.20%
5,1022,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202249,88.40%,84.20%,11.9,96.40%,95.50%,76.60%,82.00%
5,2688,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,82.40%,74.10%,16.8,94.30%,88.80%,57.80%,82.20%
5,6467,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,81.80%,78.60%,13.8,90.90%,83.30%,54.70%,91.00%
5,345,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202249,87.30%,80.40%,11.8,95.80%,94.80%,63.70%,88.90%
5,398,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202249,86.60%,84.90%,15.8,93.60%,92.50%,63.70%,89.00%
5,918,,Scheduled Delivery Express,10,Executive Review,Degrading,Store Focus,202249,85.60%,74.30%,10.3,80.00%,93.80%,72.70%,91.40%
5,918,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202249,81.20%,81.80%,11.2,86.10%,84.60%,59.50%,88.00%
5,3828,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202249,90.40%,87.30%,11.7,94.60%,92.20%,78.80%,93.50%
5,220,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202249,92.20%,90.90%,11.8,97.00%,97.90%,82.90%,90.00%
5,353,,Scheduled Delivery Express,8,Executive Review,Degrading,Store Focus,202249,41.20%,91.50%,11.6,37.00%,47.10%,46.70%,36.00%
5,371,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202249,88.20%,87.10%,11.2,92.90%,96.40%,74.80%,87.60%
5,590,,Scheduled Delivery Standard,9,Executive Review,Degrading,Store Focus,202249,78.70%,80.20%,26,81.00%,88.10%,61.30%,81.60%
5,804,,Scheduled Delivery Express,5,At Risk,Recovering,Store Focus,202249,88.70%,75.20%,15.2,94.60%,88.80%,81.10%,92.70%
5,471,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202249,87.50%,87.40%,15.2,93.80%,92.40%,73.90%,88.20%
5,896,,Scheduled Delivery Standard,9,Executive Review,Degrading,Store Focus,202249,78.00%,73.20%,18.8,88.00%,70.30%,61.50%,84.40%
5,3014,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,83.90%,77.60%,18,97.10%,96.70%,65.50%,71.20%
5,3432,,Scheduled Delivery Express,4,At Risk,Recovering,Store Focus,202249,87.80%,62.50%,14,98.10%,97.90%,76.30%,81.80%
5,3432,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202249,72.40%,82.80%,19.3,93.10%,86.20%,27.80%,27.00%
5,3433,,Scheduled Delivery Express,9,Executive Review,Recovering,Store Focus,202249,90.30%,67.80%,19,95.10%,92.00%,79.70%,97.00%
5,3433,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,76.60%,77.00%,20.7,91.10%,68.90%,32.00%,82.00%
5,4503,,Scheduled Delivery Standard,32,Executive Review,Degrading,Store Focus,202249,65.70%,80.50%,24.6,84.80%,80.30%,18.50%,58.20%
5,5288,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,83.40%,73.90%,16.2,94.90%,91.80%,76.30%,73.10%
5,5810,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202249,87.00%,99.10%,13.7,96.00%,92.90%,72.60%,86.10%
5,807,,Scheduled Delivery Standard,4,At Risk,Recovering,Store Focus,202249,83.80%,83.00%,15.2,95.10%,87.50%,67.00%,83.50%
5,880,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202249,80.30%,75.00%,17.2,89.60%,85.10%,60.40%,82.80%
5,1178,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202249,57.90%,37.80%,19.5,72.00%,67.60%,35.90%,54.40%
5,2649,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202249,85.60%,83.20%,19.9,90.00%,87.60%,77.20%,85.90%
5,3044,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,89.80%,89.60%,10.3,94.10%,97.00%,91.50%,74.40%
5,3274,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202249,77.40%,58.40%,17.2,89.30%,78.90%,59.90%,80.10%
5,5080,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202249,82.80%,75.80%,14.4,88.60%,90.60%,64.30%,83.60%
5,5416,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,86.20%,83.50%,14.3,95.20%,94.00%,67.90%,84.90%
5,1117,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202249,79.00%,74.10%,12.7,90.50%,89.30%,50.40%,78.30%
5,2918,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202249,81.30%,70.90%,11.4,80.30%,93.00%,70.20%,83.40%
5,3406,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202249,75.10%,74.50%,20.1,73.00%,78.20%,60.50%,84.20%
5,206,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202249,85.20%,82.70%,13.2,94.60%,94.40%,56.70%,90.90%
5,2427,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,86.90%,85.90%,15.8,94.50%,94.10%,70.50%,88.40%
5,6963,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202249,87.30%,86.20%,12.5,92.10%,93.80%,69.60%,88.70%
5,426,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202249,69.50%,58.60%,12.7,72.30%,79.80%,51.10%,70.90%
