Region,Day,Start,End,Session,Room/Level
59,Aug. 20,5:30 PM,7:00 PM,E2E Leadership Reception (Invitation only),Hilton Americas - Lanier Ballroom
59,Aug. 21,7:00 AM,7:30 AM,Market Manager Meeting (Invitation only),Grand Ballroom C - Level 3
59,Aug. 21,8:00 AM,12:00 PM,E2E Leadership Meeting (Market level and above),Grand Ballroom AB - Level 3
59,Aug. 21,4:00 PM,5:30 PM,Opening General Session,Hall B3 - Level 3
59,Aug. 22,6:00 AM,7:45 AM,Merchandise Floor is open.,Exhibit Halls A-C - Level 1
59,Aug. 22,8:00 AM,8:45 AM,E2E Backroom,Exhibit Hall C - Level 1
59,Aug. 22,8:45 AM,9:30 AM,Fresh/Food,Exhibit Hall B - Level 1
59,Aug. 22,9:30 AM,10:15 AM,E2E Frontend,Exhibit Hall A - Level 1
59,Aug. 22,10:15 AM,11:00 AM,Consumables,Exhibit Hall B - Level 1
59,Aug. 22,11:00 AM,11:45 AM,Seasonal,Exhibit Hall B - Level 1
59,Aug. 22,12:00 PM,12:45 PM,Lunch,Exhibit Hall E - Level 1
59,Aug. 22,1:00 PM,2:45 PM,E2E NHM BU Meeting,Grand Ballroom C - Level 3
59,Aug. 22,3:30 PM,4:30 PM,NHM Meetings,Grand Ballroom AB - Level 3
59,Aug. 23,6:00 AM,7:45 AM,Merchandise Floor is open.,Exhibit Hall A-C Level 1
59,Aug. 23,7:30 AM,8:30 AM,Listening Sessions - Neighborhood Market,Room 320 A-C
59,Aug. 23,7:30 AM,8:30 AM,Market/Regional level/DVP meeting,Room 332 C-F
59,Aug. 23,10:00 AM,11:30 AM,Closing General Session,Hall B3 - Level 3
61,Aug. 20,5:30 PM,7:00 PM,E2E Leadership Reception (Invitation only),Hilton Americas - Lanier Ballroom
61,Aug. 21,7:00 AM,7:30 AM,Market Manager Meeting (Invitation only),Grand Ballroom C - Level 3
61,Aug. 21,8:00 AM,12:00 PM,E2E Leadership Meeting (Market level and above),Grand Ballroom AB - Level 3
61,Aug. 21,4:00 PM,5:30 PM,Opening General Session,Hall B3 - Level 3
61,Aug. 22,6:00 AM,7:45 AM,Merchandise Floor is open.,Exhibit Halls A-C - Level 1
