Market,Store,Digital Shelf Labels,DSL link,Automated Pallet Delivery,Auto Pallets link,Consistent Freight Delivery,CFD link,CoSTL,CoSTL link
323,1,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
322,2,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
21,3,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
323,4,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
326,5,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/backroom---claims/receiving/symbotic-sorted-pallet-delivery.html,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
326,7,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/backroom---claims/receiving/symbotic-sorted-pallet-delivery.html,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
326,8,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/backroom---claims/receiving/symbotic-sorted-pallet-delivery.html,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
335,9,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
347,10,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
328,11,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/backroom---claims/receiving/symbotic-sorted-pallet-delivery.html,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
347,12,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
334,13,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
357,14,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
333,15,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
321,16,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
334,17,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
328,18,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/backroom---claims/receiving/symbotic-sorted-pallet-delivery.html,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
335,19,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/backroom---claims/receiving/symbotic-sorted-pallet-delivery.html,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
361,20,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/backroom---claims/receiving/symbotic-sorted-pallet-delivery.html,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
336,21,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
347,22,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
135,23,,,,,YES,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/consistent-freight-delivery.html,,
