Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,
1,5/19/2023,398355650323,2110 W Walnut St,Rogers,AR,72756,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355650323,
2,5/19/2023,398355653035,161 N Walmart Dr,Harrison,AR,72601,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355653035,
3,5/19/2023,398355653470,30983 Highway 441 S,Commerce,GA,30529,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355653470,
4,5/19/2023,398355655060,2901 Highway 412 E,Siloam Springs,AR,72761,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355655060,
5,5/19/2023,398355655439,1155 Hwy 65 North,Conway,AR,72032,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355655439,
7,5/19/2023,398355656090,9053 Highway 107,Sherwood,AR,72120,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355656090,
8,5/19/2023,398355658151,1621 North Business 9,Morrilton,AR,72110,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355658151,
9,5/19/2023,398355658964,1303 S Main St,Sikeston,MO,63801,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355658964,
10,5/19/2023,398355659310,2020 S Muskogee Ave,Tahlequah,OK,74464,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355659310,
11,5/19/2023,398355660060,65 Wal Mart Dr,Mountain Home,AR,72653,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355660060,
12,5/19/2023,398355661695,1500 S Lynn Riggs Blvd,Claremore,OK,74017,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355661695,
13,5/19/2023,398355662100,2705 Grand Ave,Carthage,MO,64836,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355662100,
14,5/19/2023,398355662809,1800 S Jefferson Ave,Lebanon,MO,65536,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355662809,
15,5/19/2023,398355662853,1310 Preacher Roe Blvd,West Plains,MO,65775,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355662853,
16,5/19/2023,398355662978,2214 Fayetteville Rd,Van Buren,AR,72956,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355662978,
17,5/19/2023,398355663183,3200 Lusk Dr,Neosho,MO,64850,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355663183,
18,5/19/2023,398355665955,1211 Highway 367 N,Newport,AR,72112,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355665955,
19,5/19/2023,398355666870,333 S Westwood Blvd,Poplar Bluff,MO,63901,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355666870,
20,5/19/2023,398355667395,1712 E Ohio St,Clinton,MO,64735,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355667395,
21,5/19/2023,398355668130,185 Saint Robert Blvd,Saint Robert,MO,65584,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355668130,
22,5/19/2023,398355669012,4901 S Mill St,Pryor,OK,74361,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355669012,
23,5/19/2023,398355670130,1201 N Service Rd E,Ruston,LA,71270,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355670130,
24,5/19/2023,398355670748,2000 John Harden Dr,Jacksonville,AR,72076,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355670748,
25,5/19/2023,398355670704,4820 S Clark St,Mexico,MO,65265,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355670704,
26,5/19/2023,398355672442,5000 10Th Ave,Leavenworth,KS,66048,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355672442,
27,5/19/2023,398355672512,1101 W Highway 32,Salem,MO,65560,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355672512,
28,5/19/2023,398355673596,2415 N Main St,Miami,OK,74354,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355673596,
29,5/19/2023,398355674386,724 W Stadium Blvd,Jefferson City,MO,65109,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355674386,
30,5/19/2023,398355675783,2025 W Business Us Highway 60,Dexter,MO,63841,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355675783,
31,5/19/2023,398355676128,3108 N Broadway St,Poteau,OK,74953,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355676128,
32,5/19/2023,398355677146,2050 W 76 Country Blvd,Branson,MO,65616,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355677146,
33,5/19/2023,398355677477,1710 S 4Th St,Nashville,AR,71852,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355677477,
34,5/19/2023,398355679311,2250 Lincoln Ave,Nevada,MO,64772,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355679311,
35,5/19/2023,398355680500,101 Bluemont Ave,Manhattan,KS,66502,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355680500,
36,5/19/2023,398355680256,2802 W Kingshighway,Paragould,AR,72450,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355680256,
37,5/19/2023,398355680896,707 Walton Dr,Farmington,MO,63640,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355680896,
38,5/19/2023,398355677547,1907 Se Washington St,Idabel,OK,74745,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355677547,
39,5/19/2023,398355683726,2500 S Main St,Fort Scott,KS,66701,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355683726,
40,5/19/2023,398355684961,1301 E Highway 24,Moberly,MO,65270,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355684961,
41,5/19/2023,398355685258,4000 Se Green Country Rd,Bartlesville,OK,74006,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355685258,
42,5/19/2023,398355685935,1863 Cr 5300,Coffeyville,KS,67337,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355685935,
43,5/19/2023,398355684891,521 E Chestnut St,Junction City,KS,66441,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355684891,
44,5/19/2023,398355687560,1802 S Business 54,Eldon,MO,65026-1786,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355687560,
45,5/19/2023,398355688691,1815 E Highland Dr,Jonesboro,AR,72401,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355688691,
46,5/19/2023,398355689058,2451 S Springfield Ave,Bolivar,MO,65613,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355689058,
47,5/19/2023,398355683417,1101 W Ruth Ave,Sallisaw,OK,74955,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355683417,
48,5/19/2023,398355684939,885 E Us Highway 60,Monett,MO,65708,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355684939,
49,5/19/2023,398355692606,1911 E Jackson St,Hugo,OK,74743,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355692606,
50,5/19/2023,398355692856,268 S 7Th St,Vinita,OK,74301,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355692856,
51,5/19/2023,398355693933,1701 N Bluff St.,Fulton,MO,65251-0248,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355693933,
52,5/19/2023,398355694517,1601 Albert Pike Rd,Hot Springs,AR,71913,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355694517,
54,5/19/2023,398355695855,2004 S Pleasant St,Springdale,AR,72764,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355695855,
55,5/19/2023,398355692271,1400 East Main St,Booneville,AR,72927,https://www.fedex.com/apps/fedextrack/?tracknumbers=398355692271,
