Store Number,Tracking Number,Serial # NEW,Serial # OLD,
3,740757730437,24085524700412,K590804448,
3,740757730448,24085524700506,K590805137,
15,740757738791,24085524700582,K591500587,
15,740757738806,24085524700548,K591500471,
20,1Z38R88A0312555790,24085524700484,K591205980,
20,1Z38R88A0312555807,24085524700433,K591500999,
22,727583454110,24085524700431,K590804323,
36,1Z38R88A0312555585,24085524700445,K590301429,
39,727583454419,24085524700478,K584902908,
62,740757743470,24085524700336,K590301077,
101,727583453397,24085524700590,K584903586,
107,740757737659,24083524701966,K584902997,
107,740757737660,24083524702257,K584902643,
119,740757729889,24085524700393,K591206509,
124,1Z38R88A0312555745,24085524700574,K591205972,
124,1Z38R88A0312555754,24085524700386,K591500044,
148,740757736446,24083524702251,K590804124,
188,740757729948,24085524700673,K591502303,
188,740757729959,24085524700003,K590302131,
189,1Z38R88A0312555138,24083524702340,K590804826,
189,1Z38R88A0312555147,24083524701368,K585203202,
192,740757730161,24085524700229,K591206451,
192,740757730172,24083524702327,K590301818,
197,1Z38R88A0312555209,24085524700843,K584903852,
197,1Z38R88A0312555218,24085524700815,K584903955,
213,740757742901,24083524701711,K590302176,
256,740757738655,24085524700063,K591500029,
309,727583454441,24085524700605,K590804726,
318,740757736490,24085524700687,K584902509,
319,727583453022,24085524700515,K590804567,
335,740757742875,24085524700771,K584904161,
347,1Z38R88A0312555923,24083524702261,K585203058,
350,740757738585,24083524701493,K585203393,
350,740757738596,24083524701106,K584902302,
353,740757736582,24083524702238,K584903332,
355,1Z38R88A0312555343,24085524700222,K591502395,
383,740757739618,24085524700632,K584903396,
507,740757739310,24085524700184,K584902895,
519,740757742810,24083524701256,K584904092,
531,740757744076,24083524702173,K590302019,
531,740757744087,24083524702353,K590301057,
541,740757739044,24085524700449,K584904050,
559,740757739180,24085524700283,K591500818,
559,740757739191,24085524700150,K591501751,
593,740757740438,24083524701580,K591500357,
595,727583454350,24085524700040,K591500719,
600,727583453445,24085524700604,K591501919,
600,727583453456,24085524700679,K591500117,
605,740757746366,24085524700348,K591501764,
651,740757739559,24083524702354,K591500360, 
705,740757738195,24083524702352,K590301465,
705,740757738200,24083524702299,K584904219,
719,740757744948,24083524701205,KQ83101289,
719,740757744959,24083524701302,K584902858,
738,740757728952,24083524701807,K591500087,
827,727583455058,24085524700512,K585202947,
874,740757739581,24085524700199,K584902799,
879,740757736413,24085524700483,K590302223,
891,1Z38R88A0312555496,24085524700026,K591500114,
904,740757740037,24083524701702,K591500266,
904,740757740048,24083524702258,K591500986,
906,1Z38R88A0312555290,24085524700557,K591500562,
924,740757729113,24083524702321,K591501262,
924,740757729124,24083524702344,K591206189,
939,740757737590,24085524700369,K584903532,
939,740757737604,24085524700532,K584902461,
963,1Z38R88A0312555905,24085524700522,K591206289,
963,1Z38R88A0312555914,24085524700082,K591206172,
978,740757727566,24085524700167,K584904271,
993,740757739695,24085524700355,K590804315,
993,740757739700,24085524700224,K590300913,
