Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max WM WK ID,OTD*,OTP*,Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
146,41,104,POINTPICKUP,Scheduled Express Delivery ,8,Executive Review,Recovering,Driver Supply Focus,,81.60%,96%,7.2,100.00%,80.00%,50.00%,81.80%
146,41,106,POINTPICKUP,Scheduled Express Delivery ,2,Active Monitoring,Degrading,Store Focus,,42.90%,86%,7.4,40.00%,50.00%,0.00%,50.00%
146,41,335,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,,89.40%,88%,10.3,100.00%,88.90%,85.00%,82.80%
146,41,335,POINTPICKUP,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,,81.80%,83%,8.1,84.00%,87.30%,72.00%,85.60%
146,41,335,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,,76.80%,79%,8.8,75.90%,75.60%,73.40%,85.60%
152,41,587,POINTPICKUP,Scheduled Express Delivery ,9,Executive Review,Degrading,Driver Supply Focus,,82.30%,95%,8.6,66.70%,71.40%,87.50%,100.00%
152,41,671,UBER,Scheduled Standard Delivery,3,Active Monitoring,-,Driver Supply Focus,,78.40%,92%,7.9,,66.70%,94.10%,72.70%
152,41,674,UBER,Scheduled Standard Delivery,2,Active Monitoring,-,Store Focus,,80.50%,80%,9.7,,82.10%,80.00%,79.20%
152,41,1376,UBER,Scheduled Standard Delivery,5,At Risk,-,Store Focus,,75.00%,81%,9.7,,90.90%,58.30%,84.00%
242,41,497,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,,94.40%,94%,15.4,95.20%,86.70%,95.70%,100.00%
242,41,3610,UBER,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,,86.30%,95%,9.1,82.00%,85.00%,86.60%,89.40%
242,41,4450,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,,81.40%,77%,8.6,91.90%,84.00%,66.70%,80.20%
242,41,5418,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,,84.50%,78%,10,90.50%,82.50%,70.70%,91.70%
242,41,7290,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,,81.60%,92%,9.7,89.60%,81.30%,80.90%,73.50%
253,41,143,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Driver Supply Focus,,78.60%,100%,6.3,90.00%,76.90%,66.70%,75.00%
253,41,431,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Recovering,Driver Supply Focus,,94.80%,94%,5.7,99.40%,97.30%,88.80%,93.50%
253,41,491,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Recovering,Store Focus,,90.10%,86%,7.7,93.30%,88.80%,91.70%,87.10%
254,41,299,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,,91.40%,86%,5.7,95.80%,88.50%,87.20%,93.30%
254,41,299,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,,91.40%,85%,6.3,95.90%,91.80%,83.90%,93.70%
256,41,4118,POINTPICKUP,Scheduled Express Delivery ,8,Executive Review,Degrading,Driver Supply Focus,,91.20%,96%,8.8,81.30%,100.00%,100.00%,83.30%
256,41,6931,DOORDASH,Scheduled Standard Delivery,11,Executive Review,Recovering,Store Focus,,90.20%,85%,7.4,96.60%,96.50%,82.00%,84.80%
258,41,1113,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,,91.30%,92%,7.4,93.80%,93.20%,90.10%,87.90%
260,41,1210,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,,86.50%,77%,9.4,89.70%,85.50%,88.10%,82.90%
260,41,2783,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Recovering,Store Focus,,88.70%,83%,5.4,94.00%,87.00%,84.10%,89.70%
1,14,866,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,,75.60%,67%,12.1,85.70%,64.70%,78.90%,66.70%
1,14,866,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,,84.80%,70%,10.7,91.30%,85.10%,79.70%,82.40%
1,14,991,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,,80.50%,79%,10.1,87.60%,82.00%,81.10%,76.80%
1,14,2748,DOORDASH,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,,83.00%,83%,8,91.30%,82.60%,82.10%,76.90%
1,14,2748,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,,73.10%,63%,15.2,75.00%,69.60%,67.40%,78.00%
1,14,2748,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,,79.80%,70%,11.8,78.00%,69.30%,77.10%,90.30%
2,14,1711,DOORDASH,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,,90.50%,85%,8.5,86.10%,93.10%,91.30%,90.90%
3,14,691,POINTPICKUP,Scheduled Express Delivery ,2,Active Monitoring,Degrading,Driver Supply Focus,,77.00%,95%,6.7,89.50%,75.00%,86.70%,60.00%
3,14,2713,POINTPICKUP,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,,85.70%,95%,7.7,87.80%,78.10%,88.90%,86.80%
3,14,2713,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,,84.30%,97%,6.7,91.40%,82.90%,73.50%,85.00%
10,14,355,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,,88.40%,90%,6.3,89.30%,88.20%,80.20%,96.50%
11,14,715,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,,84.70%,79%,6.3,87.50%,84.10%,77.90%,93.50%
11,14,2306,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,,88.00%,96%,5.8,85.00%,90.20%,88.90%,88.70%
13,14,1481,UBER,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,,76.80%,87%,12,84.80%,85.20%,69.30%,79.30%
13,14,4497,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Degrading,Driver Supply Focus,,88.90%,95%,6.1,87.90%,90.60%,83.30%,90.00%
14,14,2739,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,,85.40%,85%,10.2,92.00%,89.50%,86.70%,73.90%
14,14,2739,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,,86.60%,88%,8.5,88.20%,92.10%,79.60%,85.00%
544,72,3990,SPARK,Scheduled Standard Delivery,7,Executive Review,Recovering,Driver Supply Focus,,89.40%,90%,6,99.50%,92.40%,71.70%,95.30%
544,72,4504,POINTPICKUP,Scheduled Standard Delivery,48,Executive Review,Degrading,Store Focus,,85.10%,81%,8.8,81.60%,89.30%,84.60%,83.70%
544,72,4504,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,,79.80%,82%,7.5,72.60%,92.70%,71.50%,83.80%
544,72,4673,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,,91.30%,88%,6.3,94.00%,97.60%,80.60%,98.20%
544,72,5100,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,,87.90%,78%,10.2,88.20%,91.00%,81.20%,90.90%
544,72,5248,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,,91.00%,97%,4.7,92.40%,90.70%,92.00%,88.80%
544,72,5256,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,,87.30%,97%,6.9,92.20%,90.90%,87.90%,77.60%
545,72,5623,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,,85.20%,93%,4.7,87.30%,89.60%,76.20%,88.10%
545,72,5653,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,,79.50%,99%,5,74.20%,72.00%,90.20%,84.20%
545,72,5740,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,,79.20%,71%,9,88.00%,67.20%,80.10%,81.80%
545,72,5744,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,,84.70%,78%,8.1,89.50%,81.00%,79.00%,88.80%
44,5,1801,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,,88.80%,77%,8.5,89.10%,87.30%,90.30%,88.60%
44,5,3285,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,,86.10%,90%,5.3,92.10%,89.20%,81.10%,82.30%
44,5,5147,SPARK,Scheduled Standard Delivery,41,Executive Review,Degrading,Store Focus,,78.70%,85%,6.2,87.40%,82.40%,69.60%,74.40%
45,5,827,POINTPICKUP,Scheduled Express Delivery ,8,Executive Review,Recovering,Driver Supply Focus,,86.20%,88%,8.6,90.90%,84.20%,100.00%,69.20%
46,5,523,POINTPICKUP,Scheduled Express Delivery ,3,Active Monitoring,Degrading,Driver Supply Focus,,75.60%,100%,4.5,83.30%,57.10%,79.20%,84.20%
48,5,353,POINTPICKUP,Scheduled Express Delivery ,7,Executive Review,Recovering,Driver Supply Focus,,80.40%,97%,8.3,96.30%,75.00%,83.30%,63.60%
49,5,471,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,,80.30%,96%,6.7,92.20%,81.60%,75.80%,76.70%
49,5,3014,SPARK,Scheduled Standard Delivery,35,Executive Review,Degrading,Driver Supply Focus,,77.30%,97%,7.3,83.40%,74.70%,76.50%,73.90%
49,5,3432,SPARK,Scheduled Standard Delivery,33,Executive Review,Degrading,Store Focus,,90.60%,88%,6.3,87.40%,94.80%,89.10%,90.90%
49,5,5810,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,,73.40%,91%,7.2,83.50%,71.80%,68.80%,70.60%
50,5,2649,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,,91.10%,89%,7.1,92.90%,87.90%,87.80%,94.80%
52,5,2427,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,,82.30%,82%,7.7,90.60%,85.30%,69.70%,84.70%
52,5,3286,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,,95.20%,81%,7.2,98.60%,88.90%,95.10%,97.90%
74,5,535,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,,90.30%,77%,9,93.90%,82.90%,91.80%,92.70%
82,5,1129,DOORDASH,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,,87.10%,83%,8.7,83.60%,84.40%,87.80%,92.20%
82,5,1253,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,,87.60%,86%,5.8,90.50%,86.20%,84.50%,88.60%
82,5,1253,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,,76.30%,90%,5.2,76.60%,64.70%,79.50%,78.60%
82,5,2133,DOORDASH,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,,82.00%,90%,9.4,90.50%,80.70%,78.70%,78.50%
82,5,2133,SPARK,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,,89.20%,91%,5.7,90.80%,80.20%,91.90%,92.30%
82,5,4163,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,,93.50%,90%,6.4,89.90%,88.90%,96.30%,94.60%
82,5,4219,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,,86.80%,88%,6.7,78.20%,87.80%,92.80%,89.50%
82,5,4554,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,,86.40%,92%,4.3,86.40%,84.60%,84.70%,89.80%
83,5,475,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,,74.20%,67%,14,57.20%,80.50%,71.40%,83.00%
83,5,1185,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,,83.70%,90%,10.6,84.60%,86.30%,85.00%,79.30%
83,5,1185,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,,82.30%,91%,6.2,80.40%,81.10%,83.20%,84.40%
83,5,3169,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,,85.60%,91%,6.2,84.50%,80.30%,81.20%,95.80%
83,5,3569,DOORDASH,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,,78.30%,84%,11.6,76.20%,79.50%,75.80%,81.10%
83,5,5480,DOORDASH,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,,81.70%,67%,17.6,76.30%,84.00%,80.30%,86.10%
479,5,940,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,,87.00%,78%,8.1,84.90%,89.30%,85.20%,88.10%
479,5,5247,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,,85.70%,89%,8.8,89.00%,81.50%,93.70%,79.90%
561,64,3015,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,,90.20%,82%,9.2,96.30%,93.90%,80.90%,89.00%
561,64,3204,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,,84.40%,79%,7.5,89.30%,95.50%,77.30%,76.30%
561,64,3341,SPARK,Scheduled Standard Delivery,44,Executive Review,Degrading,Store Focus,,70.60%,86%,5.8,70.70%,77.10%,70.00%,64.30%
154,16,5278,DOORDASH,Scheduled Standard Delivery,11,Executive Review,Recovering,Store Focus,,90.80%,87%,6.1,93.50%,93.40%,90.10%,87.10%
156,16,2012,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,,90.00%,88%,6.6,90.50%,88.50%,92.10%,88.80%
156,16,2158,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,,79.20%,75%,11.2,81.70%,84.70%,63.80%,88.00%
156,16,2629,POINTPICKUP,Scheduled Express Delivery ,24,Executive Review,Degrading,Store Focus,,92.60%,90%,10.4,85.00%,95.70%,95.70%,92.90%
156,16,3409,ASSOCIATE DELIVERY BY WALMART,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,,91.80%,78%,0.7,98.50%,95.50%,86.20%,86.50%
156,16,4387,DOORDASH,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,,89.20%,83%,6.2,89.50%,87.00%,89.10%,91.20%
157,16,1762,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,,90.60%,88%,6.8,100.00%,85.70%,88.90%,87.50%
157,16,1762,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,,83.90%,82%,5.9,87.50%,80.30%,88.90%,80.00%
157,16,2222,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,,83.50%,87%,9.7,74.30%,87.90%,83.90%,89.20%
