Category,Item Desc,Prime Item,WAS Base Retail,Rollback Retail,Rollback Discount (%)
WATER TOYS,BS CMFRT CHAIR BLUE,662927559,$7.97,$5.97,-25%
WATER SPORTS,FLUID ADULT TYPE II,671554497,$7.96,$6.97,-12%
WATER TOYS,BS CMFRT CHAIR TEAL,662927612,$7.97,$5.97,-25%
POOLS,BS 10FT FAMILY POOL,671109684,$29.96,$26.96,-10%
WATER SPORTS,YTH MASK & SNRKL SET,671387928,$10.96,$8.96,-18%
WATER TOYS,BS CMFRT CHAIR PINK,662927555,$7.97,$5.97,-25%
WATER TOYS,INFLATABLE CRESCENT,673727940,$10.96,$8.96,-18%
WATER TOYS,UNICORN BLASTER,652772338,$9.97,$8.97,-10%
WATER TOYS,PD MAX LIQUID SHARK,585107763,$9.97,$8.97,-10%
WATER SPORTS,CHLD MASK &SNRKL SET,663070103,$6.97,$5.86,-16%
WATER SPORTS,OT WATERPRF POUCH 1P,671247740,$6.97,$4.98,-29%
SWIM,YOUTH GOGGLE 3PK,671554530,$10.96,$8.96,-18%
WATER SPORTS,OT JR. DOM. COMBO,653331140,$14.97,$11.97,-20%
WATER TOYS,BATMAN RING FLOAT,671811317,$12.96,$9.96,-23%
WATER SPORTS,OT EASY FLT LNGE GN,671253415,$8.97,$7.97,-11%
WATER SPORTS,OT RAPID RIDER I,663035424,$14.97,$12.97,-13%
POOLS,WIGGLIN` WATERPILLAR,662633073,$11.96,$9.96,-17%
SWIM,ADULT GOGGLE 3PK,671425953,$12.96,$11.46,-12%
WATER TOYS,SWW STITCH TEEN RNG,671683467,$12.96,$9.96,-23%
SWIM,CHLD GOGL 3N1 UNICRN,671554531,$9.96,$8.96,-10%
SWIM,2-4YRS SWIMVEST BOY,671296167,$15.96,$13.96,-13%
SWIM,CHLD GOGL 3N1 SHARK,671554533,$9.96,$8.96,-10%
SWIM,4-6YRS SWIMVEST BOY,671387258,$15.96,$13.96,-13%
WATER SPORTS,OT SG WP PHONECASE,671554454,$4.97,$3.97,-20%
SWIM,ADLT GOGGLE TINTED,671425951,$9.96,$8.96,-10%
SWIM,CHILD GGL 3PK,671445241,$6.87,$5.86,-15%
SWIM,ADULT GOGGLE 3PK,671554532,$12.96,$11.46,-12%
SWIM,2-4YRS SWIMVEST GIRL,671296166,$15.96,$13.96,-13%
WATER SPORTS,AH 4 RDR TUBE ROPE,597377727,$19.48,$16.97,-13%
WATER TOYS,COOL FANS GREEN,596502799,$11.97,$9.97,-17%
SWIM,BABY BOAT BLUE,671387364,$19.96,$14.96,-25%
SWIM,YTH GOGGLE CHALLENGR,671445243,$10.96,$8.96,-18%
WATER SPORTS,USD SPLSH JR 3PK UNI,673363847,$18.97,$14.86,-22%
WATER SPORTS,USD TCAN JR MASK BLU,674870388,$11.98,$9.96,-17%
SWIM,BABY BOAT PINK,671387363,$19.96,$14.96,-25%
WATER TOYS,AU GL BEACH BALL,664368409,$2.96,$0.97,-67%
WATER SPORTS,PJ LIFE VEST-TURTLE,665895800,$15.96,$12.97,-19%
WATER TOYS,BS LED POOL TUBE,671722249,$13.97,$9.96,-29%
SWIM,SWW MINNIE SWIMIES,671826958,$4.74,$3.74,-21%
WATER SPORTS,USD TRIL 3PK GGL UNI,673364856,$18.97,$14.86,-22%
WATER SPORTS,PJ LIFE VEST-SHARK,665895798,$15.96,$12.97,-19%
SWIM,SWW BARBIE GOGGLES,671826897,$5.86,$4.86,-17%
WATER SPORTS,ADT MASK & SNRKL SET,671387931,$12.96,$11.46,-12%
SWIM,SWW BARBIE SWIMIES,671826826,$4.74,$3.74,-21%
SWIM,ADLT GOGGLE TIDAL,671425947,$12.96,$11.46,-12%
SWIM,SWW SPIDEY SWIMIES,671827004,$4.74,$3.74,-21%
WATER SPORTS,OZARK TRAIL RIDER II,671253425,$34.97,$27.97,-20%
SWIM,SWW BLUEY SWIMIES,671826962,$4.74,$3.74,-21%
WATER SPORTS,OT COOLER FLOAT,671253421,$12.97,$9.97,-23%
WATER TOYS,PD WATER SPORTS SET,596532782,$8.47,$6.97,-18%
WATER TOYS,BS DLX LOUNGE SILVER,662927557,$9.97,$7.97,-20%
WATER SPORTS,USD TCAN JR CMBO BLU,673364506,$18.97,$15.97,-16%
WATER SPORTS,OT RIDER I PINK,671253424,$14.97,$12.97,-13%
WATER TOYS,CIPTON CORNHOLE,663206034,$19.96,$14.96,-25%
SWIM,SWW MINNIE GOGGLES,671826764,$5.86,$4.86,-17%
WATER TOYS,FLOATING SLAM BOUNCE,671883029,$19.96,$14.96,-25%
POOLS,CANOPY POOL,671724777,$18.96,$14.96,-21%
SWIM,YTH GOGGLE MERMAID,671554529,$9.96,$8.96,-10%
WATER SPORTS,OT MESH LNGE FLT BLE,671253423,$19.97,$14.97,-25%
SWIM,SWW ARIEL SWIMIES,671827139,$4.74,$3.74,-21%
WATER TOYS,AU RING FLT DIVINE,664190239,$4.96,$0.97,-80%
POOLS,22FT COLEMAN POOL,570921838,$598.00,$498.00,-29%
POOLS,BS 10FT FASTSET PL,662948237,$88.00,$68.00,-23%
WATER SPORTS,PJ LIFE VEST-CAT,665895799,$15.96,$12.97,-19%
WATER TOYS,LUXURY NOODLE CHAIR,671412093,$12.96,$9.96,-23%
WATER SPORTS,OT EASY FLT LNGE PK,671253414,$8.97,$7.97,-11%
POOLS,COLEMAN 18FT POOL,585374699,$498.00,$448.00,-10%
SWIM,SWW BLUEY GOGGLES,671826798,$5.86,$4.86,-17%
POOLS,SNS MERMAID POOL PK,664073910,$18.96,$15.96,-16%
POOLS,SNS MERMAID POOL BLU,664073911,$18.96,$15.96,-16%
WATER SPORTS,OT MESH LNGE FLT PNK,671253422,$19.97,$14.97,-25%
SWIM,4-6YRS SWIMVEST GIRL,671296168,$15.96,$13.96,-13%
SWIM,FABRICARM FLOATS,671685567,$9.96,$8.96,-10%
WATER SPORTS,SWW BARBIE ST,671525916,$24.96,$19.96,-20%
WATER TOYS,GOLF AND DART POOL,671591185,$19.96,$17.96,-10%
WATER TOYS,STRIPE LOUNGER,663043571,$19.96,$17.96,-10%
POOLS,"HGLO 50"" RGB LIGHT",671929840,$20.96,$17.96,-14%
WATER TOYS,FLOATING POOL GAME,671586306,$23.96,$18.96,-21%
WATER TOYS,BS LED TWIN TUBE,671722248,$22.97,$18.97,-17%
WATER TOYS,BS LED POOL RAFT,671722247,$22.97,$18.97,-17%
WATER TOYS,BS LED POOL LOUNGE,671722250,$22.97,$18.97,-17%
POOLS,PALM LEAF POOL,670983574,$21.96,$19.48,-11%
WATER TOYS,FB BARBIE SPLASHPAD,672530917,$21.97,$19.48,-11%
WATER TOYS,SHARK POOL FLOAT,662948265,$21.96,$19.76,-10%
POOLS,CM 12FT ROUND POOL,653071046,$198.00,$178.00,-10%
POOLS,BBY SHRK SPLASH PAD,663337645,$19.96,$14.96,-25%
SWIM,PREMIUM TOT BOY,671387280,$18.96,$16.96,-11%
WATER TOYS,BS HYDRO COOL LOUNG,652760768,$13.97,$11.97,-14%
WATER SPORTS,4PK ADULT TYPE II,671554496,$29.97,$26.97,-10%
POOLS,SPONGEBB 3 RING POOL,671727148,$24.96,$19.96,-20%
POOLS,HOTWHEELS 2RING POOL,672317187,$24.96,$19.96,-20%
WATER SPORTS,OT RAPID RIDER ULTRA,664550751,$29.97,$24.94,-17%
WATER TOYS,DISNEY MICKEY TUBE,671448254,$24.96,$19.96,-20%
POOLS,BASEBALL SLIDE,662569961,$29.96,$24.96,-17%
SWIM,SWW SPIDEY GOGGLES,671826801,$5.86,$4.86,-17%
WATER TOYS,SPONGEBOB BOOMBOT,672323895,$24.96,$19.96,-20%
POOLS,HGLO 56' RGB LIGHT,671940106,$24.96,$19.96,-20%
WATER TOYS,SWW STITCH TANNER,671618992,$24.96,$19.96,-20%
WATER TOYS,HOBIE INFL LNGE GRN,673599832,$24.96,$19.96,-20%
SWIM,2N1 TOT SWIMMER GIRL,671416399,$15.96,$13.96,-13%
WATER TOYS,DISNEY MINNIE TUBE,671448256,$24.96,$19.96,-20%
POOLS,BABY CRAB TENT,671036845,$24.96,$19.96,-20%
WATER SPORTS,SWW BARBIE LJ,671525903,$29.96,$22.96,-23%
WATER SPORTS,SWW MINNIE LJ,671338699,$29.96,$22.96,-23%
SWIM,SWW ARIEL GOGGLES,671826797,$5.86,$4.86,-17%
WATER SPORTS,ADULT DELUXE FISHING,671479912,$44.97,$39.97,-11%
WATER TOYS,BS FLOATING SPKR,671711576,$24.96,$20.96,-16%
POOLS,SPIDERMAN PLAY POOL,663043427,$21.96,$17.88,-19%
POOLS,CM SPA VACUUM,670983714,$24.96,$14.96,-40%
POOLS,3-IN-1 SPLASH PARK,556324340,$39.96,$29.96,-25%
WATER SPORTS,SWW MINNIE ST,671338676,$24.96,$19.96,-20%
WATER SPORTS,SWW SPIDEY LJ,671338698,$29.96,$22.96,-23%
POOLS,BARBIE 2RING POOL,672328071,$24.96,$21.96,-12%
WATER TOYS,PP LOUNGER,663043568,$24.96,$21.96,-12%
WATER SPORTS,OT WATERPRF POUCH-2P,671247742,$9.97,$7.97,-20%
POOLS,"FL 2 RING POOL, ORAN",672328328,$24.96,$21.96,-12%
POOLS,"FL 2 RING POOL, HAWA",672317189,$24.96,$21.96,-12%
WATER TOYS,HOBIE DAYBED FLOAT,674225417,$25.96,$19.96,-23%
WATER TOYS,SPONGEBB RING FLOAT,671744538,$12.96,$9.96,-23%
POOLS,CB SPRINKLER SLIDE,671940449,$29.96,$19.96,-33%
POOLS,CB POOL,671940467,$21.96,$17.88,-19%
WATER SPORTS,SWW BLUEY LJ,671338696,$29.96,$22.96,-23%
SWIM,GROWW/ ME SWIMVEST B,671387274,$22.88,$19.96,-13%
POOLS,H2OGO L CHMP PLYCNTR,596502781,$59.00,$49.00,-17%
SWIM,PREMIUM TOT GIRL,671387278,$18.96,$16.96,-11%
WATER TOYS,AQUA PALS SPIDERMAN,662553674,$24.96,$19.96,-20%
WATER TOYS,BS/PD KITTIE POOL,671724665,$19.96,$17.96,-10%
WATER TOYS,3N1 LOUNGE CHAIR,671365309,$16.96,$14.96,-12%
WATER TOYS,POOL VOLLEYBALL SET,671593698,$26.96,$22.96,-15%
WATER SPORTS,BLUEY SWM TRNR,664714733,$24.96,$19.96,-20%
POOLS,SPLASH WATER PARK,662603625,$29.96,$24.96,-17%
WATER TOYS,BS 60`` TOWEL FLOAT,671722253,$39.96,$29.96,-25%
POOLS,17` X 48`` PRISM POO,662553551,$598.00,$398.00,-33%
POOLS,SUPERMAN TRPL SLIDE,671711569,$49.96,$39.96,-20%
POOLS,HGLO 69' RGB LIGHT,671940103,$28.96,$22.96,-21%
POOLS,HK XL SPRINKLER,671672008,$34.96,$27.96,-20%
WATER TOYS,AQUA PALS ARIEL,662553673,$24.96,$19.96,-20%
POOLS,MERMAID PLAY POOL,663043428,$21.96,$17.88,-19%
POOLS,SPONGEBOB SPLASHPAD,671800556,$19.96,$14.96,-25%
WATER TOYS,FB BRB TUBE LFEGLTTR,671448236,$17.96,$14.96,-17%
WATER TOYS,FB HW TUBE RACECAR,671448047,$17.96,$14.96,-17%
WATER TOYS,FL LOUNGER BLUE TWIS,663773307,$34.96,$29.96,-14%
WATER TOYS,BM ROCKET POOL FLOAT,671448257,$27.96,$23.96,-14%
WATER TOYS,BM GATOR POOL FLOAT,671448258,$27.96,$23.96,-14%
SWIM,2N1 TOT SWIMMER BOY,671416397,$15.96,$13.96,-13%
SWIM,GROWW/ ME SWIMVEST G,671387273,$22.88,$19.96,-13%
WATER SPORTS,SWW ARIEL ST,671338682,$24.96,$19.96,-20%
WATER TOYS,SWW STITCH OS FLOAT,671667073,$29.96,$24.96,-17%
