Store,XS Men ,S Men ,M Men ,L Men ,XL Men ,2X Men ,3X Men ,4X Men ,5X Men ,6X Men ,7X Men ,8X Men ,XS Women ,S Women ,M Women ,L Women ,XL Women ,2X Women ,3X Women ,4X Women ,5X Women ,6X Women ,7X Women ,8X Women 
8,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
18,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
27,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
32,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
33,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
38,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
39,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
42,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
49,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
50,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
51,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
55,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
56,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
57,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
63,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
64,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
68,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
74,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
77,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
81,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
82,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
88,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
97,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
102,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
106,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
111,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
115,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
117,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
122,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
123,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
132,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
133,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
145,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
146,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
149,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
158,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
160,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
162,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
166,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
167,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
169,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
173,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
176,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
178,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
181,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
186,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
203,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
218,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
222,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
225,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
