Store,USER ID,Store Rank 
2308,CKCARDE,2
3290,s0m0s0z,2
2473,k0p093z,2
2346,JLCRUZR,2
2085,alm00zm,2
5803,C0R09FP,2
2240,CJR00HP,2
2423,A0O01C1,2
1854,EAO002Q,2
1822,e0b013x,2
5802,jec007q,2
2067,o0r00yb,2
2449,M0C0F1S,2
5274,DAGAGNE,2
3478,r0m0f1n,2
2721,R0R075R,2
3693,wfelici,2
1567,e0s0fi2,2
2314,ANAUREL,2
1256,r0r03wj,2
501,lmg0072,2
2072,CEG008O,2
2549,jalwine,2
2026,N0B04QZ,2
1411,mam010p,2
2302,FLROSAD,2
3716,geb002a,2
5867,TASTARK,2
5419,d0b04u8,2
1935,j0h04uu,2
105,b0c0ak5,2
1597,srstock,2
3648,A0M0226,2
3469,isa000u,2
461,J0P030J,2
5115,k0j07po,2
2051,r0k038e,2
3473,w0j00oe,2
3351,jtw000w,2
2708,emg0051,2
2245,L0M01G5,2
1645,djg00bj,2
3212,r0b0app,2
1772,WHA0007,2
1440,mdk002p,2
1405,rad009x,2
715,saguy,2
1604,WRB0023,2
2071,bss001o,2
3833,j0c0byw,2
5101,k0s0m32,2
2237,s0a077m,2
2951,asw005g,2
3529,b0c046k,2
5858,LDG000G,2
1885,akthree,2
2371,jfa001c,2
4359,DMDADAT,2
1979,b0m0c0h,2
2946,SRH00A4,2
1859,OOIBARR,2
2501,A0M0LJ0,2
207,r0m0fmf,2
1371,JAJOY,2
5154,SAGANUZ,2
1593,JMS012C,2
3778,JPQ000B,2
1543,w0k00mw,2
2615,CNS0059,2
3495,FKWALLA,2
1853,dmrazo,2
2492,DASPRAG,2
3884,j0c1q8n,2
5124,e0e02b4,2
824,j0c1aw1,2
2206,lah0092,2
5368,jas00i1,2
1538,g0t02ll,2
4553,KMR00EH,2
5299,gymende,2
2050,m0f01uk,2
1922,m0m19oq,2
1299,PLHARBE,2
1783,J0P0BKF,2
2812,a0r080b,2
1068,a0w01k0,2
3570,jwa001v,2
6587,R0G01BI,2
3590,JCROYMA,2
695,kmt006k,2
551,tlbond,2
3474,d0b0mw3,2
1361,b0p078n,2
2126,DKSHIMA,2
2321,dbough,2
5070,j0h0j09,2
5330,o0d01fu,2
1685,TJR001Y,2
275,KAM00MV,2
2016,SCP002Y,2
3428,G0J01AR,2
2811,e0s0590,2
512,maf004v,2
2479,ils0019,2
5142,N/A,2
637,K0C01Q4,2
2494,V0L007U,2
794,DRCOFER,2
711,b0p07zw,2
2403,MWJ000Y,2
2074,c0t0d12,2
999,a0h0b5e,2
2616,k0p0dvs,2
2512,DSHADE,2
1915,ajg006o,2
690,AKSTREE,2
