Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
2909,Same Day Delivery,18:00:00-07:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3253,Same Day Delivery,18:00:00-07:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
5027,Same Day Delivery,16:00:00-21:00:00,Next Day Delivery,16:00:00-21:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3429,Same Day Delivery,14:00:00-04:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2164,Same Day Delivery,14:00:00-04:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
4597,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1973,Same Day Delivery,14:00:00-04:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1909,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3281,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
5445,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2278,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2586,Same Day Delivery,16:00:00-22:00:00,Next Day Delivery,16:00:00-22:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1949,Same Day Delivery,14:00:00-04:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2561,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
