Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,,Base URL
1610,5/23/2025,289067360942,100 Elmridge Center Dr,Greece,NY,14626,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067360942,,https://www.fedex.com/apps/fedextrack/?tracknumbers=
1619,5/23/2025,289067365820,1200 Marketplace Dr,Rochester,NY,14623,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067365820,,
1673,5/24/2025,289067358909,4238 Recreation Dr,Canandaigua,NY,14424,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067358909,,
1677,5/25/2025,289067364889,4765 Commercial Dr,New Hartford,NY,13413,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067364889,,
1705,5/26/2025,289067364168,1860 N Road,Waterloo,NY,13165,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067364168,,
1731,5/27/2025,289067371181,990 State Route 5 And 20,Geneva,NY,14456,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067371181,,
1744,5/28/2025,289067361960,1990 Brandt Point Drive,Webster,NY,14580,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067361960,,
1781,5/29/2025,289067369814,819 Bennie Rd,Cortland,NY,13045,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067369814,,
1806,5/30/2025,289067359700,329 S Kingsboro Ave Ext,Gloversville,NY,12078,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067359700,,
1810,5/31/2025,289067362923,26 W Merritt Blvd,Fishkill,NY,12524,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067362923,,
1813,6/1/2025,289067362658,6788 State Route 31 E,Newark,NY,14513,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067362658,,
1830,6/2/2025,289067369571,297 Grant Ave,Auburn,NY,13021,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067369571,,
1831,6/3/2025,289067359581,8770 Dell Center Drive,Liverpool,NY,13090,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067359581,,
1835,6/4/2025,289067363025,2405 Vestal Pkwy E,Vestal,NY,13850,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067363025,,
1871,6/5/2025,289067361011,20823 State Route 3,Watertown,NY,13601,https://www.fedex.com/apps/fedextrack/?tracknumbers=289067361011,,
