Store,Install Date,Install Type
1553,8/17/2025,Perimeter Only
86,8/17/2025,Perimeter Only
1748,8/17/2025,Perimeter Only
2508,8/17/2025,Perimeter Only
1410,8/18/2025,Perimeter Only
671,8/18/2025,Perimeter Only
984,8/18/2025,Perimeter Only
5350,8/18/2025,Perimeter Only
4108,8/19/2025,Perimeter and Women's Fashion Interior
5250,8/19/2025,Perimeter Only
756,8/19/2025,Perimeter Only
4525,8/19/2025,Perimeter Only
1504,8/20/2025,Perimeter Only
892,8/20/2025,Perimeter Only
1845,8/20/2025,Perimeter Only
2892,8/20/2025,Perimeter Only
3792,8/21/2025,Perimeter Only
4686,8/21/2025,Perimeter Only
2846,8/21/2025,Perimeter Only
3566,8/21/2025,Perimeter Only
1322,8/24/2025,Perimeter Only
850,8/24/2025,Perimeter Only
2911,8/25/2025,Perimeter Only
6942,8/25/2025,Perimeter Only
4451,8/25/2025,Perimeter and Women's Fashion Interior
5686,8/25/2025,Perimeter Only
1307,8/26/2025,Perimeter Only
5653,8/26/2025,Perimeter Only
5480,8/26/2025,Perimeter Only
1687,8/27/2025,Perimeter Only
764,8/27/2025,Perimeter Only
3225,8/27/2025,Perimeter Only
423,8/28/2025,Perimeter Only
7337,pending,Perimeter Only
2463,pending,Perimeter and Women's Fashion Interior
