Store,Squishmalllows Feature
1,Yes
2,Yes
3,Yes
4,Yes
7,Yes
9,Yes
10,Yes
11,Yes
13,Yes
14,Yes
15,Yes
16,Yes
18,Yes
20,Yes
21,Yes
22,Yes
24,Yes
25,Yes
26,Yes
27,Yes
28,Yes
30,Yes
31,Yes
32,Yes
34,Yes
35,Yes
36,Yes
38,Yes
39,Yes
40,Yes
42,Yes
43,Yes
44,Yes
46,Yes
47,Yes
48,Yes
49,Yes
50,Yes
51,Yes
52,Yes
55,Yes
56,Yes
57,Yes
58,Yes
59,Yes
60,Yes
62,Yes
64,Yes
66,Yes
67,Yes
68,Yes
70,Yes
73,Yes
74,Yes
75,Yes
77,Yes
78,Yes
79,Yes
80,Yes
81,Yes
82,Yes
83,Yes
85,Yes
87,Yes
89,Yes
90,Yes
91,Yes
92,Yes
93,Yes
94,Yes
95,Yes
96,Yes
97,Yes
98,Yes
99,Yes
103,Yes
104,Yes
106,Yes
107,Yes
108,Yes
109,Yes
110,Yes
111,Yes
112,Yes
113,Yes
114,Yes
115,Yes
117,Yes
120,Yes
123,Yes
124,Yes
125,Yes
126,Yes
127,Yes
128,Yes
130,Yes
132,Yes
133,Yes
134,Yes
135,Yes
138,Yes
139,Yes
140,Yes
141,Yes
143,Yes
144,Yes
145,Yes
146,Yes
147,Yes
148,Yes
149,Yes
150,Yes
152,Yes
154,Yes
158,Yes
159,Yes
162,Yes
164,Yes
165,Yes
166,Yes
167,Yes
168,Yes
170,Yes
171,Yes
173,Yes
174,Yes
175,Yes
176,Yes
177,Yes
178,Yes
179,Yes
180,Yes
181,Yes
182,Yes
183,Yes
184,Yes
185,Yes
186,Yes
190,Yes
192,Yes
194,Yes
195,Yes
197,Yes
198,Yes
199,Yes
200,Yes
201,Yes
203,Yes
204,Yes
205,Yes
206,Yes
207,Yes
210,Yes
211,Yes
212,Yes
213,Yes
216,Yes
217,Yes
218,Yes
220,Yes
222,Yes
224,Yes
225,Yes
226,Yes
227,Yes
228,Yes
229,Yes
231,Yes
232,Yes
233,Yes
234,Yes
236,Yes
237,Yes
238,Yes
