Store #,Format,City,State,Fuel Frequency,January Fuel,February Fuel,March Fuel,Service Provider,Phone Number
163,SUP,Nacogdoches,TX,90,,,24,CLEAN EARTH,877-406-5295
202,SUP,Frisco,TX,60,,24,,CLEAN EARTH,877-406-5295
236,SUP,Crockett,TX,60,,17,,CLEAN EARTH,877-406-5295
245,FUEL,Crowley,TX,180,,,,CLEAN EARTH,877-406-5295
288,SUP,Woodville,TX,90,,,24,CLEAN EARTH,877-406-5295
290,SUP,Gonzales,TX,90,,,31,CLEAN EARTH,877-406-5295
351,SUP,Tomball,TX,180,,,,CLEAN EARTH,877-406-5295
438,SUP,Breckenridge,TX,90,,,24,CLEAN EARTH,877-406-5295
475,SUP,Round Rock,TX,90,,,31,CLEAN EARTH,877-406-5295
655,SUP,Hanson,KY,180,,,,CLEAN EARTH,877-406-5295
695,SUP,Madison,TN,180,,,,CLEAN EARTH,877-406-5295
717,FUEL,Lake Worth,TX,60,,10,,CLEAN EARTH,877-406-5295
897,SUP,Fort Stockton,TX,180,,,,CLEAN EARTH,877-406-5295
997,WMT,PLANO,TX,60,,10,,CLEAN EARTH,877-406-5295
999,SUP,San Antonio,TX,180,,,,CLEAN EARTH,877-406-5295
1137,WM,Houston,TX,60,,3,,CLEAN EARTH,877-406-5295
1257,SUP,Stamford,TX,180,,,,CLEAN EARTH,877-406-5295
1395,SUP,Centralia,IL,120,,,,CLEAN EARTH,877-406-5295
1420,SUP,Streamwood,IL,60,,3,,CLEAN EARTH,877-406-5295
1494,SUP,Corpus Christi,TX,180,,,,CLEAN EARTH,877-406-5295
1497,SUP,Richton Park,IL,180,,,,CLEAN EARTH,877-406-5295
1499,SUP,Lewisburg,WV,60,,17,,CLEAN EARTH,877-406-5295
1516,WM,Borger,TX,120,,,,CLEAN EARTH,877-406-5295
1522,SUP,Elkins,WV,120,,,,CLEAN EARTH,877-406-5295
1531,SUP,Carpentersville,IL,180,,,,CLEAN EARTH,877-406-5295
1653,SUP,Weston,WV,60,,10,,CLEAN EARTH,877-406-5295
1714,SUP,Fairmont,WV,90,,,10,CLEAN EARTH,877-406-5295
2244,SUP,Huntington,WV,60,,17,,CLEAN EARTH,877-406-5295
2425,NHM,Collinsville,IL,180,,,,CLEAN EARTH,877-406-5295
2463,SUP,Frisco,TX,180,,,,CLEAN EARTH,877-406-5295
2466,FUEL,Arlington,TX,60,,10,,CLEAN EARTH,877-406-5295
2474,SUP,Keyser,WV,60,,3,,CLEAN EARTH,877-406-5295
2505,SUP,Missouri City,TX,60,,3,,CLEAN EARTH,877-406-5295
2684,SUP,New Martinsville,WV,60,,10,,CLEAN EARTH,877-406-5295
2765,SUP,LOS FRESNOS,TX,180,,,,CLEAN EARTH,877-406-5295
2769,SUP,San Antonio,TX,180,,,,CLEAN EARTH,877-406-5295
2823,SUP,Parkersburg,WV,180,,,,CLEAN EARTH,877-406-5295
2834,SUP,Fort Worth,TX,30,13,10,17,CLEAN EARTH,877-406-5295
2849,SUP,Mason,WV,60,,17,,CLEAN EARTH,877-406-5295
2852,SUP,Moundsville,WV,60,,10,,CLEAN EARTH,877-406-5295
2919,NHM,Monroe,LA,90,,,17,CLEAN EARTH,877-406-5295
2933,SUP,Princeton,WV,120,,,,CLEAN EARTH,877-406-5295
2940,NHM,West Monroe,LA,90,,,17,CLEAN EARTH,877-406-5295
2984,NHM,Lawton,OK,120,,,,CLEAN EARTH,877-406-5295
3043,NHM,Fort Worth,TX,180,,,,CLEAN EARTH,877-406-5295
3056,SUP,SPRING BRANCH,TX,60,,17,,CLEAN EARTH,877-406-5295
3169,SUP,Manor,TX,180,,,,CLEAN EARTH,877-406-5295
3170,SUP,Elgin,TX,60,,17,,CLEAN EARTH,877-406-5295
3202,NHM,Del City,OK,90,,,24,CLEAN EARTH,877-406-5295
3204,NHM,CEDAR HILL,TX,90,,,24,CLEAN EARTH,877-406-5295
3327,NHM,Oklahoma City,OK,90,,,17,CLEAN EARTH,877-406-5295
3335,FUEL,Avon,OH,60,,17,,CLEAN EARTH,877-406-5295
3449,NHM,Killeen,TX,90,,,24,CLEAN EARTH,877-406-5295
3450,NHM,Killeen,TX,90,,,24,CLEAN EARTH,877-406-5295
3521,NHM,SHERMAN,TX,90,,,17,CLEAN EARTH,877-406-5295
3567,SUP,Hidalgo,TX,180,,,,CLEAN EARTH,877-406-5295
3585,SUP,Spring,TX,90,,,17,CLEAN EARTH,877-406-5295
3619,NHM,Chattanooga,TN,90,,,17,CLEAN EARTH,877-406-5295
3637,NHM,Yukon,OK,90,,,17,CLEAN EARTH,877-406-5295
3653,NHM,Burleson,TX,90,,,10,CLEAN EARTH,877-406-5295
3723,NHM,Locust Grove,OK,90,,,24,CLEAN EARTH,877-406-5295
3727,NHM,Alexandria,LA,90,,,17,CLEAN EARTH,877-406-5295
3736,NHM,Pineville,LA,90,,,31,CLEAN EARTH,877-406-5295
3743,NHM,West Monroe,LA,90,,,17,CLEAN EARTH,877-406-5295
3745,NHM,Monroe,LA,90,,,17,CLEAN EARTH,877-406-5295
3752,NHM,Bossier City,LA,90,,,10,CLEAN EARTH,877-406-5295
3816,FUEL,Killeen,TX,60,,10,,CLEAN EARTH,877-406-5295
3837,SUP,Roscoe,IL,120,,,,CLEAN EARTH,877-406-5295
3959,NHM,Knoxville,TN,180,,,,CLEAN EARTH,877-406-5295
4048,NHM,Prairieville,LA,90,,,10,CLEAN EARTH,877-406-5295
4055,SUP,Universal City,TX,60,,10,,CLEAN EARTH,877-406-5295
4056,NHM,CONVERSE,TX,90,,,10,CLEAN EARTH,877-406-5295
4102,WM,CASTROVILLE,TX,60,,10,,CLEAN EARTH,877-406-5295
4104,NHM,Denton,TX,90,,,17,CLEAN EARTH,877-406-5295
4109,SAMS,Bossier City,LA,90,,,10,CLEAN EARTH,877-406-5295
4114,NHM,Longview,TX,90,,,17,CLEAN EARTH,877-406-5295
4118,SUP,Shepherdsville,KY,90,,,17,CLEAN EARTH,877-406-5295
4130,SUP,Kyle,TX,90,,,31,CLEAN EARTH,877-406-5295
4194,SUP,Victoria,TX,120,,,,CLEAN EARTH,877-406-5295
4367,NHM,TEXARKANA,TX,90,,,31,CLEAN EARTH,877-406-5295
4371,NHM,Texarkana,TX,90,,,24,CLEAN EARTH,877-406-5295
4373,NHM,Wake Village,TX,90,,,24,CLEAN EARTH,877-406-5295
4390,NHM,Enid,OK,90,,,17,CLEAN EARTH,877-406-5295
4416,WM,Houston,TX,30,6,3,10,CLEAN EARTH,877-406-5295
4453,NHM,Greenville,TX,90,,,31,CLEAN EARTH,877-406-5295
4464,NHM,Amarillo,TX,90,,,24,CLEAN EARTH,877-406-5295
4465,NHM,Cypress,TX,90,,,17,CLEAN EARTH,877-406-5295
4468,NHM,KATY,TX,90,,,24,CLEAN EARTH,877-406-5295
4469,NHM,Clarksville,TN,90,,,31,CLEAN EARTH,877-406-5295
4470,NHM,JOPLIN,MO,90,,,24,CLEAN EARTH,877-406-5295
4503,SUP,Grand Prairie,TX,180,,,,CLEAN EARTH,877-406-5295
4508,SUP,Penitas,TX,180,,,,CLEAN EARTH,877-406-5295
4512,SUP,KATY,TX,90,,,31,CLEAN EARTH,877-406-5295
4577,NHM,Ruston,LA,90,,,17,CLEAN EARTH,877-406-5295
4585,NHM,Owasso,OK,180,,,,CLEAN EARTH,877-406-5295
4589,NHM,Clarksville,TN,180,,,,CLEAN EARTH,877-406-5295
4591,NHM,Clarksville,TN,90,,,31,CLEAN EARTH,877-406-5295
4605,NHM,Tyler,TX,180,,,,CLEAN EARTH,877-406-5295
4618,NHM,LEAGUE CITY,TX,180,,,,CLEAN EARTH,877-406-5295
4625,NHM,Garden City,KS,180,,,,CLEAN EARTH,877-406-5295
4626,NHM,Junction City,KS,90,,,10,CLEAN EARTH,877-406-5295
4674,NHM,Nacogdoches,TX,90,,,10,CLEAN EARTH,877-406-5295
4692,NHM,Chattanooga,TN,90,,,17,CLEAN EARTH,877-406-5295
4695,SUP,Godfrey,IL,180,,,,CLEAN EARTH,877-406-5295
4702,SAMS,Friendswood,TX,90,,,17,CLEAN EARTH,877-406-5295
4707,SAMS,Overland Park,KS,90,,,10,CLEAN EARTH,877-406-5295
4712,SAMS,Houston(Mem),TX,90,,,24,CLEAN EARTH,877-406-5295
4713,SAMS,Shenandoah,TX,60,,10,,CLEAN EARTH,877-406-5295
4728,SAMS,Nicholasville,KY,90,,,10,CLEAN EARTH,877-406-5295
4731,SAMS,Oklahoma City,OK,180,,,,CLEAN EARTH,877-406-5295
4741,SAMS,Saint Louis,MO,90,,,10,CLEAN EARTH,877-406-5295
4742,SAMS,Fort Worth,TX,90,,,17,CLEAN EARTH,877-406-5295
4743,SAMS,Plano,TX,90,,,17,CLEAN EARTH,877-406-5295
4750,SAMS,Cuyahoga Falls,OH,90,,,31,CLEAN EARTH,877-406-5295
4763,SAMS,Sugar Land,TX,90,,,10,CLEAN EARTH,877-406-5295
4764,SAMS,Katy,TX,90,,,24,CLEAN EARTH,877-406-5295
4769,SAMS,Houston(Westpark),TX,90,,,10,CLEAN EARTH,877-406-5295
4775,SAMS,Metairie,LA,90,,,31,CLEAN EARTH,877-406-5295
4783,SAMS,Garland,TX,90,,,17,CLEAN EARTH,877-406-5295
4791,SAMS,Garden City,KS,120,,,,CLEAN EARTH,877-406-5295
4795,SAMS,Grapevine,TX,90,,,10,CLEAN EARTH,877-406-5295
4805,SAMS,Billings,MT,90,,,17,CLEAN EARTH,877-406-5295
4815,SAMS,Normal,IL,180,,,,CLEAN EARTH,877-406-5295
4837,SAMS,Denham Springs,LA,90,,,10,CLEAN EARTH,877-406-5295
4839,SAMS,Tulsa,OK,90,,,17,CLEAN EARTH,877-406-5295
4843,SAMS,Pearland,TX,90,,,10,CLEAN EARTH,877-406-5295
4846,SAMS,Mentor,OH,90,,,17,CLEAN EARTH,877-406-5295
4850,SAMS,McAllen,TX,90,,,17,CLEAN EARTH,877-406-5295
4860,SAMS,Beckley,WV,90,,,31,CLEAN EARTH,877-406-5295
4870,SAMS,Kansas City,KS,90,,,10,CLEAN EARTH,877-406-5295
4874,SAMS,Covington,LA,90,,,17,CLEAN EARTH,877-406-5295
4875,SAMS,Wentzville,MO,90,,,17,CLEAN EARTH,877-406-5295
4876,SAMS,Bowling Green,KY,180,,,,CLEAN EARTH,877-406-5295
4878,SAMS,Glen Carbon,IL,60,,3,,CLEAN EARTH,877-406-5295
4905,SAMS,Denton,TX,180,,,,CLEAN EARTH,877-406-5295
4906,SAMS,Mckinney,TX,90,,,10,CLEAN EARTH,877-406-5295
4908,SAMS,Owensboro,KY,90,,,10,CLEAN EARTH,877-406-5295
4911,SAMS,Mansfield,TX,120,,,,CLEAN EARTH,877-406-5295
4920,SAMS,Saint Joseph,MO,90,,,17,CLEAN EARTH,877-406-5295
4925,SAMS,Dallas,TX,90,,,17,CLEAN EARTH,877-406-5295
4930,SAMS,Cookeville,TN,90,,,17,CLEAN EARTH,877-406-5295
4933,SAMS,Bismarck,ND,90,,,17,CLEAN EARTH,877-406-5295
4936,SAMS,Morgantown,WV,90,,,10,CLEAN EARTH,877-406-5295
4939,SAMS,San Antonio,TX,120,,,,CLEAN EARTH,877-406-5295
4942,SAMS,Elgin,IL,90,,,17,CLEAN EARTH,877-406-5295
4947,SAMS,Zanesville,OH,90,,,24,CLEAN EARTH,877-406-5295
4948,SAMS,San Angelo,TX,90,,,24,CLEAN EARTH,877-406-5295
4958,SAMS,San Marcos,TX,90,,,24,CLEAN EARTH,877-406-5295
4962,SAMS,Sandusky,OH,90,,,17,CLEAN EARTH,877-406-5295
4963,SAMS,Chillicothe,OH,90,,,24,CLEAN EARTH,877-406-5295
4985,SAMS,Springfield,MO,120,,,,CLEAN EARTH,877-406-5295
4992,SAMS,Elizabethtown,KY,90,,,24,CLEAN EARTH,877-406-5295
4999,SAMS,Quincy,IL,90,,,24,CLEAN EARTH,877-406-5295
5059,NHM,Hopkinsville,KY,90,,,10,CLEAN EARTH,877-406-5295
5081,NHM,Meraux,LA,90,,,31,CLEAN EARTH,877-406-5295
5102,NHM,Gretna,LA,180,,,,CLEAN EARTH,877-406-5295
5125,NHM,Opelousas,LA,90,,,17,CLEAN EARTH,877-406-5295
5135,NHM,Radcliff,KY,90,,,24,CLEAN EARTH,877-406-5295
5143,NHM,Chattanooga,TN,90,,,17,CLEAN EARTH,877-406-5295
5148,NHM,Murfreesboro,TN,90,,,17,CLEAN EARTH,877-406-5295
5182,NHM,Murfreesboro,TN,90,,,17,CLEAN EARTH,877-406-5295
5188,NHM,Hixson,TN,90,,,24,CLEAN EARTH,877-406-5295
5204,NHM,Bossier City,LA,90,,,10,CLEAN EARTH,877-406-5295
5226,NHM,SAN ANTONIO,TX,180,,,,CLEAN EARTH,877-406-5295
5261,SUP,Pineville,MO,120,,,,CLEAN EARTH,877-406-5295
5290,NHM,San Antonio,TX,180,,,,CLEAN EARTH,877-406-5295
5310,NHM,PRAIRIEVILLE,LA,90,,,10,CLEAN EARTH,877-406-5295
5323,NHM,Oklahoma City,OK,90,,,17,CLEAN EARTH,877-406-5295
5327,NHM,Baton Rouge,LA,90,,,10,CLEAN EARTH,877-406-5295
5352,WM,Batavia,IL,60,,3,,CLEAN EARTH,877-406-5295
5353,NHM,Spring,TX,90,,,17,CLEAN EARTH,877-406-5295
5364,NHM,Stillwater,OK,180,,,,CLEAN EARTH,877-406-5295
5404,SUP,Homewood,IL,180,,,,CLEAN EARTH,877-406-5295
5427,NHM,St. Peters,MO,180,,,,CLEAN EARTH,877-406-5295
5464,NHM,Thibodaux,LA,90,,,24,CLEAN EARTH,877-406-5295
5490,NHM,SAN ANTONIO,TX,90,,,24,CLEAN EARTH,877-406-5295
5700,NHM,Tyler,TX,180,,,,CLEAN EARTH,877-406-5295
5702,NHM,Lubbock,TX,180,,,,CLEAN EARTH,877-406-5295
5707,SUP,Cross Roads,TX,180,,,,CLEAN EARTH,877-406-5295
5715,NHM,Abilene,TX,90,,,24,CLEAN EARTH,877-406-5295
5734,NHM,Kingsport,TN,90,,,10,CLEAN EARTH,877-406-5295
5773,NHM,New Iberia,LA,90,,,17,CLEAN EARTH,877-406-5295
5791,NHM,Pittsburg,KS,90,,,31,CLEAN EARTH,877-406-5295
5805,NHM,Norman,OK,90,,,10,CLEAN EARTH,877-406-5295
5824,NHM,Mesquite,TX,90,,,31,CLEAN EARTH,877-406-5295
5908,NHM,Sevierville,TN,180,,,,CLEAN EARTH,877-406-5295
6078,NHM,WYLIE,TX,90,,,31,CLEAN EARTH,877-406-5295
6188,SAMS,Austin,TX,180,,,,CLEAN EARTH,877-406-5295
6220,SAMS,Slidell,LA,90,,,17,CLEAN EARTH,877-406-5295
6228,SAMS,Vernon Hills,IL,60,,3,,CLEAN EARTH,877-406-5295
6238,SAMS,Owasso,OK,90,,,24,CLEAN EARTH,877-406-5295
6242,SAMS,Dublin,OH,90,,,24,CLEAN EARTH,877-406-5295
6244,SAMS,Fort Worth,TX,180,,,,CLEAN EARTH,877-406-5295
6245,SAMS,Harker Heights,TX,90,,,31,CLEAN EARTH,877-406-5295
6246,SAMS,El Paso,TX,180,,,,CLEAN EARTH,877-406-5295
6247,SAMS,Kansas City,MO,90,,,10,CLEAN EARTH,877-406-5295
6249,SAMS,Franklin,TN,90,,,17,CLEAN EARTH,877-406-5295
6255,SAMS,Plano,TX,60,,24,,CLEAN EARTH,877-406-5295
6256,SAMS,Memphis,TN,180,,,,CLEAN EARTH,877-406-5295
6260,SAMS,Bartlett,TN,90,,,10,CLEAN EARTH,877-406-5295
6262,SAMS,San Antonio,TX,180,,,,CLEAN EARTH,877-406-5295
6265,SAMS,Irving,TX,90,,,10,CLEAN EARTH,877-406-5295
6267,SAMS,Edmond,OK,90,,,17,CLEAN EARTH,877-406-5295
6269,SAMS,Harlingen,TX,90,,,17,CLEAN EARTH,877-406-5295
6275,SAMS,Wichita,KS,180,,,,CLEAN EARTH,877-406-5295
6286,SUP,Kileen,TX,180,,,,CLEAN EARTH,877-406-5295
6300,SUP,PROSPER,TX,60,,10,,CLEAN EARTH,877-406-5295
6302,SAMS,Oakwood Village,OH,90,,,31,CLEAN EARTH,877-406-5295
6305,SAMS,Cleveland,OH,90,,,17,CLEAN EARTH,877-406-5295
6308,SAMS,Columbus,OH,180,,,,CLEAN EARTH,877-406-5295
6314,SAMS,Sheffield Village,OH,90,,,31,CLEAN EARTH,877-406-5295
6317,SAMS,Canton,OH,90,,,10,CLEAN EARTH,877-406-5295
6322,SAMS,Boardman,OH,90,,,17,CLEAN EARTH,877-406-5295
6326,SAMS,Reynoldsburg,OH,90,,,24,CLEAN EARTH,877-406-5295
6327,SAMS,Warren,OH,90,,,17,CLEAN EARTH,877-406-5295
6328,SAMS,Cicero,IL,90,,,10,CLEAN EARTH,877-406-5295
6334,SAMS,Decatur,IL,90,,,24,CLEAN EARTH,877-406-5295
6336,SAMS,Temple,TX,180,,,,CLEAN EARTH,877-406-5295
6338,SAMS,College Station,TX,90,,,10,CLEAN EARTH,877-406-5295
6339,SAMS,Crystal Lake,IL,120,,,,CLEAN EARTH,877-406-5295
6342,SAMS,Tulsa,OK,90,,,17,CLEAN EARTH,877-406-5295
6350,SAMS,Sherman,TX,180,,,,CLEAN EARTH,877-406-5295
6358,SAMS,Northlake,IL,90,,,10,CLEAN EARTH,877-406-5295
6367,SAMS,Humble,TX,180,,,,CLEAN EARTH,877-406-5295
6372,SAMS,Dallas,TX,90,,,17,CLEAN EARTH,877-406-5295
6373,SAMS,Vienna,WV,90,,,17,CLEAN EARTH,877-406-5295
6375,SAMS,Lima,OH,180,,,,CLEAN EARTH,877-406-5295
6376,SAMS,DALLAS,TX,90,,,17,CLEAN EARTH,877-406-5295
6379,SAMS,Great Falls,MT,180,,,,CLEAN EARTH,877-406-5295
6380,SAMS,Dayton,OH,90,,,10,CLEAN EARTH,877-406-5295
6381,SAMS,Lewisville,TX,90,,,10,CLEAN EARTH,877-406-5295
6384,SAMS,Hodgkins,IL,90,,,10,CLEAN EARTH,877-406-5295
6385,SAMS,Grand Forks,ND,90,,,24,CLEAN EARTH,877-406-5295
6388,SAMS,Montgomery,IL,90,,,17,CLEAN EARTH,877-406-5295
6407,SAMS,Mansfield,OH,180,,,,CLEAN EARTH,877-406-5295
6410,SAMS,Pearl City,HI,90,,,17,CLEAN EARTH,877-406-5295
6415,SAMS,Joplin,MO,90,,,10,CLEAN EARTH,877-406-5295
6418,SAMS,Wichita,KS,90,,,17,CLEAN EARTH,877-406-5295
6421,SAMS,Conroe,TX,180,,,,CLEAN EARTH,877-406-5295
6422,SAMS,Longview,TX,90,,,17,CLEAN EARTH,877-406-5295
6426,SAMS,Salina,KS,90,,,10,CLEAN EARTH,877-406-5295
6439,SAMS,Odessa,TX,180,,,,CLEAN EARTH,877-406-5295
