Store,Date,Reg,0.01,0.05,0.1,0.25
54,6/13/2024,26,audit,,,
54,6/13/2024,28,audit,,,
54,6/13/2024,70,audit,,,
54,6/13/2024,93,audit,,,
371,6/13/2024,28,audit,,,
371,6/13/2024,91,audit,,,
371,6/13/2024,95,audit,,,
471,6/13/2024,20,audit,,,
471,6/13/2024,22,audit,,,
471,6/13/2024,26,audit,,,
471,6/13/2024,28,audit,,,
471,6/13/2024,30,audit,,,
471,6/13/2024,40,audit,,,
471,6/13/2024,58,audit,,,
471,6/13/2024,61,audit,,,
471,6/13/2024,68,audit,,,
471,6/13/2024,77,audit,,,
471,6/13/2024,92,audit,,,
471,6/13/2024,94,audit,,,
471,6/13/2024,95,audit,,,
488,6/13/2024,40,audit,,,
488,6/13/2024,67,audit,,,
807,6/13/2024,31,audit,,,
807,6/13/2024,32,audit,,,
807,6/13/2024,92,audit,,,
807,6/13/2024,95,audit,,,
880,6/13/2024,10,3,1,0,2
880,6/13/2024,11,audit,,,
880,6/13/2024,12,2,1,2,1
880,6/13/2024,13,4,0,2,2
880,6/13/2024,14,4,1,1,2
880,6/13/2024,15,4,0,1,2
880,6/13/2024,16,2,1,1,2
880,6/13/2024,17,2,1,0,2
880,6/13/2024,40,1,0,1,1
880,6/13/2024,41,0,0,0,1
880,6/13/2024,58,1,0,0,0
880,6/13/2024,62,2,1,2,2
880,6/13/2024,63,1,1,1,1
880,6/13/2024,64,0,0,1,1
880,6/13/2024,67,audit,,,
880,6/13/2024,68,1,0,0,1
880,6/13/2024,74,,,,
880,6/13/2024,79,0,0,0,1
880,6/13/2024,90,audit,,,
880,6/13/2024,91,3,0,1,2
880,6/13/2024,92,,,,
880,6/13/2024,93,3,0,1,1
880,6/13/2024,95,1,0,0,1
880,6/13/2024,98,1,0,1,1
1082,6/13/2024,67,audit,,,
1082,6/13/2024,91,audit,,,
1082,6/13/2024,93,audit,,,
1801,6/13/2024,13,audit,,,
1801,6/13/2024,24,audit,,,
1801,6/13/2024,64,audit,,,
1801,6/13/2024,79,audit,,,
1801,6/13/2024,95,audit,,,
2667,6/13/2024,9,audit,,,
2667,6/13/2024,10,audit,,,
2667,6/13/2024,11,audit,,,
2667,6/13/2024,12,audit,,,
2667,6/13/2024,13,audit,,,
2667,6/13/2024,14,audit,,,
2667,6/13/2024,15,audit,,,
2667,6/13/2024,16,audit,,,
2667,6/13/2024,40,audit,,,
2667,6/13/2024,93,audit,,,
2917,6/13/2024,3,audit,,,
2917,6/13/2024,6,audit,,,
2917,6/13/2024,8,audit,,,
2917,6/13/2024,9,audit,,,
2917,6/13/2024,10,audit,,,
2917,6/13/2024,12,audit,,,
2917,6/13/2024,58,audit,,,
2917,6/13/2024,69,audit,,,
2917,6/13/2024,92,audit,,,
2917,6/13/2024,95,audit,,,
2918,6/13/2024,15,2,0,0,2
2918,6/13/2024,17,3,1,0,1
2918,6/13/2024,19,3,1,1,1
2918,6/13/2024,20,,,,
2918,6/13/2024,21,2,0,1,0
2918,6/13/2024,22,,,,
2918,6/13/2024,23,audit,,,
2918,6/13/2024,40,0,1,1,1
2918,6/13/2024,41,0,0,0,0
2918,6/13/2024,42,0,0,0,0
2918,6/13/2024,54,0,0,1,0
2918,6/13/2024,58,0,1,0,0
2918,6/13/2024,67,0,0,1,1
2918,6/13/2024,70,1,0,0,1
2918,6/13/2024,71,0,0,0,0
2918,6/13/2024,77,1,0,1,1
2918,6/13/2024,79,0,0,0,0
2918,6/13/2024,80,0,0,0,0
2918,6/13/2024,91,2,0,1,2
2918,6/13/2024,92,,,,
2918,6/13/2024,93,3,0,0,1
2918,6/13/2024,98,0,0,0,0
2978,6/13/2024,22,audit,,,
2978,6/13/2024,26,audit,,,
2978,6/13/2024,28,audit,,,
2978,6/13/2024,29,audit,,,
2978,6/13/2024,30,audit,,,
2980,6/13/2024,32,audit,,,
2980,6/13/2024,34,audit,,,
3014,6/13/2024,16,audit,,,
3014,6/13/2024,19,audit,,,
3014,6/13/2024,20,audit,,,
3014,6/13/2024,24,audit,,,
3014,6/13/2024,41,audit,,,
3014,6/13/2024,69,audit,,,
3014,6/13/2024,70,audit,,,
3014,6/13/2024,77,audit,,,
3014,6/13/2024,79,audit,,,
3014,6/13/2024,98,audit,,,
3044,6/13/2024,2,audit,,,
3044,6/13/2024,3,audit,,,
