Store,Display/Vehicle,ItemNumber,Item Description,FDC,Quantity Shipped,Full Quantity
778,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
778,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
1324,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
1324,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
1324,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
1324,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
1324,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
1324,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
1324,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
1324,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
1324,Older Student Train,599123523,48PCEX UF AST 12C,6029,0,1
1324,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
1381,8-foot Train,573577801,12PC12CT COLORED PE,6029,0,20
1381,8-foot Train,573577798,6PC24CT PENCILS,6029,0,12
1381,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
1381,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
1381,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
1646,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
1646,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
1646,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
1646,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
1646,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
1646,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
1646,Older Student Train,599123523,48PCEX UF AST 12C,6029,0,1
1646,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
1822,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
1854,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
1854,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2026,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2026,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2067,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2067,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2070,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2070,School List Holder,599123827,40PCMINI KIT,6029,0,1
2070,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2070,School List Holder,599123827,40PCMINI KIT,6029,0,1
2070,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2070,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
2070,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
2070,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
2071,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2071,School List Holder,599123827,40PCMINI KIT,6029,0,1
2071,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2071,School List Holder,599123827,40PCMINI KIT,6029,0,1
2071,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
