Club,Level
9999,9
6657,3
8175,3
4963,3
8111,3
8261,2
4781,2
6308,4
6659,2
6652,3
6506,2
6423,2
4774,4
4944,3
6380,2
6430,1
6331,2
6662,2
6608,2
8182,3
8276,3
4851,2
6658,1
6434,2
6324,2
6325,5
6454,1
6342,3
6228,2
6660,1
6252,3
6450,3
4778,3
6644,4
4771,4
6779,2
6570,5
8211,3
4729,4
6634,2
6671,2
4998,3
8298,4
8285,2
8193,4
6412,3
6403,4
6666,3
6428,1
8151,1
8165,3
8238,3
4740,4
8123,2
6368,4
7658,3
4722,2
6326,2
4987,1
6386,3
4992,2
6387,4
6474,4
6667,2
8221,3
6617,4
4962,3
8162,3
4982,3
4947,3
6334,3
8147,2
4917,1
6568,3
8282,4
4794,4
8188,3
6781,4
6339,2
4799,1
6189,2
8145,2
6373,4
4702,3
4846,5
6327,2
6379,1
8213,3
6220,5
8166,2
8201,3
6356,3
4816,2
4782,5
6520,2
8150,1
4958,2
8203,3
4761,2
8226,4
6527,4
6202,3
8125,2
8186,3
6536,3
6512,3
6307,4
6540,1
6251,2
6315,2
8190,4
8133,4
6670,2
4738,1
4873,1
6375,2
6419,3
4777,3
4972,3
8259,4
6683,1
8292,2
6528,1
4991,2
6575,4
4829,3
6302,2
6440,2
6535,2
8185,2
6247,3
4961,3
4820,3
6319,5
8120,3
6437,3
4784,3
8291,2
4875,1
8247,4
6463,1
4872,3
6321,1
6573,2
6556,2
6676,3
6510,1
8194,3
6365,3
4952,2
6507,3
6349,4
4730,2
6485,2
6518,1
6684,1
6471,2
4973,2
6359,2
8202,3
4750,3
6242,2
7189,2
4825,2
4828,3
6259,3
8107,2
4946,1
8132,4
4990,4
8180,2
8152,3
4731,2
8117,3
6255,2
4860,1
8299,3
4109,2
6377,4
6236,1
6429,2
6567,1
6867,2
4728,3
4994,1
6384,1
6606,3
8155,2
8297,2
8141,1
6361,3
6464,1
4878,3
8184,2
4837,3
6314,2
6235,3
4764,2
6664,3
8156,5
8205,3
6240,4
4847,2
8174,2
8207,2
8209,1
6341,2
8252,1
8269,3
6445,4
8119,4
6678,3
8246,3
6651,4
6613,4
8138,2
6305,4
4767,2
6636,4
6624,4
8256,3
4704,4
8168,4
8253,3
6674,2
8280,4
8126,5
4775,1
6619,5
4822,5
8139,3
6218,4
8114,2
6422,2
6310,3
4745,2
8284,4
6262,3
6369,2
6347,2
4839,3
6615,2
8163,2
4911,2
8102,5
6364,5
8236,5
8173,3
6358,1
6452,3
8208,3
8265,4
4985,2
6457,5
8245,2
4787,1
6433,3
4772,4
6444,2
6418,3
8176,2
4824,2
6217,7
6653,4
4741,3
4818,2
4739,2
8192,2
8296,2
6572,2
6679,3
6643,5
6631,2
8157,5
6260,3
4749,3
6409,2
