Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
7,781,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202346,93.30%,96.50%,8.5,95.00%,97.50%,94.10%,86.40%
44,242,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202346,78.80%,97.20%,7.2,87.00%,75.00%,72.40%,81.90%
13,803,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202346,83.70%,89.20%,9.2,87.40%,84.90%,79.20%,83.10%
6,292,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202346,87.60%,98.10%,6.5,93.80%,87.70%,85.30%,80.60%
6,2066,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202346,90.60%,98.90%,9.5,93.60%,92.60%,89.30%,86.60%
6,482,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202346,89.20%,98.80%,5,94.40%,88.20%,92.00%,82.60%
6,293,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202346,83.80%,98.70%,2.9,86.70%,87.50%,100.00%,55.60%
6,567,SPARK,Scheduled Standard Delivery,22,Executive Review,Degrading,Driver Supply Focus,202346,82.40%,100.00%,5.4,85.70%,76.90%,88.90%,80.00%
46,5768,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202346,92.70%,98.20%,10,94.40%,94.60%,92.10%,89.00%
41,655,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202346,75.30%,98.10%,9.5,59.50%,76.30%,80.20%,84.40%
41,1190,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202346,80.50%,96.90%,8.9,74.40%,89.60%,74.10%,85.00%
19,1445,UBER,Scheduled Standard Delivery,15,At Risk,Recovering,Driver Supply Focus,202346,90.50%,100.00%,5.3,90.00%,100.00%,89.50%,82.40%
19,5386,SPARK,Scheduled Standard Delivery,29,Executive Review,Recovering,Driver Supply Focus,202346,91.00%,92.80%,9.1,94.70%,90.70%,88.40%,89.80%
19,5280,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202346,93.30%,89.30%,9.8,96.50%,95.40%,89.40%,82.80%
25,3210,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202346,76.30%,89.20%,7.7,83.10%,73.50%,68.40%,68.20%
25,957,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Driver Supply Focus,202346,88.70%,99.00%,5.3,90.30%,91.70%,90.00%,81.80%
20,5040,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202346,88.40%,89.30%,8.7,90.00%,90.40%,84.70%,87.80%
20,2281,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202346,86.80%,98.50%,9.1,94.00%,90.10%,79.30%,80.60%
20,2281,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202346,85.60%,98.50%,9.4,87.50%,85.20%,83.90%,84.90%
20,2611,UBER,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202346,93.00%,99.40%,8.2,93.80%,92.10%,96.80%,88.20%
20,5446,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202346,82.30%,99.40%,8.8,91.10%,71.50%,79.40%,86.00%
20,5387,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202346,87.70%,96.50%,9,98.30%,92.40%,74.50%,88.30%
20,5387,UBER,Scheduled Standard Delivery,19,Executive Review,Degrading,Driver Supply Focus,202346,89.50%,94.50%,8.6,87.90%,95.50%,88.90%,87.00%
20,4278,UBER,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202346,88.20%,100.00%,6,95.50%,89.50%,76.20%,92.90%
59,998,SPARK,Scheduled Standard Delivery,10,At Risk,Degrading,Driver Supply Focus,202346,90.50%,96.10%,9.4,88.80%,90.80%,91.00%,92.00%
21,2275,SPARK,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202346,89.70%,97.60%,5.7,98.40%,89.10%,85.00%,85.80%
21,1570,UBER,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202346,90.00%,88.10%,9.6,97.10%,91.90%,76.70%,97.20%
21,2572,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202346,87.60%,99.50%,5.7,83.70%,91.50%,89.80%,83.90%
40,44,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202346,93.50%,100.00%,4.1,86.40%,88.20%,100.00%,100.00%
40,328,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202346,91.80%,96.10%,8.6,96.90%,87.70%,92.20%,89.10%
53,1274,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202346,90.60%,98.30%,7.2,92.20%,92.30%,86.90%,90.70%
53,2338,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202346,90.80%,98.20%,9.5,95.20%,92.80%,86.10%,87.70%
53,2421,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202346,90.00%,99.80%,6.6,94.20%,83.40%,86.80%,98.00%
