Suplidor,Categoría,Descripción,Tamaño,País de Origen,Libras/Cantidad
Agro Produce ,PUMPKIN,PR CALABAZA ENTERA,15 16,P.R,50
Agro Produce ,ROOTS,PR BATATA YAM,,U.S,40
Agro Produce ,STONE FRUITS,PR CIRUELA ROJA 2#,2#,"U.S, CHILE",12
Agro Produce ,STONE FRUITS,PR MELOCOTON AMARILL 2#,2#,"U.S, CHILE",12
Agro Produce ,STONE FRUITS,PR NECTARINES 2#,2#,"U.S, CHILE",12
Agro Produce ,TOMATO,PR TOMATE 3 PACK TUBO,3EA,U.S,30
Agro Produce ,TOMATO,PR TOMATE 4 PACK PLATO,4EA,U.S,18
Agro Produce ,TOMATO,PR TOMATE CHERRY,12oz,REP DOM,12
Agro Produce ,TOMATO,PR TOMATE GRAPE,12oz,REP DOM,12
Agro Produce ,TOMATO,PR TOMATE PLUM,,REP DOM,25
Agro Produce ,TOMATO,Tomate 5x6,,U.S,25
Agro Produce ,TROPICALS,PR MELÓN AGUA,5-6,P.R,65
Agro Produce ,APPLES,PR MANZANA FUJI Bulk,Bulk,U.S,40
Agro Produce ,APPLES,PR MANZANA GALA Bulk,Bulk,U.S,40
Agro Produce ,APPLES,PR MANZANA GOLDEN Bulk,Bulk,U.S,40
Agro Produce ,APPLES,PR MANZANA ROJA BULK,Bulk,U.S,40
Agro Produce ,LIME,PR LIMA VERDE BULK,Bulk,COLOMBIA,40
Agro Produce ,LIME,PR LIME 2#,2#,COLOMBIA,18
Agro Produce ,Mandarin,PR MANDARINA 2#,2#,MORROCO  ,15
Agro Produce ,Mandarin,PR MANDARINA BULK,Bulk,MORROCO/U.S,35
Agro Produce ,PEARS,PR PERA BOSC EMP,3#,"U.S, CHILE",12
Agro Produce ,PEARS,PR PERA VERDE EMP,3#,"U.S, CHILE",12
Agro Produce ,PEARS,PR PERA BOSC BULK,Bulk,U.S,40
Agro Produce ,PEARS,PR PERA ROJA Bulk,Bulk,U.S,20
Agro Produce ,PEARS,PR PERA VERDE BULK,Bulk,"U.S, CHILE",40
Agro Produce ,PEPPERS,Pimiento Morron Verde,XLARGE,REP DOM,20
Agro Produce ,PEPPERS,PR MINI SWEETS PEPPERS,1#,REP DOM,12
Agro Produce ,PEPPERS,PR PIMIENTO COCINAR,BUSHELL,REP DOM,20
Antunez & Son. ,GRAPEFRUIT,TORONJA ROSADA Bulk 32,Bulk,FLORIDA,36
Antunez & Son. ,GRAPEFRUIT,TORONJA ROSADA EMP,5#,FLORIDA,8
Antunez & Son. ,LEMON,Lemon 2#,2#,CALIFORNIA,18
Antunez & Son. ,LEMON,Lemon Bulk,Bulk,CALIFORNIA,36
Caribbean Produce ,PEPPERS,PR MORRON AMARILLO,11lbs,MX/RD/CA,11
Caribbean Produce ,PEPPERS,PR MORRON ANARANJA,11lbs,MX/RD/CA,11
Caribbean Produce ,PEPPERS,PR MORRON ROJA,11lbs,MX/RD/CA,11
Caribbean Produce ,PEPPERS,PR TRICOLOR,3lbs,MX/RD/CA,15
Caribbean Produce ,ROOTS,PR JENGIBRE,-,NIC/RD,30
Caribbean Produce ,SQUASH,PR CALABACIN AMARILLO,-,PR,20
Caribbean Produce ,SQUASH,PR CALABACIN VERDE,-,PR,20
Caribbean Produce ,SQUASH,PR CHAYOTE,-,,40
Caribbean Produce ,TROPICALS,PR MANGO ,-,PR,27
Caribbean Produce ,APPLES,PR MANZANA GALA 3# ,3#,USA,12
Caribbean Produce ,APPLES,PR MANZANA GOLDEN 3#,3#,USA,12
Caribbean Produce ,APPLES,PR MANZANA GRANNY 3#,3#,USA,12
Caribbean Produce ,APPLES,PR MANZANA GRANNY BULK,Bulk,USA,40
Caribbean Produce ,APPLES,PR MANZANA ROJA 3#,3#,USA,12
Caribbean Produce ,BERRIES,PR BLACKBERRY 6OZ,6oz,MULTIPLE,12
Caribbean Produce ,BERRIES,PR BLUEBERRIES,6oz,MULTIPLE,12
Caribbean Produce ,BERRIES,PR RASPBERRIES,6oz,MULTIPLE,12
Caribbean Produce ,CITRUS,Orange Nebo Choice 48/56,Bulk,US,40
Caribbean Produce ,CITRUS,Orange Navel Nebo 8/4lb ,4#,US,10
Caribbean Produce ,GREEN VEGGIES,PR PEPINILLO,-,PR,50
Caribbean Produce ,KIWI,PR KIWI GREEN,39 VF,Grecia / Italia / NZ,117
Distribuidora Naranjito,GARLIC,PR AJO Morado 8oz ,,Spain,40
Distribuidora Naranjito,ROOTS,PR BATATA,,RD,50
Distribuidora Naranjito,ROOTS,PR MALANGA LILA,,NIC,50
Distribuidora Naranjito,ROOTS,PR NAME FLORIDO,,CR,50
Distribuidora Naranjito,ROOTS,PR YAUTIA BLANCA,,EC,50
Distribuidora Naranjito,ROOTS,PR YAUTIA LILA, ,NIC,50
Distribuidora Naranjito,ROOTS,PR YUCA, ,CR,50
Distribuidora Naranjito,TROPICALS,PR COCO SECO,,RD,40
