Store,Full Alignment date,Fresh SD/ND,Fresh Window,Comments
396,7/8,Same Day Delivery,09:00:00-23:59:00,MPDD from 3010 and DD from Legacy on July 8th
514,7/8,Same Day Delivery,09:00:00-23:59:00,No Change
644,7/8,Same Day Delivery,09:00:00-23:59:00,MPDD from 3010 and DD from Legacy on July 8th
1217,7/8,Next Day Delivery,18:00:00-23:59:00,Will Miss MPDD on July 8th.
1270,7/8,Same Day Delivery,09:00:00-22:00:00,No Change
1382,7/8,Same Day Delivery,09:00:00-22:00:00,MPDD from 3010 and DD from Legacy on July 8th
2465,7/8,Same Day Delivery,18:00:00-23:59:00,No Change
4206,7/8,Same Day Delivery,16:00:00-23:59:00,No Change
4443,7/8,Same Day Delivery,16:00:00-23:59:00,MPDD from 3010 and DD from Legacy on July 8th
4445,7/8,Same Day Delivery,16:00:00-23:59:00,MPDD from 3010 and DD from Legacy on July 8th
4487,7/8,Same Day Delivery,09:00:00-23:59:00,No Change
5813,7/8,Same Day Delivery,18:00:00-23:59:00,No Change
6576,7/8,Same Day Delivery,09:00:00-23:59:00,No Change
6887,7/8,Same Day Delivery,09:00:00-23:59:00,MPDD from 3010 and DD from Legacy on July 8th
7339,7/8,Same Day Delivery,16:00:00-23:59:00,No Change
2753,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
1227,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
1293,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
1658,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
2754,7/22,Same Day Delivery,18:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
3570,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
4144,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
5735,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
1123,7/22,Same Day Delivery,09:00:00-22:00:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
3222,7/22,Same Day Delivery,09:00:00-23:59:00,Will receive mismatched MPDD items delivery from 3010 starting 7/8
