StoreNumber,Item #,Item Description,Hot PLU, New Retails  ,
1,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
1,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
1,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
1,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
1,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
1,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
1,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
1,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
1,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
1,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
2,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
2,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
2,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
2,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
2,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
2,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
2,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
2,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
2,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
2,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
4,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
4,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
4,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
4,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
4,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
4,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
4,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
4,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
4,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
4,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
5,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
5,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
5,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
5,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
5,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
5,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
5,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
5,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
5,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
5,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
7,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
7,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
7,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
7,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
7,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
7,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
7,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
7,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
7,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
7,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
9,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
9,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
9,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
9,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
9,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
9,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
9,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
9,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
9,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
9,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
10,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
10,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
10,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
10,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
10,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
10,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
10,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
10,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
10,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
10,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
11,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
11,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
11,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
11,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
11,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
11,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
11,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
11,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
11,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
11,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
12,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
12,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
12,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
12,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
12,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
12,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
12,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
12,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
12,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
12,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
13,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
13,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
13,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
13,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
13,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
13,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
13,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
13,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
13,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
13,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
14,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
14,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
14,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
14,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
14,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
14,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
14,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
14,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
14,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
14,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
15,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
15,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
15,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
15,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
15,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
15,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
15,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
15,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
15,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
15,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
16,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
16,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
16,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
16,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
16,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
16,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
16,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
16,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
16,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
16,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
17,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
17,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
17,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
17,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
17,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
17,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
17,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
17,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
17,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
17,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
18,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
18,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
18,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
18,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
18,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
18,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
19,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
19,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
19,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
19,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
19,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
19,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
19,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
19,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
19,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
19,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
20,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
20,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
20,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
20,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
20,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
20,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
20,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
20,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
20,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
20,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
21,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
21,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
21,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
21,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
21,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
21,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
21,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
21,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
21,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
21,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
22,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
22,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
22,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
22,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
22,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
22,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
22,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
22,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
22,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
22,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
23,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
23,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
23,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
23,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
23,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
23,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
23,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
23,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
23,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
23,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
24,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
24,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
24,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
24,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
24,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
24,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
24,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
24,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
24,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
24,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
25,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
25,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
25,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
25,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
25,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
25,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
25,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
