Store Number,Feature,Location
1,Yes,Entertainment action alley or front of store
2,Yes,Entertainment action alley or front of store
4,Yes,Entertainment action alley or front of store
5,Yes,Entertainment action alley or front of store
7,Yes,Entertainment action alley or front of store
8,Yes,Entertainment action alley or front of store
9,Yes,Entertainment action alley or front of store
10,Yes,Entertainment action alley or front of store
11,Yes,Entertainment action alley or front of store
12,Yes,Entertainment action alley or front of store
13,Yes,Entertainment action alley or front of store
14,Yes,Entertainment action alley or front of store
16,Yes,Entertainment action alley or front of store
17,Yes,Entertainment action alley or front of store
19,Yes,Entertainment action alley or front of store
21,Yes,Entertainment action alley or front of store
22,Yes,Entertainment action alley or front of store
23,Yes,Entertainment action alley or front of store
24,Yes,Entertainment action alley or front of store
25,Yes,Entertainment action alley or front of store
26,Yes,Entertainment action alley or front of store
27,Yes,Entertainment action alley or front of store
28,Yes,Entertainment action alley or front of store
29,Yes,Entertainment action alley or front of store
30,Yes,Entertainment action alley or front of store
31,Yes,Entertainment action alley or front of store
32,Yes,Entertainment action alley or front of store
34,Yes,Entertainment action alley or front of store
35,Yes,Entertainment action alley or front of store
36,Yes,Entertainment action alley or front of store
37,Yes,Entertainment action alley or front of store
40,Yes,Entertainment action alley or front of store
41,Yes,Entertainment action alley or front of store
42,Yes,Entertainment action alley or front of store
43,Yes,Entertainment action alley or front of store
45,Yes,Entertainment action alley or front of store
46,Yes,Entertainment action alley or front of store
47,Yes,Entertainment action alley or front of store
49,Yes,Entertainment action alley or front of store
52,Yes,Entertainment action alley or front of store
58,Yes,Entertainment action alley or front of store
59,Yes,Entertainment action alley or front of store
60,Yes,Entertainment action alley or front of store
61,Yes,Entertainment action alley or front of store
64,Yes,Entertainment action alley or front of store
66,Yes,Entertainment action alley or front of store
69,Yes,Entertainment action alley or front of store
70,Yes,Entertainment action alley or front of store
72,Yes,Entertainment action alley or front of store
73,Yes,Entertainment action alley or front of store
75,Yes,Entertainment action alley or front of store
79,Yes,Entertainment action alley or front of store
80,Yes,Entertainment action alley or front of store
82,Yes,Entertainment action alley or front of store
83,Yes,Entertainment action alley or front of store
85,Yes,Entertainment action alley or front of store
86,Yes,Entertainment action alley or front of store
87,Yes,Entertainment action alley or front of store
89,Yes,Entertainment action alley or front of store
92,Yes,Entertainment action alley or front of store
93,Yes,Entertainment action alley or front of store
94,Yes,Entertainment action alley or front of store
95,Yes,Entertainment action alley or front of store
96,Yes,Entertainment action alley or front of store
98,Yes,Entertainment action alley or front of store
100,Yes,Entertainment action alley or front of store
101,Yes,Entertainment action alley or front of store
103,Yes,Entertainment action alley or front of store
104,Yes,Entertainment action alley or front of store
105,Yes,Entertainment action alley or front of store
106,Yes,Entertainment action alley or front of store
